"","User","Experiment","Year","Domain","GenomeCode","Well"
"GLC_25GOWN_ARCH.P8.GW193","GLC","GOWN","2025","ARCH","P8","GW193"
"GLC_25GOWN_ARCH.G1.GW265","GLC","GOWN","2025","ARCH","G1","GW265"
"GLC_25GOWN_ARCH.G10.GW222","GLC","GOWN","2025","ARCH","G10","GW222"
"GLC_25GOWN_ARCH.G11.GW3050","GLC","GOWN","2025","ARCH","G11","GW3050"
"GLC_25GOWN_ARCH.G12.GW114","GLC","GOWN","2025","ARCH","G12","GW114"
"GLC_25GOWN_ARCH.G13.GW126","GLC","GOWN","2025","ARCH","G13","GW126"
"GLC_25GOWN_ARCH.G14.GW328","GLC","GOWN","2025","ARCH","G14","GW328"
"GLC_25GOWN_ARCH.G15.GW3089","GLC","GOWN","2025","ARCH","G15","GW3089"
"GLC_25GOWN_ARCH.G16.GW340","GLC","GOWN","2025","ARCH","G16","GW340"
"GLC_25GOWN_ARCH.G17.GW628","GLC","GOWN","2025","ARCH","G17","GW628"
"GLC_25GOWN_ARCH.G18.GW626","GLC","GOWN","2025","ARCH","G18","GW626"
"GLC_25GOWN_ARCH.G19.GW175","GLC","GOWN","2025","ARCH","G19","GW175"
"GLC_25GOWN_ARCH.G2.GW146","GLC","GOWN","2025","ARCH","G2","GW146"
"GLC_25GOWN_ARCH.G20.GW3103","GLC","GOWN","2025","ARCH","G20","GW3103"
"GLC_25GOWN_ARCH.G21.GW292","GLC","GOWN","2025","ARCH","G21","GW292"
"GLC_25GOWN_ARCH.G22.GW429","GLC","GOWN","2025","ARCH","G22","GW429"
"GLC_25GOWN_ARCH.G23.GW374","GLC","GOWN","2025","ARCH","G23","GW374"
"GLC_25GOWN_ARCH.G24.GW373","GLC","GOWN","2025","ARCH","G24","GW373"
"GLC_25GOWN_ARCH.G25.GW364","GLC","GOWN","2025","ARCH","G25","GW364"
"GLC_25GOWN_ARCH.G26.GW449","GLC","GOWN","2025","ARCH","G26","GW449"
"GLC_25GOWN_ARCH.G27.GW143","GLC","GOWN","2025","ARCH","G27","GW143"
"GLC_25GOWN_ARCH.G28.GW178","GLC","GOWN","2025","ARCH","G28","GW178"
"GLC_25GOWN_ARCH.G29.GW176","GLC","GOWN","2025","ARCH","G29","GW176"
"GLC_25GOWN_ARCH.G3.GW112","GLC","GOWN","2025","ARCH","G3","GW112"
"GLC_25GOWN_ARCH.G30.GW148","GLC","GOWN","2025","ARCH","G30","GW148"
"GLC_25GOWN_ARCH.G31.GW339","GLC","GOWN","2025","ARCH","G31","GW339"
"GLC_25GOWN_ARCH.G32.GW376","GLC","GOWN","2025","ARCH","G32","GW376"
"GLC_25GOWN_ARCH.G33.GW237","GLC","GOWN","2025","ARCH","G33","GW237"
"GLC_25GOWN_ARCH.G34.GW267","GLC","GOWN","2025","ARCH","G34","GW267"
"GLC_25GOWN_ARCH.G35.GW294","GLC","GOWN","2025","ARCH","G35","GW294"
"GLC_25GOWN_ARCH.G36.GW3021","GLC","GOWN","2025","ARCH","G36","GW3021"
"GLC_25GOWN_ARCH.G37.GW4016","GLC","GOWN","2025","ARCH","G37","GW4016"
"GLC_25GOWN_ARCH.G38.GW481","GLC","GOWN","2025","ARCH","G38","GW481"
"GLC_25GOWN_ARCH.G39.GW931","GLC","GOWN","2025","ARCH","G39","GW931"
"GLC_25GOWN_ARCH.G4.GW109","GLC","GOWN","2025","ARCH","G4","GW109"
"GLC_25GOWN_ARCH.G40.GW456","GLC","GOWN","2025","ARCH","G40","GW456"
"GLC_25GOWN_ARCH.G41.GW162","GLC","GOWN","2025","ARCH","G41","GW162"
"GLC_25GOWN_ARCH.G42.GW274","GLC","GOWN","2025","ARCH","G42","GW274"
"GLC_25GOWN_ARCH.G43.GW295","GLC","GOWN","2025","ARCH","G43","GW295"
"GLC_25GOWN_ARCH.G44.NC","GLC","GOWN","2025","ARCH","G44","NC"
"GLC_25GOWN_ARCH.G45.NC","GLC","GOWN","2025","ARCH","G45","NC"
"GLC_25GOWN_ARCH.G46.GW760","GLC","GOWN","2025","ARCH","G46","GW760"
"GLC_25GOWN_ARCH.G47.GW218","GLC","GOWN","2025","ARCH","G47","GW218"
"GLC_25GOWN_ARCH.G48.GW217","GLC","GOWN","2025","ARCH","G48","GW217"
"GLC_25GOWN_ARCH.G5.GW101","GLC","GOWN","2025","ARCH","G5","GW101"
"GLC_25GOWN_ARCH.G6.GW332","GLC","GOWN","2025","ARCH","G6","GW332"
"GLC_25GOWN_ARCH.G7.GW277","GLC","GOWN","2025","ARCH","G7","GW277"
"GLC_25GOWN_ARCH.G8.GW281","GLC","GOWN","2025","ARCH","G8","GW281"
"GLC_25GOWN_ARCH.G9.GW275","GLC","GOWN","2025","ARCH","G9","GW275"
"GLC_25GOWN_BACT.P09.GW110","GLC","GOWN","2025","BACT","P09","GW110"
"GLC_25GOWN_BACT.P1.GW222","GLC","GOWN","2025","BACT","P1","GW222"
"GLC_25GOWN_BACT.P10.GW150","GLC","GOWN","2025","BACT","P10","GW150"
"GLC_25GOWN_BACT.P11.GW3103","GLC","GOWN","2025","BACT","P11","GW3103"
"GLC_25GOWN_BACT.P12.GW339","GLC","GOWN","2025","BACT","P12","GW339"
"GLC_25GOWN_BACT.P13.GW980","GLC","GOWN","2025","BACT","P13","GW980"
"GLC_25GOWN_BACT.P14.GW117","GLC","GOWN","2025","BACT","P14","GW117"
"GLC_25GOWN_BACT.P15.GW160","GLC","GOWN","2025","BACT","P15","GW160"
"GLC_25GOWN_BACT.P16.GW984","GLC","GOWN","2025","BACT","P16","GW984"
"GLC_25GOWN_BACT.P17.GW3022","GLC","GOWN","2025","BACT","P17","GW3022"
"GLC_25GOWN_BACT.P18.GW982","GLC","GOWN","2025","BACT","P18","GW982"
"GLC_25GOWN_BACT.P19.GW989","GLC","GOWN","2025","BACT","P19","GW989"
"GLC_25GOWN_BACT.P2.GW250","GLC","GOWN","2025","BACT","P2","GW250"
"GLC_25GOWN_BACT.P20.GW162","GLC","GOWN","2025","BACT","P20","GW162"
"GLC_25GOWN_BACT.P21.GW983","GLC","GOWN","2025","BACT","P21","GW983"
"GLC_25GOWN_BACT.P22.GW200","GLC","GOWN","2025","BACT","P22","GW200"
"GLC_25GOWN_BACT.P23.GW949","GLC","GOWN","2025","BACT","P23","GW949"
"GLC_25GOWN_BACT.P24.GW247","GLC","GOWN","2025","BACT","P24","GW247"
"GLC_25GOWN_BACT.P25.GW242","GLC","GOWN","2025","BACT","P25","GW242"
"GLC_25GOWN_BACT.P26.GW992","GLC","GOWN","2025","BACT","P26","GW992"
"GLC_25GOWN_BACT.P27.GW1153","GLC","GOWN","2025","BACT","P27","GW1153"
"GLC_25GOWN_BACT.P28.GW1143","GLC","GOWN","2025","BACT","P28","GW1143"
"GLC_25GOWN_BACT.P29.GW243","GLC","GOWN","2025","BACT","P29","GW243"
"GLC_25GOWN_BACT.P3.GW112","GLC","GOWN","2025","BACT","P3","GW112"
"GLC_25GOWN_BACT.P30.GW945","GLC","GOWN","2025","BACT","P30","GW945"
"GLC_25GOWN_BACT.P31.GW244","GLC","GOWN","2025","BACT","P31","GW244"
"GLC_25GOWN_BACT.P32.GW1144","GLC","GOWN","2025","BACT","P32","GW1144"
"GLC_25GOWN_BACT.P33.GW246","GLC","GOWN","2025","BACT","P33","GW246"
"GLC_25GOWN_BACT.P34.GW950","GLC","GOWN","2025","BACT","P34","GW950"
"GLC_25GOWN_BACT.P35.GW991","GLC","GOWN","2025","BACT","P35","GW991"
"GLC_25GOWN_BACT.P36.GW1151","GLC","GOWN","2025","BACT","P36","GW1151"
"GLC_25GOWN_BACT.P37.GW313","GLC","GOWN","2025","BACT","P37","GW313"
"GLC_25GOWN_BACT.P38.GW3010","GLC","GOWN","2025","BACT","P38","GW3010"
"GLC_25GOWN_BACT.P39.GW1150","GLC","GOWN","2025","BACT","P39","GW1150"
"GLC_25GOWN_BACT.P4.GW192","GLC","GOWN","2025","BACT","P4","GW192"
"GLC_25GOWN_BACT.P40.GW312","GLC","GOWN","2025","BACT","P40","GW312"
"GLC_25GOWN_BACT.P41.GW248","GLC","GOWN","2025","BACT","P41","GW248"
"GLC_25GOWN_BACT.P42a.GW50","GLC","GOWN","2025","BACT","P42a","GW50"
"GLC_25GOWN_BACT.P42b.GW50","GLC","GOWN","2025","BACT","P42b","GW50"
"GLC_25GOWN_BACT.P42c.GW50","GLC","GOWN","2025","BACT","P42c","GW50"
"GLC_25GOWN_BACT.P43.GW44","GLC","GOWN","2025","BACT","P43","GW44"
"GLC_25GOWN_BACT.P44.GW387","GLC","GOWN","2025","BACT","P44","GW387"
"GLC_25GOWN_BACT.P45.GW3098","GLC","GOWN","2025","BACT","P45","GW3098"
"GLC_25GOWN_BACT.P46.GW281","GLC","GOWN","2025","BACT","P46","GW281"
"GLC_25GOWN_BACT.P47.GW369","GLC","GOWN","2025","BACT","P47","GW369"
"GLC_25GOWN_BACT.P48.GW275","GLC","GOWN","2025","BACT","P48","GW275"
"GLC_25GOWN_BACT.P49.GW239","GLC","GOWN","2025","BACT","P49","GW239"
"GLC_25GOWN_BACT.P5.GW972","GLC","GOWN","2025","BACT","P5","GW972"
"GLC_25GOWN_BACT.P50.GW381","GLC","GOWN","2025","BACT","P50","GW381"
"GLC_25GOWN_BACT.P51.GW277","GLC","GOWN","2025","BACT","P51","GW277"
"GLC_25GOWN_BACT.P52.GW379","GLC","GOWN","2025","BACT","P52","GW379"
"GLC_25GOWN_BACT.P53.GW389","GLC","GOWN","2025","BACT","P53","GW389"
"GLC_25GOWN_BACT.P54.GW273","GLC","GOWN","2025","BACT","P54","GW273"
"GLC_25GOWN_BACT.P55.GW238","GLC","GOWN","2025","BACT","P55","GW238"
"GLC_25GOWN_BACT.P56.GW1119","GLC","GOWN","2025","BACT","P56","GW1119"
"GLC_25GOWN_BACT.P57.GW3099","GLC","GOWN","2025","BACT","P57","GW3099"
"GLC_25GOWN_BACT.P58.GW234","GLC","GOWN","2025","BACT","P58","GW234"
"GLC_25GOWN_BACT.P59.GW3073","GLC","GOWN","2025","BACT","P59","GW3073"
"GLC_25GOWN_BACT.P6.GW3026","GLC","GOWN","2025","BACT","P6","GW3026"
"GLC_25GOWN_BACT.P60.GW235","GLC","GOWN","2025","BACT","P60","GW235"
"GLC_25GOWN_BACT.P61.GW333","GLC","GOWN","2025","BACT","P61","GW333"
"GLC_25GOWN_BACT.P62.GW1145","GLC","GOWN","2025","BACT","P62","GW1145"
"GLC_25GOWN_BACT.P63.GW311","GLC","GOWN","2025","BACT","P63","GW311"
"GLC_25GOWN_BACT.P64.GW148","GLC","GOWN","2025","BACT","P64","GW148"
"GLC_25GOWN_BACT.P7.GW3016","GLC","GOWN","2025","BACT","P7","GW3016"
"GLC_25GOWN_BACT.P8.GW193","GLC","GOWN","2025","BACT","P8","GW193"
"GLC_25GOWN_BACT.G1.GW265","GLC","GOWN","2025","BACT","G1","GW265"
"GLC_25GOWN_BACT.G10.GW222","GLC","GOWN","2025","BACT","G10","GW222"
"GLC_25GOWN_BACT.G11.GW3050","GLC","GOWN","2025","BACT","G11","GW3050"
"GLC_25GOWN_BACT.G12.GW114","GLC","GOWN","2025","BACT","G12","GW114"
"GLC_25GOWN_BACT.G13.GW126","GLC","GOWN","2025","BACT","G13","GW126"
"GLC_25GOWN_BACT.G14.GW328","GLC","GOWN","2025","BACT","G14","GW328"
"GLC_25GOWN_BACT.G15.GW3089","GLC","GOWN","2025","BACT","G15","GW3089"
"GLC_25GOWN_BACT.G16.GW340","GLC","GOWN","2025","BACT","G16","GW340"
"GLC_25GOWN_BACT.G17.GW628","GLC","GOWN","2025","BACT","G17","GW628"
"GLC_25GOWN_BACT.G18.GW626","GLC","GOWN","2025","BACT","G18","GW626"
"GLC_25GOWN_BACT.G19.GW175","GLC","GOWN","2025","BACT","G19","GW175"
"GLC_25GOWN_BACT.G2.GW146","GLC","GOWN","2025","BACT","G2","GW146"
"GLC_25GOWN_BACT.G20.GW3103","GLC","GOWN","2025","BACT","G20","GW3103"
"GLC_25GOWN_BACT.G21.GW292","GLC","GOWN","2025","BACT","G21","GW292"
"GLC_25GOWN_BACT.G22.GW429","GLC","GOWN","2025","BACT","G22","GW429"
"GLC_25GOWN_BACT.G23.GW374","GLC","GOWN","2025","BACT","G23","GW374"
"GLC_25GOWN_BACT.G24.GW373","GLC","GOWN","2025","BACT","G24","GW373"
"GLC_25GOWN_BACT.G25.GW364","GLC","GOWN","2025","BACT","G25","GW364"
"GLC_25GOWN_BACT.G26.GW449","GLC","GOWN","2025","BACT","G26","GW449"
"GLC_25GOWN_BACT.G27.GW143","GLC","GOWN","2025","BACT","G27","GW143"
"GLC_25GOWN_BACT.G28.GW178","GLC","GOWN","2025","BACT","G28","GW178"
"GLC_25GOWN_BACT.G29.GW176","GLC","GOWN","2025","BACT","G29","GW176"
"GLC_25GOWN_BACT.G3.GW112","GLC","GOWN","2025","BACT","G3","GW112"
"GLC_25GOWN_BACT.G30.GW148","GLC","GOWN","2025","BACT","G30","GW148"
"GLC_25GOWN_BACT.G31.GW339","GLC","GOWN","2025","BACT","G31","GW339"
"GLC_25GOWN_BACT.G32.GW376","GLC","GOWN","2025","BACT","G32","GW376"
"GLC_25GOWN_BACT.G33.GW237","GLC","GOWN","2025","BACT","G33","GW237"
"GLC_25GOWN_BACT.G34.GW267","GLC","GOWN","2025","BACT","G34","GW267"
"GLC_25GOWN_BACT.G35.GW294","GLC","GOWN","2025","BACT","G35","GW294"
"GLC_25GOWN_BACT.G36.GW3021","GLC","GOWN","2025","BACT","G36","GW3021"
"GLC_25GOWN_BACT.G37.GW4016","GLC","GOWN","2025","BACT","G37","GW4016"
"GLC_25GOWN_BACT.G38.GW481","GLC","GOWN","2025","BACT","G38","GW481"
"GLC_25GOWN_BACT.G39.GW931","GLC","GOWN","2025","BACT","G39","GW931"
"GLC_25GOWN_BACT.G4.GW109","GLC","GOWN","2025","BACT","G4","GW109"
"GLC_25GOWN_BACT.G40.GW456","GLC","GOWN","2025","BACT","G40","GW456"
"GLC_25GOWN_BACT.G41.GW162","GLC","GOWN","2025","BACT","G41","GW162"
"GLC_25GOWN_BACT.G42.GW274","GLC","GOWN","2025","BACT","G42","GW274"
"GLC_25GOWN_BACT.G43.GW295","GLC","GOWN","2025","BACT","G43","GW295"
"GLC_25GOWN_BACT.G44.NC","GLC","GOWN","2025","BACT","G44","NC"
"GLC_25GOWN_BACT.G45.NC","GLC","GOWN","2025","BACT","G45","NC"
"GLC_25GOWN_BACT.G46.GW760","GLC","GOWN","2025","BACT","G46","GW760"
"GLC_25GOWN_BACT.G47.GW218","GLC","GOWN","2025","BACT","G47","GW218"
"GLC_25GOWN_BACT.G48.GW217","GLC","GOWN","2025","BACT","G48","GW217"
"GLC_25GOWN_BACT.G5.GW101","GLC","GOWN","2025","BACT","G5","GW101"
"GLC_25GOWN_BACT.G6.GW332","GLC","GOWN","2025","BACT","G6","GW332"
"GLC_25GOWN_BACT.G7.GW277","GLC","GOWN","2025","BACT","G7","GW277"
"GLC_25GOWN_BACT.G8.GW281","GLC","GOWN","2025","BACT","G8","GW281"
"GLC_25GOWN_BACT.G9.GW275","GLC","GOWN","2025","BACT","G9","GW275"
