"Year1","2016","2017","2019","2020","2021","2022","2023","2024","2025"
"2016",46,24,12,19,15,26,5,21,8
"2017",24,73,20,24,15,31,4,29,18
"2019",12,20,47,16,10,19,3,17,5
"2020",19,24,16,32,11,19,5,19,5
"2021",15,15,10,11,39,33,4,24,7
"2022",26,31,19,19,33,72,11,37,14
"2023",5,4,3,5,4,11,15,11,4
"2024",21,29,17,19,24,37,11,93,15
"2025",8,18,5,5,7,14,4,15,46
