"Well","2016","2017","2019","2020","2021","2022","2023","2024","2025"
"GW003",0,0,1,0,0,0,0,0,0
"GW0988",0,0,0,0,1,0,0,0,0
"GW101",0,1,0,0,0,0,0,0,1
"GW104",0,1,0,0,0,0,0,0,0
"GW107",0,0,0,0,0,0,0,0,1
"GW109",0,0,0,0,0,0,0,0,1
"GW110",1,0,0,0,0,1,0,1,0
"GW111",1,1,0,1,0,0,0,1,0
"GW1117",0,0,1,0,0,0,0,0,0
"GW1119",0,0,0,0,0,0,0,1,0
"GW112",0,0,0,0,0,0,0,1,1
"GW1124",0,0,1,0,0,0,0,0,0
"GW1125",0,0,1,0,0,0,0,0,0
"GW1126",0,0,1,0,0,0,0,0,0
"GW1127",0,0,1,0,0,0,0,0,0
"GW113",0,1,0,1,0,1,0,0,1
"GW1133",0,0,1,0,0,0,0,0,0
"GW1139",0,0,0,0,1,1,0,0,0
"GW114",1,1,1,0,1,1,0,1,1
"GW1140",0,0,0,0,1,1,0,0,0
"GW1143",0,0,0,0,1,0,0,1,0
"GW1144",0,0,0,0,1,1,0,1,0
"GW1145",0,0,0,0,0,0,0,1,0
"GW1150",0,0,0,0,1,1,0,1,0
"GW1151",0,0,0,0,1,1,0,1,0
"GW1152",0,0,0,0,1,1,0,0,0
"GW1153",0,0,1,0,1,1,0,1,0
"GW1155",0,0,1,0,0,0,0,0,0
"GW1156",0,0,1,0,0,0,0,0,0
"GW117",1,1,1,1,1,1,0,1,1
"GW121",1,0,0,1,0,0,0,1,0
"GW123",0,1,1,0,0,0,0,0,0
"GW125",0,1,0,0,0,0,0,0,0
"GW126",1,1,0,0,0,1,0,0,1
"GW128",1,1,0,1,0,0,0,0,0
"GW135",0,1,0,0,0,0,0,0,0
"GW137",1,1,1,0,0,0,0,0,0
"GW139",0,1,1,1,0,1,0,1,0
"GW140",1,1,1,1,0,1,0,1,0
"GW142",0,1,1,1,0,1,0,0,0
"GW143",0,0,0,0,0,0,0,1,1
"GW144",0,1,1,0,0,0,0,0,1
"GW146",0,0,0,0,0,0,0,0,1
"GW147",0,1,0,1,0,1,0,0,0
"GW148",0,0,0,0,0,0,0,1,1
"GW150",1,1,1,0,0,1,0,1,0
"GW152",0,1,0,0,0,0,0,0,0
"GW155",1,0,0,0,0,0,0,0,0
"GW160",1,0,0,0,0,1,1,1,0
"GW162",0,0,0,0,0,0,0,1,1
"GW164",0,0,0,0,0,0,0,1,0
"GW165",0,0,0,0,0,0,0,1,0
"GW175",0,0,0,0,0,0,0,1,1
"GW176",0,0,0,0,0,1,1,0,1
"GW178",0,0,0,0,0,0,1,0,1
"GW186",0,0,1,0,0,0,0,0,0
"GW187",0,0,1,0,0,0,0,0,0
"GW188",0,0,0,0,1,1,0,0,0
"GW190",0,0,1,0,0,0,0,0,0
"GW191",0,1,0,0,1,0,0,0,0
"GW192",0,0,0,0,1,0,0,1,0
"GW193",0,0,0,0,1,0,0,1,0
"GW200",0,0,1,0,0,0,0,1,0
"GW211",1,1,0,0,1,1,0,0,0
"GW212",1,1,0,0,0,1,0,0,0
"GW213",0,0,0,0,0,1,0,0,0
"GW214",1,1,0,0,0,1,0,0,0
