Feature ID	Taxon	Confidence
bc6d20dd5844d07023ca81346198be365f47b997	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__uncultured;g__uncultured;s__	0.9996710193045442
a62b64e12edc8f0432133fc5d27450a942a9b6af	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__	0.9017724099387235
63a5d05f2b0d09de424485ad74fefccba895f6ab	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__	0.9543439465870558
4c481fea4778df81d2751da9981eb2078e1dff21	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium;s__	0.9382572433131733
376fbc2822e2e84040c7a854d0605757191c2618	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Candidatus_Nitrotoga;s__	0.9361427374653564
4f2f1bbef5edfa9fd3ae7538480b77d226f15a0e	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	0.999903492713887
e02f64239602ad99ba85ad704df9304dfed4af5c	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	0.780810872152115
a3cc801e60bd2fc8a4ee071673d4a6ced6f23132	Unassigned	0.5024939137578565
02b5ed81e36e2f7718755ea3d4bdf2d769e93445	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Roizmanbacteria;f__Candidatus_Roizmanbacteria;g__Candidatus_Roizmanbacteria;s__	0.9999323667763843
ec93a787e1c387343dff5a716f663aff8ea592a9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__	0.766970141826619
b8cbcb36a66c0ba466dda3d228cba99a74518c0d	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.9999993389432404
45eca88d1d0cb3689ed2b9b381539cc37c9b103b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32;s__	0.9946653049422144
054431546428a58c8ce9dcae2e3c29636d45ccad	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	0.9500311117887525
aa165787e220cb75431efe940737ee90ebefb84b	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	0.9283224710702513
1a1448cb674a9ebbf5aab699c5f2895968e80ee0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	0.9307872887281791
8ca033854e1d882b2406b5a6f1361fb9b5358546	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Polaromonas;s__	0.9789553056393173
16b17e03965d5442671e04363c0600c8b9d177dd	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	0.9431751959196811
d9daa9c2895b2d7ef16ad32f7194db50e2c67de1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	0.8231669842606487
12c2a5935fc25373556c1930bb2f8355bb6e3723	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__Thiobacillus;s__	0.9889372338121598
39cc52f954326549898ec1081aea9879a5ad5102	d__Archaea	0.9990973806785483
fbede893cd818a5df4fe8d0fe9f1a82614af9671	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	0.9447338213700324
