"","20GWC20082-GOWN113","22GWC22040-GOWN3026","22GWC22042-GOWN983","22GWC22050-GOWN117","21GWC21030-GOWN265","21GWC21030-GOWN265-ST","AOB-NOB-GOWN983","21GWO10014-01-GOWN246"
"OTU_486",0.13,0,0,0,0,0,0,0
"OTU_487",0.98,0,0,0,0,0,0,0
"OTU_488",1.14,1.02,0,0.66,0,0,0,0
"OTU_489",0.77,2.57,0,1.23,0,0,0,0
"OTU_490",0.71,0,0,0,7.33,0,0,0
"OTU_491",0.34,0,0,0.17,0,0,0,0
"OTU_492",3.22,1.17,0,23.32,0,0,0,0
"OTU_493",0.89,0,0,2.6,0,0,0,0
"OTU_494",0.59,0,0,1.61,0,0,0,0
"OTU_495",0.36,0,0,0,0,0,0,0
"OTU_496",0,0,0,0.08,0,0,0,0
"OTU_497",0.79,0,0,1.91,0,0,0,0
"OTU_498",1.92,0,0,2.21,0,0,0,0
"OTU_499",1.18,0,0,0,0,0,0,0
"OTU_500",0.41,0,0,0,0,0,0,0
"OTU_501",7.78,0,0,5.23,0,0,0,0
"OTU_502",0.91,0,0,0,0,0,0,0
"OTU_503",0.72,0,0,1.76,0,0,0,0
"OTU_504",1.75,0,0,6.08,0,0,0,0
"OTU_505",0.42,0,0,2.04,0,0,0,0
"OTU_506",6.12,1.29,0,70.85,0,0,0,0
"OTU_507",0.58,0,0,1.84,0,0,0,0
"OTU_508",0.87,0,0,6.6,0,0,0,0
"OTU_509",11.58,0,0,3.52,0,0,0,0
"OTU_510",5.05,0,0,0,0,0,0,0
"OTU_511",0.98,0,0,0,0,0,0,0
"OTU_512",2.62,0,0,4.63,0,0,0,0
"OTU_513",1.22,0,0,0,0,0,0,0
"OTU_514",0.39,0,0,0,0,0,0,0
"OTU_515",0.85,0,0,0,0,0,0,0
"OTU_516",8.16,0,0,2.22,0,0,0,0
"OTU_517",1.68,0,0,0,0,0,0,0
"OTU_518",0.39,0,0,0,0,0,0,0
"OTU_519",1.85,0,0,0,0,0,0,0
"OTU_520",0.51,0,0,0.6,0,0,0,0
"OTU_521",1.11,0,0,0,0,0,0,0
"OTU_522",7.3,6.83,0,74.47,0,0,0,0
"OTU_523",0.58,0,0,5,0,0,0,0
"OTU_524",1.04,0,0,0,0,0,0,0
"OTU_525",0.65,0,0,1.83,0,0,0,0
"OTU_526",1.36,3.81,0,10.25,0,0,0,0
"OTU_527",2.21,7.72,0,52.55,0,0,0,0
"OTU_528",6.05,8.23,2.1,22.73,0,0,0,0
"OTU_529",5.91,31.48,0,35.36,0,0,0,0
"OTU_530",0.45,2.34,0,2.35,0,0,0,0
"OTU_531",6.65,2.05,0,37.52,0,0,0,0
"OTU_532",1.42,0,0,0,0,0,0,0
"OTU_533",14.11,7.42,0.77,110.2,0,0,0.51,0
"OTU_534",0.9,0,0,2.21,0,0,0,0
"OTU_535",1.81,3.18,0,1.61,0,0,0,0
"OTU_536",1.83,0.51,0,0,0,0,0,0
"OTU_537",0.82,1.58,0,0.79,0,0,0,0
"OTU_538",3.56,0.79,0,1.78,0,0,0,0
"OTU_539",0.49,0,0,0,0,0,0,0
"OTU_540",0.96,0.62,0.89,5.3,0,0,0,0
"OTU_541",0.45,0,0,0,0,0,0,0
"OTU_542",1.53,1.36,0,1.77,0,0,0,0
"OTU_543",0.17,0,0,5.63,0,0,0,0
"OTU_544",1.28,0,0,11.4,0,0,0,0
"OTU_545",0.84,0.22,0,1.4,0,0,0,0
"OTU_546",0.53,0,0,0.36,0,0,0,0
"OTU_547",0,0,0,0,0,0,0,0
"OTU_548",1.09,3.75,0,0,0,0,0,0
"OTU_549",1.24,16.73,0,0.24,0,0,0,0
"OTU_550",1.91,4.31,0,4.03,0,0,0,0
"OTU_551",1.05,4.24,0,0,0,0,0,0
"OTU_552",0.64,0,0,0,0,0,0,0
"OTU_553",0.84,0,0,3.32,0,0,0,0
"OTU_554",0.9,0,0,0,0,0,0,0
"OTU_555",0.08,0,0,0.08,0,0,0,0
"OTU_556",0.61,0,0,0,0,0,0,0
"OTU_557",0.57,0,0,0,0,0,0,0
"OTU_558",0.41,0,0,1.27,0,0,0,0
"OTU_559",0.37,0,0,0.99,0,0,0,0
"OTU_560",0.48,1.01,0,1.32,0,0,0,0
"OTU_561",1.22,1.45,0,0,0,0,0,0
"OTU_562",2.33,0,0,0,0,0,0,0
"OTU_563",0.41,0,0,0,0,0,0,0
"OTU_564",0.41,0,0,17.41,0,0,0,0
"OTU_565",1.1,0,0,2.3,0,0,0,0.57
"OTU_566",0.4,0,0,0,0,0,0,0
"OTU_567",0.92,0,0,0.38,0,0,0,0
"OTU_568",0.74,0,0,0,0,0,0,0
"OTU_569",0.46,0.41,0,0,0,0,0,0
"OTU_570",0.46,0,0,0,0,0,0,0
"OTU_571",2.53,0,0,0.92,0,0,0,0
"OTU_572",0.43,0,0,0,0,0,0,0
"OTU_573",0.79,0,0,0.51,0,0,0,0
"OTU_574",0.52,0,0,0,0,0,0,0
"OTU_575",0.52,1.83,0,0,0,0,0,0
"OTU_576",0,0,0,0,0,0,0,0
"OTU_577",11.82,0,0,0,0.42,0,0,0
"OTU_578",3.35,0,0,0,0,0,0,0
"OTU_579",132.8,4.39,1.26,0,0.08,0,0,0
"OTU_580",0.93,1.74,0,4.81,0,0,0,0
"OTU_581",0,0,0,0,0,0,0,0
"OTU_582",1.05,0,0,0,0,0,0,0
"OTU_583",7.82,18.77,42.88,0.94,7.93,2.47,29.45,0.72
"OTU_584",0,0,0,0,0,0,0,0
"OTU_585",1.21,0,0.07,1.58,83.65,0,0,0
"OTU_586",0.96,0,0,5.59,0,0,0,0
"OTU_587",1.9,0.84,0,0,0,0,0,0
"OTU_588",4.46,0,0,0.9,0,0,0,0
"OTU_589",1.51,0,0,0,0,0,0,0
"OTU_590",1.55,0,0,0,0,0,0,0
"OTU_591",1.23,5.09,9.08,2.93,5.61,0,0,0
"OTU_592",0,0,0,0,0,0,0,0
"OTU_593",0,0,0,0,0,0,0,0
"OTU_594",1.52,0,0.01,0,0.04,0.12,0,0
"OTU_595",0.97,0,0.96,0,0,0,1.9,0
"OTU_596",0.58,0,0,0,0,0,0,0
"OTU_597",1.67,72.65,15.98,0.52,1.66,0,94.09,0
"OTU_598",2.04,23.73,11.12,0,0,0,7.32,0
"OTU_599",0,0,1.1,0.47,0.5,0.65,0,0
"OTU_600",1.57,14.83,0.84,0.26,0,0,1.83,0
"OTU_601",9.81,0,0,0,0,0,0,0
"OTU_602",0.51,0,0,1.7,0,0,0,0
"OTU_603",0.46,0,0,0.98,0,0,0,0
"OTU_604",0.78,0,0,4.51,0,0,0,0
"OTU_605",1.52,0,0,0,0,0,0,0
"OTU_606",1.71,0,0,0,0.23,0,0,0.72
"OTU_607",1.36,0,0,0,0,0,0,0
"OTU_608",0.07,0.9,0.97,0,1.3,0,0.9,0.48
"OTU_609",0.13,0,0,0,0,0,0,0
"OTU_610",0.28,0,0,0,0,0,0,0
"OTU_611",2.77,0,0,0,0,0,0,0
"OTU_612",0.81,0,0,1.42,0,0,0,0
"OTU_613",1.44,0,0,0,0,0,0,0
"OTU_614",1.09,0,0,1.21,0,0,0,0
"OTU_615",0.35,0,0,0.38,0,0,0,0
"OTU_616",0.56,0,0,0,0,0,0,0
"OTU_617",0.36,0,0,0,0,0,0,0
"OTU_618",0.38,0,0,0,0,0,0,0
"OTU_619",0.71,0,0,0,0,0,0,0
"OTU_620",0.39,0,0,3.25,0,0,0,0
"OTU_621",0.25,0,0,11.83,0,0,0,0
"OTU_622",0.84,0,0,0,0,0,0,0
"OTU_623",0.45,0,0,0,0.39,0,0,0
"OTU_624",1.42,0,0,0,0,0,0,0
"OTU_625",0.45,0,0,0,0,0,0,0
"OTU_626",2.03,0,0,0,2.86,0,0,2.19
"OTU_627",2.39,0,0.5,0,0,0,0,0
"OTU_628",1.67,0,0.59,0,0,0,0,4.4
"OTU_629",1.61,0,0,1.02,0,0,0,0
"OTU_630",0.51,0,0,0.41,0,0,0,0
"OTU_631",0.4,0,0,0.68,0,0,0,0
"OTU_632",1.23,0,3.27,0,0,0,0,0.66
"OTU_633",0.38,0,0,0,0,0,0,0
"OTU_634",3.45,0,0,0,2.67,0,0,3.43
"OTU_635",10.42,0,0,0,1.55,0,0,1.61
"OTU_636",0.39,0,0,0,0,0,0,0
"OTU_637",2.57,0,0,0,0,0,0,0
"OTU_638",2.15,0,0,0,0,0,0,0
"OTU_639",1.13,0,0.58,0,0,0,0,0
"OTU_640",0.86,0,0,0,0,0,0,0
"OTU_641",2.64,0,0,0,0,0,0,0
"OTU_642",0.49,0,0,0,0,0,0,0
"OTU_643",0.58,0,0.91,12.84,0,0,0,0
"OTU_644",1.71,0,0.63,0,0,0,0,0
"OTU_645",0.6,0,1.62,0.39,0.77,0,0,0.87
"OTU_646",0.46,0,0.39,0,1.9,0,0,5.88
"OTU_647",0.47,0,0,0,0,0,0,0
"OTU_648",0.9,0,0.9,0,0,0,0,0
"OTU_649",1.89,0,0.83,0,0,0,0,0
"OTU_650",0.84,0,0,0,0,0,0,0
"OTU_651",0.64,0,0,0,0,0,0,0
"OTU_652",0.47,0,0,0,0,0,0,0
"OTU_653",1.41,0,0,0.51,0,0,0,0
"OTU_654",0.49,0,0,0,0,0,0,0
"OTU_655",0.46,0.84,0,0,0,0,0,0
"OTU_656",1.28,0,0,0,0,0,0,0
"OTU_657",3.42,0,0,0,0,0,0,0
"OTU_658",0.35,0.14,1.01,0,0,0,3.74,0
"OTU_659",0.35,5.74,6.47,1.61,0,0,1.93,0
"OTU_660",1.44,0,0.39,0,1.81,0,0,0
"OTU_661",0.39,0,0,0,0,0,0,0
"OTU_662",0.39,0,0,0,0,0,0,0
"OTU_663",0.69,0,0,0,0,0,0,0
"OTU_664",0.15,0,0,0,0,0,0,0.34
"OTU_665",1.04,0,0,0,0,0,0,0
"OTU_666",0.52,0,0,0,0,0,0,0
"OTU_667",1.18,0,0,0,0,0,0,0
"OTU_668",7.12,0,0,0,0,0,0,0
"OTU_669",0.15,0,0,0,0,0,0,0
"OTU_670",0.83,0,0,0,0,0,0,0
"OTU_671",1.37,0,0,2.19,0,0,0,0
"OTU_672",1.97,0,0,0,0,0,0,0
"OTU_673",1.81,0,0,0,0,0,0,0
"OTU_674",1.3,0,0,0,0,0,0,0
"OTU_675",0.45,0,0,0,1.15,0,0,0
"OTU_676",0.65,0,0,0,0,0,0,0
"OTU_677",0.62,0,0,0,0.55,0,0,7.94
"OTU_678",0.43,0,0,0,0,0,0,0.42
"OTU_679",2.59,0,0,0,0,0,0,0
"OTU_680",0.58,0,0,0.54,0,0,0,0
"OTU_681",0.59,0,0,0,0,0,0,1.05
"OTU_682",1.5,0,0,0,0,0,0,0
"OTU_683",0.7,0,0,0,0.55,0,0,0.56
"OTU_684",0.96,0,0,0,0,0,0,0
"OTU_685",0.19,4.99,0,0.57,0,0,0,0
"OTU_686",0.44,0,0,0.94,0,0,0,0
"OTU_687",1.09,0,0,5.59,0,0,0,0
"OTU_688",1.3,0,0,0,0,0,0,0
"OTU_689",0.72,0,0,14.71,0,0,0,0
"OTU_690",8.39,0,0,0,0,0,0,0
"OTU_691",1.45,0,0,3.9,0,0,0,0
"OTU_692",558.64,0,0.52,0,0,0,0,1578.9
"OTU_693",156.94,0,1.44,0,1.33,0,0,0
"OTU_694",55.08,0,0,0,0,0,0,0
"OTU_695",23.96,0,0,0,0,0,0,0
"OTU_696",148.38,0,0,0,8.65,0,0,0
"OTU_697",1.74,0,0,0,0,0,0,0
"OTU_698",42.52,0,0,0,0,0,0,0
"OTU_699",19.11,0,0,0,2.34,0,0,0
"OTU_700",6.28,34.3,251.59,1.84,0,12.23,30.4,0
"OTU_701",14.69,0,42.31,0,1.18,4.41,6.91,0
"OTU_702",8.56,0,0,0,19.02,1.59,0,0
"OTU_703",1.65,0,0,0,0,0,0,0
"OTU_704",1.65,0,0,0,0,0,0,0
"OTU_705",0.77,0,0,0,0,0,0,0
"OTU_706",0.71,0,2.65,0,4.68,16.69,1.3,0
"OTU_707",13.47,0,0.58,0,0.86,0.74,0,0
"OTU_708",0.96,0,0,0,0,0,0,0
"OTU_709",50.79,0,10.76,0,0.74,0,0,0
"OTU_710",1.77,20.41,0,0,0,0,0,0
"OTU_711",2.37,0,0,0,0,0,0,0
"OTU_712",0.73,0,0,0,0,0,0,0
"OTU_713",2.99,0,0,0,3.91,0,0,6.61
"OTU_714",0.58,0,0,0,0,0,0,0.51
"OTU_715",0.82,0,0,0,0,0,0,0
"OTU_716",2.76,0,0,0,0,0,0,0
"OTU_717",1.08,0,0,0,0,0,0,0
"OTU_718",3.23,0,0,0,0,0,0,0
"OTU_719",2.37,0,0,0,5.82,0,0,5.62
"OTU_720",3.77,0,0.61,0,0,0,0,0
"OTU_721",33.26,0,0,237.4,0,0,0,0
"OTU_722",0.95,0,0,0,0,0,0,1.4
"OTU_723",1.72,0,0,0,0,0,0,0
"OTU_724",0.58,0,0,0,0,0,0,0
"OTU_725",2.37,0,0,0,0,0,0,0
"OTU_726",6.43,0,0,0,0,0,0,0
"OTU_727",1.23,0,0,0,0,0,0,0
"OTU_728",0.53,0,0,4.12,0,0,0,0
"OTU_729",0,1.1,0,0.36,0,0,0,0
"OTU_730",0,0,0,0,0,0,0,0
"OTU_731",0,0.45,0,0.85,0,0,0.5,0
"OTU_732",0,0,0,0,0,0,0,0
"OTU_733",0,0.25,0,0.18,0,0,0,0
"OTU_734",0,1.1,0,0.43,0.24,0,0,0
"OTU_735",0,0.3,0,0,0,0,0,0
"OTU_736",0,1.21,0,0.48,0,0,0,0
"OTU_737",0,0,0,0,0,0,0,0
"OTU_738",0,0.88,0,1.49,0,0,0,0
"OTU_739",0,0,0,0,0,0,0,0
"OTU_740",0,0.65,0.32,0,0.06,0,0,0
"OTU_741",0,0.78,0,0,0,0,0,0
"OTU_742",0,0.52,0,0.91,0,0,0,0
"OTU_743",0,0.58,0,0,0,0,0,0
"OTU_744",0,0.58,0,0.51,0,0,0,0
"OTU_745",0,0.38,0,0,0,0,0,0
"OTU_746",0,0,0,0,0,0,0,0
"OTU_747",0,0,0,0,0,0,0,0
"OTU_748",0,0,0,0,0,0,0,0
"OTU_749",0,0,0,0.13,0,0,0,0
"OTU_750",0,0,0,0,0,0,0,0
"OTU_751",0,0.75,0,0.3,0,0,0,0
"OTU_752",0,0.64,0,0,0,0,0,0
"OTU_753",0,0.31,0,0,0,0,0,0
"OTU_754",0,0.32,0,0,0,0,0,0
"OTU_755",0,1.95,0,0,0,0,0,0
"OTU_756",0,0.57,0,0.59,0,0,0,0
"OTU_757",0,0,0,0.33,0,0,0,0
"OTU_758",0,0,0,0,0,0,0,0
"OTU_759",0,0.13,0,0.13,0,0,0,0
"OTU_760",0,0.58,0.45,0.46,0,0,0,0
"OTU_761",0,0,0,0,0,0,0,0
"OTU_762",0,0,0,0,0,0,0,0
"OTU_763",0,0,0,0,0,0,0,0
"OTU_764",0,0,0,0,0,0,0,0
"OTU_765",0,0,0,0,0,0,0,0
"OTU_766",0,0,0,0,0,0,0,0
"OTU_767",0,0,0,0,0,0,0,0
"OTU_768",0,0,0,0,0,0,0,0
"OTU_769",0,1.02,0,0,0,0,0,0
"OTU_770",0,0.62,0,0.56,0,0,0,0
"OTU_771",0,0.45,0,0.02,0,0,0,0
"OTU_772",0,0.39,0,0.42,0,0,0,0
"OTU_773",0,0.19,0,0.06,0,0,0,0
"OTU_774",0,1.36,0,1.29,0,0,0,0
"OTU_775",0,0,0,0,0,0,0,0
"OTU_776",0,0,0,0.07,0,0,0,0
"OTU_777",0,0.52,0,0.48,0,0,0,0
"OTU_778",0,0.34,0.06,0,0,0,0,0
"OTU_779",0,0,0,0,0,0,0,0
"OTU_780",0,0,0,0,0,0,0,0
"OTU_781",0,0,0,0,0,0,0,0
"OTU_782",0,0.52,0,0.85,0,0,0,0
"OTU_783",0,0,0,0,0,0,0,0
"OTU_784",0,1.01,0,0,0,0,0,0
"OTU_785",0,0.07,0,0,0.41,0,0,0
"OTU_786",0,0,0,0,0,0,0,0
"OTU_787",0,0,0,0,0,0,0,0
"OTU_788",0,0.6,0.6,0.13,0.13,0,0,0
"OTU_789",0,2.79,0.67,0,0,0,0,0
"OTU_790",0,0.19,0,0.43,0.07,0,0,0
"OTU_791",0,1.27,0,2.37,0,0,0,0
"OTU_792",0,0.47,0,0.32,0,0,0,0
"OTU_793",0,0.51,0,0.74,0,0,0,0
"OTU_794",0,0.26,0,0,0,0,0,0
"OTU_795",0,0,0,0,0,0,0,0
"OTU_796",0,0,0,0,0,0,0,0
"OTU_797",0,0.66,0,1.68,0,0,0,0
"OTU_798",0,0.33,0,0.63,0,0,0,0
"OTU_799",0,0,0,0,0,0,0,0
"OTU_800",0,0,0,0,0,0,0,0
"OTU_801",0,0,0,0,0,0,0,0
"OTU_802",0,0,0,0,0,0,0,0
"OTU_803",0,0.13,0,0.62,0,0,0,0
"OTU_804",0,0.92,0.06,0.82,0.47,0,0.14,0
"OTU_805",0,1.11,0,0.84,0.04,0,0,0
"OTU_806",0,0,0,0,0,0,0,0
"OTU_807",0,0.46,0,0,0,0,0,0
"OTU_808",0,1.1,0.45,0.45,0,0,0,0
"OTU_809",0,0,0,0,0,0,0,0
"OTU_810",0,0,0,0,0,0,0,0
"OTU_811",0,0,0,0,0,0,0,0
"OTU_812",0,0,0,0,0,0,0,0
"OTU_813",0,0.46,0,0.33,0,0,0,0
"OTU_814",0,0,0,0,0,0,0,0
"OTU_815",0,0,0,0,0,0,0,0
"OTU_816",0,0.45,0,0,0,0,0.06,0
"OTU_817",0,0,0,0,0,0,0,0
"OTU_818",0,0,0,0,0,0,0,0
"OTU_819",0,0.45,0,0.45,1.35,0,0,0
"OTU_820",0,1.57,0,2.05,0,0,0,0
"OTU_821",0,0,0,0,0,0,0,0
"OTU_822",0,0.9,0,0.17,0,0,0,0
"OTU_823",0,0,0,0,0,0,0,0
"OTU_824",0,1.06,0,0,0,0,0,0
"OTU_825",0,1.07,0,0.49,0,0,0,0
"OTU_826",0,0.3,0,0,0,0,0,0
"OTU_827",0,1.88,0,0.83,0,0,0,0
"OTU_828",0,0.19,0,0,0,0,0,0
"OTU_829",0,0.44,0,0.12,0,0,0,0
"OTU_830",0,0.36,0,0.36,0,0,0,0
"OTU_831",0,1.49,0,0,0,0,0,0
"OTU_832",0,0.8,0,0,0,0,0,0
"OTU_833",0,0.12,0,0.72,0,0,0,0
"OTU_834",0,0,0,0,0,0,0,0
"OTU_835",0,0.73,0,0,0,0,0,0
"OTU_836",0,0.07,0,0,0,0,0,0
"OTU_837",0,0.27,0.66,0,0,0,0.33,0
"OTU_838",0,0.35,0,0,0,0,0,0
"OTU_839",0,1.25,0.06,0.29,0.36,0,0.6,0
"OTU_840",0,0.22,0,0,0,0,0,0
"OTU_841",0,45.46,26.96,2.88,0,1.7,6.73,0
"OTU_842",0,0.13,0,0,0,0,0,0
"OTU_843",0,2.81,1.45,0,1.5,4.18,0.41,0
"OTU_844",0,0.68,0.13,0,0,0,0.14,0
"OTU_845",0,0.53,0,0,0,0,0,0
"OTU_846",0,0.29,0.32,0,0,0,0,0
"OTU_847",0,0.13,0,0,0,0,0,0
"OTU_848",0,23.14,26.65,1.76,1.88,1.43,7.22,0
"OTU_849",0,1.85,1.08,0,0,0,0,0
"OTU_850",0,0.74,0.46,0.07,0,0,1.29,0
"OTU_851",0,1.63,0.62,0,0.65,0,0.39,0
"OTU_852",0,0.27,0,0,0,0,0,0
"OTU_853",0,0.55,0,0,0,0,0,0
"OTU_854",0,1.03,0,0,0,0,0,0
"OTU_855",0,0.84,0,0,0,0,0,0
"OTU_856",0,0,0,0,0,0,0,0
"OTU_857",0,0,0,0,0,0,0,0
"OTU_858",0,0,0,0,0,0,0,0
"OTU_859",0,0.31,0,0,0,0,0,0
"OTU_860",0,0.69,0,0.25,0,0,0,0
"OTU_861",0,0.23,0,0.36,0,0,0,0
"OTU_862",0,0.82,0,1.91,0,0,0,0
"OTU_863",0,0.39,0,0.45,0,0,0,0
"OTU_864",0,0.22,0,0.33,0,0,0,0
"OTU_865",0,0,0,0,0,0,0,0
"OTU_866",0,0,0,0,0,0,0,0
"OTU_867",0,0,0,0,0,0,0,0
"OTU_868",0,0,0,0,0,0,0,0
"OTU_869",0,1.56,0,0,0,0,0,0
"OTU_870",0,0.39,0,0,0,0,0,0
"OTU_871",0,0.07,0,1.52,0,0,0,0
"OTU_872",0,1.64,0,0.83,0,0,0,0
"OTU_873",0,3.91,0,0,0,0,0,0
"OTU_874",0,0.66,0,0,0,0,0,0
"OTU_875",0,0.37,0,0,0,0,0,0
"OTU_876",0,0.55,0,0,0,0,0,0
"OTU_877",0,0.47,0,0,0,0,0,0
"OTU_878",0,0,0,0,0,0,0,0
"OTU_879",0,2.35,0,0,0,0,0,0
"OTU_880",0,0.49,0,0,0,0,0,0
"OTU_881",0,0.98,0,0,0,0,0,0
"OTU_882",0,0.53,0,0.3,0,0,0,0
"OTU_883",0,0.8,0,0.6,0,0,0,0
"OTU_884",0,0,0,0,0,0,0,0
"OTU_885",0,0,0,0,0,0,0,0
"OTU_886",0,2.12,0,0,0,0,0,0
"OTU_887",0,0.85,0,1.16,0,0,0,0
"OTU_888",0,0,0,0,0,0,0,0
"OTU_889",0,0.7,0,0,0,0,0,0
"OTU_890",0,0.36,0,0.45,0,0,0,0
"OTU_891",0,0.59,0,0,0,0,0,0
"OTU_892",0,0.36,0,0,0,0,0,0
"OTU_893",0,1.01,0,0,0,0,0,0
"OTU_894",0,1.26,0,0,0,0,0,0
"OTU_895",0,0.38,0,0,0,0,0,0
"OTU_896",0,0.49,0,2.38,0,0,0,0
"OTU_897",0,0,0,0,0,0,0,0
"OTU_898",0,1.83,0,1.34,0,0,0,0
"OTU_899",0,0,0,0,0,0,0,0
"OTU_900",0,0.9,0,5.32,0,0,0,0
"OTU_901",0,4.72,0,1.04,0,0,0,0
"OTU_902",0,0.07,0,0,0,0,0,0
"OTU_903",0,2.64,0,2.86,0,0,0,0
"OTU_904",0,1.26,0,0.46,0,0,0,0
"OTU_905",0,0.19,0,1.15,0,0,0,0
"OTU_906",0,0.64,0,0,0.57,0,0,0
"OTU_907",0,1.31,0,0,1.56,0,0,0
"OTU_908",0,1.16,0,0,0,0,0,0
"OTU_909",0,0.67,0,0,0,0,0,0
"OTU_910",0,12.28,0.2,0,0.45,0,0,0
"OTU_911",0,1.7,0,0,0,0,0,0
"OTU_912",0,0.36,0,0.58,0,0,0,0
"OTU_913",0,0,0,0,0,0,0,0
"OTU_914",0,1.37,0.93,1.46,0.45,0,0,0
"OTU_915",0,3.8,0,0,0,0,0,0
"OTU_916",0,0.4,0,0.59,0,0,0,0
"OTU_917",0,0.52,0,0,0,0,0,0
"OTU_918",0,1.06,0,1.96,0,0,0,0
"OTU_919",0,0.4,0,2.56,0,0,0,0
"OTU_920",0,0.7,0,0,0,0,0,0
"OTU_921",0,0.52,0,0,0,0,0,0
"OTU_922",0,0.4,0,0,0,0,0,0
"OTU_923",0,1.29,0,6.71,0,0,0,0
"OTU_924",0,0.03,0,0,0,0,0,0
"OTU_925",0,0.63,0,0.45,0,0,0,0
"OTU_926",0,3.69,0,2.21,0,0,0,0
"OTU_927",0,0.5,0,0,0,0,0,0
"OTU_928",0,0.16,0,0,0,0,0,0
"OTU_929",0,0.07,2.11,0,0,0,0,0
"OTU_930",0,0.14,0.85,0,0,0,0.2,0
"OTU_931",0,0.97,0.39,1.2,0,0,0,0
"OTU_932",0,0.62,0,2.53,0,0,0,0
"OTU_933",0,0.55,1,0,0,0,0.84,0
"OTU_934",0,0.57,0.46,0,0,0,0,0
"OTU_935",0,2.33,0.2,0,0.06,0,1.25,0
"OTU_936",0,0.13,0,0,0,0,0,0
"OTU_937",0,2.59,0,0,0.41,1.43,0,0
"OTU_938",0,0.07,0,0,0,0,0,0
"OTU_939",0,0.9,0,0,0,0,0,0
"OTU_940",0,0,0,0,0,0,0,0
"OTU_941",0,1.76,0,0,0,0,0,0
"OTU_942",0,0.41,0,0,0,0,0,0
"OTU_943",0,1.05,0,0,0,0,0,0
"OTU_944",0,0.47,0,0.38,0,0,0,0
"OTU_945",0,0.46,0,0,0,0,0,0
"OTU_946",0,0.45,0,0,0,0,0,0
"OTU_947",0,0.32,0,0,0,0,0,0
"OTU_948",0,0.91,0,0,0,0,0,0
"OTU_949",0,0.64,0,0,0,0,0,0
"OTU_950",0,0.69,0,0.26,0,0,0,0
"OTU_951",0,0.52,0,0,0,0,0,0
"OTU_952",0,0,0,0,0,0,0,0
"OTU_953",0,0.47,0,0,0,0,0,0
"OTU_954",0,0.06,0,0,0,0,0,0
"OTU_955",0,2.83,2.4,2.86,0,0,0,0
"OTU_956",0,0.07,0,0,0,0,0,0
"OTU_957",0,0,0,0,0,0,0,0
"OTU_958",0,0.51,0,0,0,0,0,0
"OTU_959",0,1.56,0,0.54,0,0,0,0
"OTU_960",0,2.38,0,0,0,0,0,0
"OTU_961",0,0,0,0,0,0,0,0
"OTU_962",0,0,0,0,0,0,0,0
"OTU_963",0,0,0,0,0,0,0,0
"OTU_964",0,0.26,0.14,0,0,0,0,0
"OTU_965",0,0.2,0,0,0,0,0,0
"OTU_966",0,0.39,0,1.83,0.25,0,0,0
"OTU_967",0,0.39,0,0,0,0,0,0
"OTU_968",0,0.22,0,0,0,0,0,0
"OTU_969",0,2.16,0,1.74,0,0,0,0
"OTU_970",0,0.36,0,0,0,0,0,0
"OTU_971",0,3.52,0,0,0,0,0,0
"OTU_972",0,1.04,0,0,0,0,0,0
"OTU_973",0,2.16,0,0,0,0,0,0
"OTU_974",0,0.48,0,0,0,0,0,0
"OTU_975",0,0.66,0,0,0,0,0,0
"OTU_976",0,0.46,0,0,0,0,0,0
"OTU_977",0,0.46,0,0,0,0,0,0
"OTU_978",0,5.71,0,0,0,0,0,0
"OTU_979",0,0.61,0,0,0,0,0,0
"OTU_980",0,1.12,0,0,0,0,0,0
"OTU_981",0,1.73,0,0,0,0,0,0
"OTU_982",0,0,0,0,0,0,0,0
"OTU_983",0,0,0,0,0,0,0,0
"OTU_984",0,0.37,0,0,0,0,0,0
"OTU_985",0,0.3,0,0,0,0,0,0
"OTU_986",0,0.61,0,0,0,0,0,0
"OTU_987",0,7.14,1.04,0,0,0,1.66,0
"OTU_988",0,6.27,2.87,0,0,0,2.76,0
"OTU_989",0,0,0,0,0,0,0.41,0
"OTU_990",0,3.96,0.9,0,0,0,0.92,0
"OTU_991",0,1.28,1.67,0,0,0,3.53,0
"OTU_992",0,0.42,0,0,0,0,0,0
"OTU_993",0,3.81,2.82,0,0,0,1.29,0
"OTU_994",0,0.49,0,0,0,0,0,0
"OTU_995",0,3.81,0,0,0,0,0,0
"OTU_996",0,4.76,0,0,0,0,0,0
"OTU_997",0,1.23,0.82,0.37,0.76,0,0,0
"OTU_998",0,0.45,0,0,1.79,0,0,0
"OTU_999",0,0,0.05,0,0,0,0,0
"OTU_1000",0,2.12,0,0,0,0,0,0
"OTU_1001",0,126.5,31.75,0.74,0,8.09,0,0
"OTU_1002",0,4.38,2.55,0,0,0,0.42,0
"OTU_1003",0,3.14,6.71,1.02,0,0,3.1,0
"OTU_1004",0,2.2,3.02,0,0,0,0,0
"OTU_1005",0,0.73,0,0,0,0,0,0
"OTU_1006",0,18.3,12.16,0.78,0,0,3.8,0
"OTU_1007",0,18.9,9.21,0,0,0,0,0
"OTU_1008",0,0.51,3.04,0,0,0,0,0
"OTU_1009",0,4.56,1.94,0,0,0,0,0
"OTU_1010",0,3.38,0.58,0,0,0,0,0
"OTU_1011",0,16.63,17.21,0,0,1.04,0,0
"OTU_1012",0,3.56,4.79,0,0,0.44,0,0
