"","20GWC20082-GOWN113","22GWC22040-GOWN3026","22GWC22042-GOWN983","22GWC22050-GOWN117","21GWC21030-GOWN265","21GWC21030-GOWN265-ST","AOB-NOB-GOWN983","21GWO10014-01-GOWN246"
"OTU_105",0.6,1.42,0.6,1.12,0.4,0,0,0.66
"OTU_106",0.06,0,0,0,0,0,0,0
"OTU_107",0.41,1.05,0,1.12,0,0,0,0
"OTU_108",2.08,0.73,0.32,1.62,0.16,0,0,0.38
"OTU_109",1.98,3.23,0,1.96,0,0,0,0
"OTU_110",0.26,0.15,0,1.11,0,0,0,0
"OTU_111",0.57,0,0,0.67,0,0,0,0
"OTU_112",0.2,0,0,0,0,0,0,0
"OTU_113",0.13,0,0,0,0.27,0,0,0.13
"OTU_114",0,0,0,0,0,0,0,0
"OTU_115",0,0.06,0,0,0,0,0,0
"OTU_116",0,0,0,0,0,0,0,0
"OTU_117",0,1.52,0,2.12,0,0,0,0
"OTU_118",0,0,0,0,0,0,0,0
"OTU_119",0.47,0,0.06,0,0,0,0,0
"OTU_120",0.37,0,0,0,0,0,0,0
"OTU_121",0.41,0.95,0.12,0.53,0,0,0,0
"OTU_122",4.24,8.23,1.7,6.58,0,0,0.3,0
"OTU_123",3.33,5.98,0,5.61,0,0,0,0
"OTU_124",1.26,0.56,0.48,0.69,0,0,0,0
"OTU_125",0.42,0.8,0.48,0.24,0,0,0,0
"OTU_126",1.49,2.25,0,3.55,0,0,0,0
"OTU_127",3.03,0.9,0.26,2.76,0,0,0,0
"OTU_128",0.84,0.32,0,1.41,0,0,0,0
"OTU_129",0.67,0.59,0,2.83,0,0,0,0
"OTU_130",7.5,0.67,0.45,5.22,0,0,0,0.06
"OTU_131",0.4,0.54,0,0,0,0,0,0
"OTU_132",0.2,0,0,0.16,0,0,0,0
"OTU_133",0.76,0,0,0.39,0,0,0,0
"OTU_134",0,0,0,0,0,0,0,0
"OTU_135",0,0,0,0,0,0,0,0
"OTU_136",0,0,0,0,0,0,0,0
"OTU_137",0,0,0,0,0,0,0,0
"OTU_138",0,0.06,0,0,0,0,0,0
"OTU_139",0,0,0,0,0,0,0,0
"OTU_140",0.91,5.85,0.38,2.1,0,0,0,0
"OTU_141",12.81,35.35,3.91,61.17,0.58,0,0.72,0
"OTU_142",11.39,11.71,3.21,20.1,0,0,0.58,2.17
"OTU_143",0.59,0.53,0,0.63,0,0,0,0
"OTU_144",4.65,10.1,1.22,14.92,0.46,0,0.71,0
"OTU_145",1.38,0.54,0.59,1.73,0,0,0,0
"OTU_146",0.27,5.32,0,1.02,0,0,0,0
"OTU_147",0.34,1.7,0,0.07,0,0,0,0
"OTU_148",0,0,0,0,0,0,0,0
"OTU_149",0,0,0,0,0,0,0,0
"OTU_150",3.69,4.09,0,6.68,0,0,0,0.44
"OTU_151",0,1.05,0,0,0,0,0,0
"OTU_152",0.37,3.06,0.71,0.63,0,0,0,0
"OTU_153",0.16,0.57,0,0.11,0,0,0,0
"OTU_154",1.15,0.89,0.71,0.74,0,0,0,0
"OTU_155",1.99,1.15,1.38,3.26,0,0,0,0.4
"OTU_156",1.14,2.37,0.34,4.23,0,0,0.2,0
"OTU_157",0.32,0,0,0.26,0,0,0,0
"OTU_158",0,0,0,0,0,0,0,0
"OTU_159",0,0,0,0,0,0,0,0
"OTU_160",0,0,0,0,0,0,0,0
"OTU_161",0,0,0,0,0,0,0,0
"OTU_162",1.26,0,0,0.57,0,0,0,0
"OTU_163",0.71,0.46,0,1.44,0,0,0,0
"OTU_164",0.19,0,0,0.62,0,0,0,0
"OTU_165",0,0,0,0.03,0,0,0,0
"OTU_166",0,0,0,0,0,0,0,0
"OTU_167",0,0.32,0,0,0,0,0,0
"OTU_168",0,0,0,0,0,0,0,0
"OTU_169",0.45,2.01,2.19,13.21,0,0,0.58,0
"OTU_170",0.26,2.88,0,1.79,0,0,0,0
"OTU_171",0,0,0,0,0,0,0,0.23
"OTU_172",29.62,8.11,21.56,7.59,19.45,6.35,31.32,0.13
"OTU_173",1.96,0.51,0,0.07,0,0,0,0
"OTU_174",0.84,5.19,2.09,1.54,1.23,0.41,0.36,0.39
"OTU_175",0.13,0,0,0,0.06,0,0,0
"OTU_176",0.39,6.52,2.73,0.78,0.33,0.62,0.67,0
"OTU_177",4.48,7.03,4.45,4.51,3.22,1.17,4.6,0
"OTU_178",0.59,2.94,0.53,0.33,0.72,0,1.14,0
"OTU_179",0.19,0,0.45,0.46,0,0,0,0
"OTU_180",0,0,0,0,0,0,0,0
"OTU_181",0,0,0,0,0,0,0,0
"OTU_182",0,0,0,0,0,0,0,0
"OTU_183",1.04,1.67,1.03,1.89,0.76,0,0,0
"OTU_184",0.26,0,0,0.53,0,0,0,0
"OTU_185",0.13,0,0,0,0,0,0,0
"OTU_186",0.06,0,0,0.07,0,0,0,0
"OTU_187",6,1.42,2.75,3.09,7.88,1.24,0.77,3.93
"OTU_188",0,0,0.39,0,0.13,0,0,0
"OTU_189",0,0,0,0,0,0,0,0
"OTU_190",0.19,0,0.26,0.26,0.8,0,0,0.52
"OTU_191",0.32,0.08,0,0,0,0,0,0
"OTU_192",0.54,0,0,0.58,0,0,0,0
"OTU_193",11.14,0,1.95,10.19,0,0,0,0
"OTU_194",0.58,0,0,0,0,0,0,0
"OTU_195",0.33,0,0,0,0,0,0,0
"OTU_196",0.72,0,0.52,0.89,0,0,0,0
"OTU_197",0.38,0.13,0,1.52,0,0,0,0
"OTU_198",0.32,0,0,0.85,0,0,0,0
"OTU_199",0,0,0,0,0,0,0,0
"OTU_200",0,0,0,0,0,0,0,0
"OTU_201",0,0,0,0,0,0,0,0
"OTU_202",0,0,0,0,0,0,0,0
"OTU_203",0,0,0,0,0,0,0,0
"OTU_204",3.83,1.84,0.52,2.89,3.05,0,0,0.53
"OTU_205",0,0,0,0,0,0,0,0
"OTU_206",0,0,0,0,0,0,0,0
"OTU_207",0,0,0,0,0,0,0,0
"OTU_208",0.33,0,0,0.38,0,0,0,0
"OTU_209",0.27,0,0,0,0,0,0,0
"OTU_210",2.15,0,0,0,0.07,0,0,1.07
"OTU_211",1.31,0,1.1,0,0.42,0,0,0.26
"OTU_212",2.59,0,1.17,0.79,1.3,0,0,1.86
"OTU_213",2.56,0,2.1,8.65,13.48,0,0,2.72
"OTU_214",0,0,0,0,0,0,0,0
"OTU_215",0,0,0,0,0,0,0,0
"OTU_216",0.37,0,0,0,0,0,0,0
"OTU_217",0.42,0.13,0,0,0,0,0,0
"OTU_218",0.98,0.96,0,1.43,0,0,0,0
"OTU_219",0,0,0,0,0,0,0,0
"OTU_220",0,0,0,0,0,0,0,0
"OTU_221",0,0,0,0,0,0,0,0
"OTU_222",0,0,0,0.06,0,0,0,0
"OTU_223",0,0.13,0,0,0,0,0,0
"OTU_224",0,0,0,0,0,0,0,0
"OTU_225",0,0,0,0,0,0,0,0
"OTU_226",1.03,0.81,0,0.74,0,0,0,0
"OTU_227",0.89,0,0,2.54,0,0,0,0
"OTU_228",0.9,0.53,2.47,1.51,0.79,0,0.61,0
"OTU_229",0.13,1.21,3.11,1.12,0,0,1.06,0
"OTU_230",0.07,0.34,0.82,0.39,0,0,0.07,0
"OTU_231",1.16,1.28,0.32,0.88,0,0,0,0
"OTU_232",0,0,0,0,0,0,0,0
"OTU_233",0,0,0,0,0,0,0,0
"OTU_234",0,0,0,0,0,0,0,0
"OTU_235",0.84,0,0,2.82,0,0,0,0
"OTU_236",1,1.47,3.62,1.57,0,0,0.71,0
"OTU_237",0.64,0.39,0,0.54,0,0,0,0
"OTU_238",0,0,0,0,0,0,0,0
"OTU_239",1.1,0,0,0,0.57,0,0,0
"OTU_240",0,0,0,0,0,0,0,0
"OTU_241",1.8,0.4,0,1.15,0.79,0,0,0.07
"OTU_242",0.67,0.99,0,0.78,0.52,0,0,0
"OTU_243",0.65,0,0.46,0,0,0,0,0.79
"OTU_244",0,0,0,0,0,0,0,0
"OTU_245",0,0,0,0,0,0,0,0
"OTU_246",0.51,0,0,0,0.25,0,0,0
"OTU_247",0,0,0,0,0,0,0,0
"OTU_248",0,0,0,0,0,0,0,0
"OTU_249",0,0,0,0,0,0,0,0
"OTU_250",0.34,0,0,0,0,0,0,0
"OTU_251",1.78,0,2.28,0,0,0,0,0
"OTU_252",1.04,2.44,0,3.32,0.59,0,0,0
"OTU_253",0,0,0,0,0,0,0,0
"OTU_254",0.38,0,0,0,0,0,0,0
"OTU_255",0.45,0,0,0,0.91,0,0,0
"OTU_256",0,0,0,0,0,0,0,0
"OTU_257",0,0,0,0,0,0,0,0
"OTU_258",0,0,0,0,0,0,0,0
"OTU_259",0,0.13,0,0.13,0,0,0,0
"OTU_260",0.72,1.04,0,2.54,0,0,0,0
"OTU_261",0,0,0,0,0,0,0,0
"OTU_262",0,0,0,0,0,0,0,0
"OTU_263",0.06,0,0,0,0.13,0,0,0.78
"OTU_264",0.48,0,0,0,0,0,0,0
"OTU_265",0.8,0,0,0,0,0,0,0
"OTU_266",0.39,0,0,0.99,0.39,0,0,0
"OTU_267",0,0,0,0,0,0,0,0
"OTU_268",1.16,1.67,0.19,0.82,0,0,0,0
"OTU_269",0,0,0,0.39,0,0,0,0
"OTU_270",0,0,0,0,0,0,0,0
"OTU_271",0,0,0,0,0,0,0,0
"OTU_272",0.46,0,0,0,0,0,0,0
"OTU_273",0.75,0.94,0,0.32,0,0,0,0
"OTU_274",0.32,0.33,0,0,0,0,0,0
"OTU_275",0,0.13,0,0,0,0,0,0
"OTU_276",0.4,0,0,0,0,0,0,0
"OTU_277",0,0,0,0,0,0,0,0
"OTU_278",0,0,0,0,0,0,0,0
"OTU_279",2.62,1.5,0.5,3.67,0.33,0,0,0
"OTU_280",0.48,2.89,0.77,1.89,0.91,0,0,0
"OTU_281",0.26,0,0,0,0,0,0,0
"OTU_282",0,0.39,0,0,0,0,0,0
"OTU_283",0,0,0,0,0,0,0,0
"OTU_284",12.26,14.6,0.48,34.7,1.62,0,0,0
"OTU_285",2.23,5.08,0,2.75,0,0,0,0
"OTU_286",0.6,0.97,0,0,0,0,0,0
"OTU_287",0.66,1.72,0,3.92,0,0,0,0
"OTU_288",0.47,0.45,0,1.3,0,0,0,0
"OTU_289",0,0,0,0,0,0,0,0
"OTU_290",0,0,0,0,0,0,0,0
"OTU_291",8.2,2.69,0.97,19.25,0,0,0,0
"OTU_292",3.12,0,0,1.68,0,0,0,0
"OTU_293",2.72,1.26,0,7.73,0,0,0,0
"OTU_294",11.1,8.73,1,41.6,0,0,0,0
"OTU_295",2.88,0,0,1.66,0,0,0,0
"OTU_296",1.87,0,0,0.37,0,0,0,0
"OTU_297",0.13,0,0,0.77,0,0,0,0
"OTU_298",1.9,0,0,2.43,0,0,0,0
"OTU_299",0.38,0,0,0,0,0,0,0
"OTU_300",1.18,0,0,0.7,0,0,0,0.52
"OTU_301",0,0,0,0,0,0,0,0
"OTU_302",3.61,0.57,0,3.83,0,0,0,0
"OTU_303",1.48,0,0,2.27,0.45,0,0,0
"OTU_304",0,0,0,0,0,0,0,0
"OTU_305",5.65,10.28,0,27.31,0,0,0,0
"OTU_306",4.85,5.61,0,3.49,0,0,0,0
"OTU_307",0.64,0,0,0,0,0,0,0.39
"OTU_308",0.6,0,0,0,0,0,0,0
"OTU_309",0.7,0.82,0,1.08,0,0,0,0
"OTU_310",0,0,0,0,0,0,0,0
"OTU_311",0.39,1.06,0,2.29,0,0,0,0
"OTU_312",1.6,12.24,0,7.75,0,0,0,0
"OTU_313",0.92,2.24,0,9.19,0,0,0,0
"OTU_314",0.13,3.25,0.25,2.96,0,0,0,0
"OTU_315",0.07,0.73,0,1.76,0,0,0,0
"OTU_316",0.71,0,0,3.05,0,0,0,0
"OTU_317",0.46,0.51,0,0.06,0,0,0,0
"OTU_318",0.13,2.69,0,0.68,0,0,0,0
"OTU_319",0,0.62,0,1.01,0,0,0,0
"OTU_320",0,0,0,0,0,0,0,0
"OTU_321",0,0.97,0.07,0.21,0,0,0,0
"OTU_322",2.26,2.43,0,9.76,0,0,0,0
"OTU_323",2.31,1.28,0,2.57,0,0,0,0
"OTU_324",2.1,5.09,0.34,2.34,0,0,0,0
"OTU_325",1.34,0.73,0,1.55,0,0,0,0
"OTU_326",0.77,0.36,0,0.4,0,0,0,0
"OTU_327",1.25,0,0,0.41,0,0,0,0
"OTU_328",1.09,1.14,0,0.65,0,0,0,0
"OTU_329",2.11,3.33,0,11.96,0,0,0,0
"OTU_330",2.12,5.89,0,19.09,0,0,0,0
"OTU_331",1.64,2.25,0,11.21,0,0,0,0
"OTU_332",0.77,6.3,0,2.09,0,0,0,0
"OTU_333",1.57,1.58,0,3.06,0,0,0,0
"OTU_334",0.79,4.18,0,0.96,0,0,0,0
"OTU_335",0.45,0,0,0,0,0,0,0
"OTU_336",1.25,25.77,0,1.15,0,0,0,0
"OTU_337",0.07,3.35,0,1.23,0,0,0,0
"OTU_338",0.38,2.41,0,0.45,0,0,0,0
"OTU_339",0.32,0.67,0,1.44,0,0,0,0
"OTU_340",8.23,1.7,0,5.67,0,0,0,0.48
"OTU_341",1.45,0,0,0.44,0,0,0,0
"OTU_342",0.39,0,0,0,0,0,0,0
"OTU_343",1.34,13.24,0,8.39,0,0,0,0
"OTU_344",3.48,7.94,0.65,5.84,0,0,0,0
"OTU_345",0.79,7.04,0,0.57,0,0,0,0
"OTU_346",0.9,0,0,1.65,0,0,0,0
"OTU_347",1.99,0,0,0.59,0,0,0,0
"OTU_348",0.93,0,0,0.37,0,0,0,0
"OTU_349",0.78,0.7,0,4.46,0,0,0,0
"OTU_350",0.09,0,0,0.51,0,0,0,0
"OTU_351",0.13,0,0,0.72,0,0,0,0
"OTU_352",1.25,3.32,0,2.65,0,0,0,0
"OTU_353",1.44,3.42,0,4.9,0,0,0,0
"OTU_354",0.39,0.39,0,2.56,0,0,0,0
"OTU_355",0.95,1.55,0,2.25,0,0,0,0
"OTU_356",0.37,0,0,0.77,0,0,0,0
"OTU_357",0.86,0.82,0,3.68,0,0,0,0
"OTU_358",0,0,0,0,0,0,0,0
"OTU_359",0.68,0.7,0,0.06,0,0,0,0
"OTU_360",0.65,0,0,0.47,0,0,0,0
"OTU_361",0.51,0,0,0,0,0,0,0
"OTU_362",1.7,0,0,1.87,0,0,0,0
"OTU_363",0,0,0,0,0,0,0,0
"OTU_364",0.73,0,0,0,0,0,0,0
"OTU_365",0.58,0,0,1.49,0,0.48,0,0
"OTU_366",0.46,1.44,0,1.25,0,0,0,0
"OTU_367",0,0.25,0,0,0,0,0,0.15
"OTU_368",0.58,0,0.13,0,0,0,0,0
"OTU_369",0.59,0.6,0.26,0,0.74,0,0,0
"OTU_370",1.03,0.48,0,1.44,0,0,0,0
"OTU_371",2.29,2.46,1.97,0.85,6.63,0.54,2.49,0
"OTU_372",8.74,45.23,64.39,5.42,21.83,12.41,40.61,0.8
"OTU_373",0.57,0,0.98,0.63,9.39,0,0.86,0
"OTU_374",0.35,2.43,0,5.09,0,0,0,0
"OTU_375",0,0,0,0,0,0,0,0
"OTU_376",3.07,1.24,0,0.99,0,0,0,0
"OTU_377",1.32,0,0,0,0,0,0,0
"OTU_378",0.33,1.53,1.1,0.33,0.52,0,0.96,0
"OTU_379",0,0,0,0,0,0,0,0
"OTU_380",0.13,0,0.81,0,1.21,1.19,0.06,0
"OTU_381",2.26,3.62,2.54,0.65,1.14,0.21,2.15,0
"OTU_382",0.9,0.87,1.38,0.55,0.39,0,0.45,0
"OTU_383",0.53,5.74,4.77,1.04,0.52,0,5.87,0
"OTU_384",0.9,1.21,1.56,0.71,0,0,1.29,0
"OTU_385",0.79,14.26,7.52,1.1,0.43,0,26.04,0
"OTU_386",2.75,8.28,8.41,9.62,1.77,16.38,12.64,0
"OTU_387",0.71,2.37,2.03,0,0,0,0,0
"OTU_388",0,0,0,0,0,0,0,0
"OTU_389",2.73,0,0,3.02,0,0,0,0
"OTU_390",0.78,0,0,0.64,0,0,0,0
"OTU_391",0.19,0.39,0,1.68,0,0,0,0
"OTU_392",0.79,0,0,0,0,0,0,0
"OTU_393",0.52,0,0,1.64,0,0,0,0
"OTU_394",0.61,0,0,0,0,0,0,0
"OTU_395",1.05,0,0,0,0.13,0,0,0.52
"OTU_396",0.07,0.06,0,0.32,0.07,0.39,0,0.07
"OTU_397",0.47,0,0.97,0.52,0.29,0,0,0.65
"OTU_398",0,0,0,0,0,0,0,0
"OTU_399",0.32,0,0,0,0.07,0,0,0
"OTU_400",0,0,0,0,0,0,0,0
"OTU_401",1.37,0,0,1.07,2.52,0,0,0
"OTU_402",0.45,0,0,0,0,0,0,0.21
