Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-BR1-10X-1_Box1,30,698.940,23.298,1.130,255
D2-SMPL-DAPI-BR1-10X-1_Box2,31,955.719,30.830,1.519,255
D2-SMPL-DAPI-BR1-10X-1_Box3,50,1040.420,20.808,1.627,255
D2-SMPL-DAPI-BR1-10X-1_Box4,40,811.507,20.288,1.281,255
D2-SMPL-DAPI-BR1-10X-1_Box5,50,883.062,17.661,1.437,255
D2-SMPL-DAPI-BR1-10X-1_Box6,44,834.650,18.969,1.373,255
