Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-GR1-10X-2_Box1,50,162.317,3.246,0.262,255
D2-SMPL-DAPI-GR1-10X-2_Box2,40,141.063,3.527,0.224,255
D2-SMPL-DAPI-GR1-10X-2_Box3,9,29.834,3.315,0.047,255
D2-SMPL-DAPI-GR1-10X-2_Box4,6,21.805,3.634,0.034,255
D2-SMPL-DAPI-GR1-10X-2_Box5,3,16.137,5.379,0.026,255
D2-SMPL-DAPI-GR1-10X-2_Box6,2,62.030,31.015,0.102,255
