Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-GR1-10X-3_Box1,12,118.156,9.846,0.191,255
D2-SMPL-DAPI-GR1-10X-3_Box2,17,180.895,10.641,0.288,255
D2-SMPL-DAPI-GR1-10X-3_Box3,2,20.782,10.391,0.032,255
D2-SMPL-DAPI-GR1-10X-3_Box4,15,175.778,11.719,0.278,255
D2-SMPL-DAPI-GR1-10X-3_Box5,9,36.289,4.032,0.059,255
D2-SMPL-DAPI-GR1-10X-3_Box6,11,99.185,9.017,0.163,255
