Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YW1-10X-3_Box1,27,123.194,4.563,0.199,255
D2-SMPL-DAPI-YW1-10X-3_Box2,17,150.509,8.853,0.239,255
D2-SMPL-DAPI-YW1-10X-3_Box3,16,350.690,21.918,0.548,255
D2-SMPL-DAPI-YW1-10X-3_Box4,39,634.706,16.275,1.002,255
D2-SMPL-DAPI-YW1-10X-3_Box5,11,293.147,26.650,0.477,255
D2-SMPL-DAPI-YW1-10X-3_Box6,12,81.946,6.829,0.135,255
