Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YR1-10X-1_Box1,151,713.660,4.726,1.154,255
D2-SMPL-DAPI-YR1-10X-1_Box2,145,865.351,5.968,1.375,255
D2-SMPL-DAPI-YR1-10X-1_Box3,133,729.798,5.487,1.141,255
D2-SMPL-DAPI-YR1-10X-1_Box4,142,1066.476,7.510,1.684,255
D2-SMPL-DAPI-YR1-10X-1_Box5,126,614.869,4.880,1.001,255
D2-SMPL-DAPI-YR1-10X-1_Box6,135,786.239,5.824,1.293,255
