Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-GP1-10X-2_Box1,7,42.665,6.095,0.069,255
D2-SMPL-DAPI-GP1-10X-2_Box2,13,212.461,16.343,0.338,255
D2-SMPL-DAPI-GP1-10X-2_Box3,4,19.365,4.841,0.030,255
D2-SMPL-DAPI-GP1-10X-2_Box4,8,80.057,10.007,0.126,255
D2-SMPL-DAPI-GP1-10X-2_Box5,9,24.560,2.729,0.040,255
D2-SMPL-DAPI-GP1-10X-2_Box6,3,5.668,1.889,0.009,255
