Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-GW1-10X-2_Box1,14,132.011,9.429,0.213,255
D2-SMPL-DAPI-GW1-10X-2_Box2,11,80.922,7.357,0.129,255
D2-SMPL-DAPI-GW1-10X-2_Box3,6,67.383,11.230,0.105,255
D2-SMPL-DAPI-GW1-10X-2_Box4,3,48.963,16.321,0.077,255
D2-SMPL-DAPI-GW1-10X-2_Box5,4,93.754,23.438,0.153,255
D2-SMPL-DAPI-GW1-10X-2_Box6,3,38.966,12.989,0.064,255
