 ,Area,Mean,Min,Max
1,1.417,255,255,255
2,4.408,255,255,255
3,8.580,255,255,255
4,7.636,255,255,255
5,4.881,255,255,255
6,4.330,255,255,255
7,24.088,255,255,255
8,2.913,255,255,255
9,5.195,255,255,255
10,7.085,255,255,255
11,2.519,255,255,255
12,10.155,255,255,255
13,3.227,255,255,255
14,5.432,255,255,255
15,2.519,255,255,255
16,1.732,255,255,255
17,4.251,255,255,255
18,5.117,255,255,255
19,5.195,255,255,255
20,3.857,255,255,255
21,2.676,255,255,255
22,7.636,255,255,255
23,2.834,255,255,255
24,4.251,255,255,255
25,3.700,255,255,255
26,2.519,255,255,255
27,6.297,255,255,255
28,3.778,255,255,255
29,7.242,255,255,255
30,53.686,255,255,255
31,31.487,255,255,255
32,1.889,255,255,255
33,1.811,255,255,255
34,2.204,255,255,255
35,2.519,255,255,255
36,6.848,255,255,255
37,1.181,255,255,255
38,1.574,255,255,255
39,6.612,255,255,255
40,1.889,255,255,255
41,6.534,255,255,255
42,3.070,255,255,255
43,1.811,255,255,255
44,1.181,255,255,255
45,2.913,255,255,255
46,1.181,255,255,255
47,1.259,255,255,255
48,6.927,255,255,255
49,2.913,255,255,255
50,4.802,255,255,255
51,2.598,255,255,255
52,1.968,255,255,255
53,6.848,255,255,255
54,8.029,255,255,255
55,5.668,255,255,255
56,4.802,255,255,255
57,1.259,255,255,255
58,3.306,255,255,255
59,2.913,255,255,255
60,25.190,255,255,255
61,2.834,255,255,255
62,1.259,255,255,255
63,2.676,255,255,255
64,6.061,255,255,255
65,3.857,255,255,255
66,38.966,255,255,255
67,5.432,255,255,255
68,1.574,255,255,255
69,5.510,255,255,255
70,4.487,255,255,255
71,2.598,255,255,255
72,2.598,255,255,255
73,6.140,255,255,255
74,5.904,255,255,255
75,9.289,255,255,255
76,4.959,255,255,255
77,8.580,255,255,255
78,11.572,255,255,255
79,3.542,255,255,255
80,2.440,255,255,255
81,26.843,255,255,255
82,6.691,255,255,255
83,1.259,255,255,255
84,2.283,255,255,255
85,9.525,255,255,255
86,9.604,255,255,255
87,2.676,255,255,255
88,1.417,255,255,255
89,1.181,255,255,255
90,1.811,255,255,255
91,5.746,255,255,255
92,2.913,255,255,255
93,2.362,255,255,255
94,4.566,255,255,255
95,3.306,255,255,255
96,8.580,255,255,255
97,2.598,255,255,255
98,6.219,255,255,255
99,3.857,255,255,255
100,5.432,255,255,255
101,8.895,255,255,255
102,9.761,255,255,255
103,1.181,255,255,255
104,4.644,255,255,255
105,248.041,255,255,255
106,3.464,255,255,255
107,1.811,255,255,255
108,3.542,255,255,255
109,8.816,255,255,255
110,5.746,255,255,255
111,1.968,255,255,255
112,2.991,255,255,255
113,12.595,255,255,255
114,2.676,255,255,255
115,8.029,255,255,255
116,30.070,255,255,255
117,20.388,255,255,255
118,1.574,255,255,255
119,1.181,255,255,255
120,5.353,255,255,255
121,1.574,255,255,255
122,3.936,255,255,255
123,2.204,255,255,255
124,1.496,255,255,255
125,2.991,255,255,255
126,1.259,255,255,255
127,5.274,255,255,255
128,6.140,255,255,255
129,1.732,255,255,255
130,7.636,255,255,255
131,2.362,255,255,255
132,2.047,255,255,255
133,2.834,255,255,255
134,4.802,255,255,255
135,2.991,255,255,255
136,10.942,255,255,255
137,1.811,255,255,255
138,10.233,255,255,255
139,2.598,255,255,255
140,4.644,255,255,255
141,1.259,255,255,255
142,1.496,255,255,255
