Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
18,Exp2-D50_20250916-1230H_STD-SO4200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
19,Exp2-D50_20250916-1230H_STD-SO4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Exp2-D50_20250916-1230H_STD-HCOO1000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D50_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,Exp2-D50_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,Exp2-D50_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
25,Exp2-D50_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,Exp2-D50_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27,Exp2-D50_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,Exp2-D50_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
29,Exp2-D50_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
30,Exp2-D50_20250916-1230H_CO2,3.520,0.528,2.623,40.037,0.44,BM 
31,Exp2-D50_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,Exp2-D50_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,Exp2-D50_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,Exp2-D50_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35,Exp2-D50_20250916-1230H_CO3,3.517,0.516,2.544,39.253,0.43,BM 
36,Exp2-D50_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,Exp2-D46_20250916-1230H_SH2_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,Exp2-D46_20250916-1230H_SH3_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
40,Exp2-D46_20250916-1230H_SS1_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
41,Exp2-D46_20250916-1230H_SS2_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
42,Exp2-D46_20250916-1230H_SS3_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
43,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44,PW-A100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
45,PW-D100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
46,PW-F100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
47,PW-A10_20250916,3.243,0.087,0.380,10.017,0.01,BMB*
48,PW-D10_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
49,PW-F10_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
50,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
51,Exp2-D56_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
52,Exp2-D56_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
53,Exp2-D56_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
54,Exp2-D56_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
55,Exp2-D56_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
56,Exp2-D56_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
57,Exp2-D56_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
58,Exp2-D56_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
59,Exp2-D56_20250916-1230H_CO2,3.527,0.270,1.303,22.489,0.42,BM 
60,Exp2-D56_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
61,Exp2-D56_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
62,Exp2-D56_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
63,Exp2-D56_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
64,Exp2-D56_20250916-1230H_CO3,3.530,0.403,1.958,31.529,0.37,BM 
65,Exp2-D56_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
66,Exp2-D65_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
67,Exp2-D65_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
68,Exp2-D65_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
69,Exp2-D65_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70,Exp2-D65_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
71,Exp2-D65_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72,Exp2-D65_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73,Exp2-D65_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
74,Exp2-D65_20250916-1230H_CO2,3.530,0.451,2.133,34.851,0.38,BM 
75,Exp2-D65_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
76,Exp2-D65_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77,Exp2-D65_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
78,Exp2-D65_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
79,Exp2-D65_20250916-1230H_CO3,3.530,0.447,2.106,34.535,0.37,BM 
80,Exp2-D65_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81,Exp2-D73_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
82,Exp2-D73_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
83,Exp2-D73_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,Exp2-D73_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
85,Exp2-D73_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
86,Exp2-D73_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87,Exp2-D73_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
88,Exp2-D73_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89,Exp2-D73_20250916-1230H_CO2,3.540,0.529,2.564,40.152,0.45,BM 
90,Exp2-D73_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
91,Exp2-D73_20250916-1230H_SA3,3.557,0.112,0.621,11.764,0.10,BMB*
92,Exp2-D73_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93,Exp2-D73_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94,Exp2-D73_20250916-1230H_CO3,3.527,0.533,2.546,40.398,0.45,BM 
95,Exp2-D73_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96,Exp2-D78_20250916-1230H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
97,Exp2-D78_20250916-1230H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98,Exp2-D78_20250916-1230H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
99,Exp2-D78_20250916-1230H_CO1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
100,Exp2-D78_20250916-1230H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
101,Exp2-D78_20250916-1230H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
102,Exp2-D78_20250916-1230H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103,Exp2-D78_20250916-1230H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
104,Exp2-D78_20250916-1230H_CO2,3.550,0.522,2.482,39.663,0.44,BM 
105,Exp2-D78_20250916-1230H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
106,Exp2-D78_20250916-1230H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
107,Exp2-D78_20250916-1230H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
108,Exp2-D78_20250916-1230H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
109,Exp2-D78_20250916-1230H_CO3,3.550,0.275,1.678,22.849,0.23,BMB*
110,Exp2-D78_20250916-1230H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
