Plate_Location,Sample,Day,Setup,DilutionCorr,Rock_Type,REP,Absorbance (640nm),Amount NH3 (mg NH3-N/L),Amount NH3_Dilution_Corr (mg NH3-N/L),Amount_NH3,,,,,,,,,
P1-F1,D21-CO-1,21,CO,1,Coal,1,0.859,1.673384447,1.673384447,1.673384447,,,,,,,,,
P1-F2,D21-CO-2,21,CO,1,Coal,2,0.71,1.346987952,1.346987952,1.346987952,,,,,,,,,
P1-F3,D21-CO-3,21,CO,1,Coal,3,0.686,1.29441402,1.29441402,1.29441402,,,,,,,,,
P1-F4,D21-SS-1,21,SS,1,Sandstone,1,0.172,0.168455641,0.168455641,0.168455641,,,,,,,,,
P1-F5,D21-SS-2,21,SS,1,Sandstone,2,0.17,0.16407448,0.16407448,0.16407448,,,,,,,,,
P1-F6,D21-SS-3,21,SS,1,Sandstone,3,0.19,0.20788609,0.20788609,0.20788609,,,,,,,,,
P1-F7,D28-CL-1,28,CL,1,No_Rocks,1,0.058,-0.081270537,-0.081270537,0,,,,,,,,,
P1-F8,D28-CL-2,28,CL,1,No_Rocks,2,0.052,-0.09441402,-0.09441402,0,,,,,,,,,
P1-F9,D28-CL-3,28,CL,1,No_Rocks,3,0.053,-0.092223439,-0.092223439,0,,,,,,,,,
P1-F10,D28-SH-1,28,SH,1,Shale,1,0.309,0.46856517,0.46856517,0.46856517,,,,,,,,,
P1-F11,D28-SH-2,28,SH,1,Shale,2,0.25,0.33932092,0.33932092,0.33932092,,,,,,,,,
P1-F12,D28-SH-3,28,SH,1,Shale,3,0.303,0.455421687,0.455421687,0.455421687,,,,,,,,,
P1-G1,D28-SA-1,28,SA,1,Sand,1,0.067,-0.061555312,-0.061555312,0,,,,,,,,,
P1-G2,D28-SA-2,28,SA,1,Sand,2,0.076,-0.041840088,-0.041840088,0,,,,,,,,,
P1-G3,D28-SA-3,28,SA,1,Sand,3,0.11,0.03263965,0.03263965,0.03263965,,,,,,,,,
P1-G4,D28-CO-1,28,CO,1,Coal,1,0.73,1.390799562,1.390799562,1.390799562,,,,,,,,,
P1-G5,D28-CO-2,28,CO,1,Coal,2,0.608,1.12354874,1.12354874,1.12354874,,,,,,,,,
P1-G6,D28-CO-3,28,CO,1,Coal,3,0.729,1.388608981,1.388608981,1.388608981,,,,,,,,,
P1-G7,D28-SS-1,28,SS,1,Sandstone,1,0.2,0.229791895,0.229791895,0.229791895,,,,,,,,,
P1-G8,D28-SS-2,28,SS,1,Sandstone,2,0.267,0.376560789,0.376560789,0.376560789,,,,,,,,,
P1-G9,D28-SS-3,28,SS,1,Sandstone,3,0.141,0.100547645,0.100547645,0.100547645,,,,,,,,,
P1-G10,D36-CL-1,36,CL,1,No_Rocks,1,0.057,-0.083461117,-0.083461117,0,,,,,,,,,
P1-G11,D36-CL-2,36,CL,1,No_Rocks,2,0.057,-0.083461117,-0.083461117,0,,,,,,,,,
P1-G12,D36-CL-3,36,CL,1,No_Rocks,3,0.054,-0.090032859,-0.090032859,0,,,,,,,,,
P1-H1,D36-SH-1,36,SH,1,Shale,1,0.26,0.361226725,0.361226725,0.361226725,,,,,,,,,
P1-H2,D36-SH-2,36,SH,1,Shale,2,0.208,0.247316539,0.247316539,0.247316539,,,,,,,,,
P1-H3,D36-SH-3,36,SH,1,Shale,3,0.234,0.304271632,0.304271632,0.304271632,,,,,,,,,
P1-H4,D36-SA-1,36,SA,1,Sand,1,0.068,-0.059364732,-0.059364732,0,,,,,,,,,
P1-H5,D36-SA-2,36,SA,1,Sand,2,0.063,-0.070317634,-0.070317634,0,,,,,,,,,
P1-H6,D36-SA-3,36,SA,1,Sand,3,0.108,0.028258488,0.028258488,0.028258488,,,,,,,,,
P1-H7,D36-CO-1,36,CO,1,Coal,1,0.8,1.544140197,1.544140197,1.544140197,,,,,,,,,
P1-H8,D36-CO-2,36,CO,1,Coal,2,0.886,1.73253012,1.73253012,1.73253012,,,,,,,,,
P1-H9,D36-CO-3,36,CO,1,Coal,3,0.614,1.136692223,1.136692223,1.136692223,,,,,,,,,
P1-H10,D36-SS-1,36,SS,1,Sandstone,1,0.26,0.361226725,0.361226725,0.361226725,,,,,,,,,
P1-H11,D36-SS-2,36,SS,1,Sandstone,2,0.104,0.019496166,0.019496166,0.019496166,,,,,,,,,
