"","ASVs","Domain","Phylum","Class","Order","Family","Genus","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"7314","ASV10096"," d__Bacteria"," p__Nitrospirota"," c__Nitrospiria"," o__SBBL01"," f__JAADHI01"," g__JAADHI01",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0
"7315","ASV10097"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Legionellales"," f__Legionellaceae"," g__JAALKW01",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0
"7316","ASV10102"," d__Bacteria"," p__Chloroflexota"," c__Anaerolineae"," o__UBA1429"," f__UBA1429"," g__JAAYDC01",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"7317","ASV10103"," d__Bacteria"," p__Armatimonadota"," c__UBA5377"," o__UBA5377"," f__JAAYIR01"," g__JAAYIR01",0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2,0,0,1,0,0,0,0,1,0
"7318","ASV10107"," d__Bacteria"," p__Bacteroidota"," c__Kapaibacteriia"," o__Kapaibacteriales"," f__UBA2268"," g__JAAYTD01",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7319","ASV10113"," d__Bacteria"," p__Dependentiae"," c__Babeliae"," o__Babeliales"," f__JABGSX01"," g__JABGSX01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
"7320","ASV10114"," d__Bacteria"," p__Latescibacterota"," c__Latescibacteria"," o__Latescibacterales"," f__Latescibacteraceae"," g__JABHYP01",0,0,0,0,0,0,0,0,0,2,0,0,0,39,3,1,0,0,0,0,2,1,0,2,1
"7321","ASV10117"," d__Bacteria"," p__Electryoneota"," c__RPQS01"," o__RPQS01"," f__RPQS01"," g__JABWCQ01",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,11,0,0,0,0,0,1,20,0,0
"7322","ASV10118"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__JACABE01"," g__JACABE01",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"7323","ASV10124"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA1558"," f__GWA2-36-10"," g__JACKFO01",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"7324","ASV10127"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Ga0077536"," f__Ga0077536"," g__JACKNG01",0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"7325","ASV10128"," d__Bacteria"," p__Bdellovibrionota"," c__Bdellovibrionia"," o__Bdellovibrionales"," f__JACOND01"," g__JACOND01",0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"7326","ASV10129"," d__Bacteria"," p__Chloroflexota"," c__Dehalococcoidia"," o__JACPQD01"," f__JACPQD01"," g__JACPQD01",0,0,0,0,0,0,0,0,0,3,0,0,0,49,0,9,0,0,3,0,3,44,2,0,0
"7327","ASV10131"," d__Bacteria"," p__Verrucomicrobiota"," c__Verrucomicrobiae"," o__Opitutales"," f__Opitutaceae"," g__JACQFT01",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7328","ASV10133"," d__Bacteria"," p__Desulfobacterota_B"," c__Binatia"," o__HRBIN30"," f__JACQVA1"," g__JACQVA1",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
"7329","ASV10135"," d__Bacteria"," p__Patescibacteria"," c__ABY1"," o__UBA2591"," f__UBA6264"," g__JACZVN01",0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,5,0,1,0
"7330","ASV10139"," d__Bacteria"," p__Planctomycetota"," c__UBA1135"," o__UBA1135"," f__GCA-002686595"," g__JADJQU01",0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0
