"","Domain","Phylum","Class","Order","Family","Genus","19GWC19006-C1-GOWN986--Li17090_S14_L002_R1_paired","19GWC19014-C3-GOWN972--Li16960_S26_L002_R1_paired","19GWC19018-C4-GOWN3026--Li16946_S12_L001_R1_paired","19GWC19019-C5-GOWN983--Li17091_S15_L002_R1_paired","19GWC19024-C8-GOWN980--Li17092_S16_L002_R1_paired","19GWC19026-C9-GOWN218--Li16961_S27_L002_R1_paired","19GWC19028-C10-GOWN114--Li17093_S17_L002_R1_paired","19GWC19036-C12-GOWN137--Li17086_S18_L002_R1_paired","19GWC19038-C13-GOWN144--Li17094_S19_L002_R1_paired","19GWC19041-C15-GOWN150--Li17095_S20_L002_R1_paired","19GWC19045-C17-GOWN265--Li16962_S28_L002_R1_paired","19GWC19047-C18-GOWN139--Li17096_S21_L002_R1_paired","19GWC19048-C19-GOWN142--Li16947_S13_L001_R1_paired","19GWC19049-C20-GOWN123--Li16963_S29_L002_R1_paired","19GWC19053-C21-GOWN760--Li16964_S30_L002_R1_paired","19GWC19059-C24-GOWN117--Li16965_S31_L002_R1_paired","19GWE00021-E1-GOWN449--Li17097_S22_L002_R1_paired","19GWE00050-E2-GOWN991--Li16966_S32_L002_R1_paired","19GWE00506-E6-GOWN200--Li17085_S8_L001_R1_paired","19GWE00515-E9-GOWN33--Li17098_S23_L002_R1_paired","19GWE00520-E10-GOWN1124--Li17087_S9_L001_R1_paired","19GWE00525-E14-GOWN1153--Li17088_S10_L001_R1_paired","19GWE00534-E19-GOWN1117--Li17089_S11_L001_R1_paired","19GWE00537-E21-GOWN62--Li17099_S24_L002_R1_paired","19GWE00545-E23-GOWN186--Li17100_S25_L002_R1_paired"
"ASV464"," d__Bacteria"," p__Gemmatimonadota"," c__Gemmatimonadetes"," o__Gemmatimonadales"," f__Gemmatimonadaceae"," g__JAABRT01",2,0,0,9,12,0,0,1,0,0,0,34,0,4,2,1,0,0,86,0,0,0,2,0,3
"ASV465"," d__Bacteria"," p__Pseudomonadota"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__JAAFIW01",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ASV466"," d__Archaea"," p__SpSt-1190"," c__SpSt-1190"," o__SpSt-1190"," f__SpSt-1190"," g__JAAOXX01",1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,22,1,0,0,0,0,0,2,0,0
"ASV467"," d__Bacteria"," p__Pseudomonadota"," c__Alphaproteobacteria"," o__Parvibaculales"," f__Parvibaculaceae"," g__JAATFR01",1,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV468"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__JAAXUF01"," g__JAAXUF01",2,0,0,1,0,0,0,11,0,3,0,0,0,0,0,0,0,2,0,0,13,1,5,1,0
"ASV469"," d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Anaerosomatales"," f__JAAXUF01"," g__JAAXWY01",5,0,0,6,3,0,0,14,0,4,1,0,0,2,0,0,0,0,2,0,43,6,23,1,0
"ASV470"," d__Bacteria"," p__Nitrospirota"," c__UBA9217"," o__UBA9217"," f__UBA9217"," g__JAAXXJ01",1,0,1,1,1,1,0,35,1,3,0,1,0,1,2,0,0,0,0,0,1,0,4,0,0
"ASV471"," d__Bacteria"," p__Actinomycetota"," c__Thermoleophilia"," o__RBG-16-64-13"," f__RBG-16-64-13"," g__JAAYAL01",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
"ASV472"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Saccharofermentanales"," f__UBA5734"," g__JAAYBY01",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,31,0
"ASV473"," d__Bacteria"," p__Bacillota_G"," c__UBA4882"," o__UBA10575"," f__UBA10575"," g__JAAYGU01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV474"," d__Bacteria"," p__Desulfobacterota"," c__Syntrophia"," o__Syntrophales"," f__JAAYKM01"," g__JAAYKM01",3,0,1,2,0,0,0,0,0,0,3,1,0,1,1,0,0,3,3,1,0,1,0,0,1
"ASV475"," d__Bacteria"," p__Bacillota_A"," c__Clostridia"," o__Saccharofermentanales"," f__UBA5734"," g__JAAYKS01",1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0
"ASV476"," d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Bacteroidales"," f__Salinivirgaceae"," g__JAAYQU01",21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV477"," d__Bacteria"," p__Deinococcota"," c__Deinococci"," o__Deinococcales"," f__Trueperaceae"," g__JAAYYF01",1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0
"ASV478"," d__Bacteria"," p__Actinomycetota"," c__Acidimicrobiia"," o__Acidimicrobiales"," f__Iamiaceae"," g__JAAZBK01",2,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0
"ASV479"," d__Bacteria"," p__Bacillota"," c__Bacilli"," o__Haloplasmatales"," f__Haloplasmataceae"," g__JAAZCR01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV480"," d__Bacteria"," p__Patescibacteria"," c__Paceibacteria"," o__UBA6257"," f__UBA6257"," g__JAAZNP01",1,0,0,1,0,0,0,5,1,1,0,0,0,9,3,7,0,0,0,0,2,0,0,4,0
