"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV376","Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae"
"ASV377","Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ASV378","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Gemmobacter"
"ASV379","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"ASV380","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacteraceae"
"ASV381","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geomonas"
"ASV382","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia"
"ASV383","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Geothrix"
"ASV384","Bacteria","Chloroflexota","Gitt-GS-136","Gitt-GS-136","Gitt-GS-136","Gitt-GS-136"
"ASV385","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Glaciimonas"
"ASV386","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria"
"ASV387","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Gracilinema"
"ASV388","Archaea","Thermoproteota","Nitrososphaeria","Group 1.1c","Group 1.1c","Group 1.1c"
"ASV389","Bacteria","Chloroflexota","Dehalococcoidia","H3.93","H3.93","H3.93"
"ASV390","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","HN-HF0106"
"ASV391","Archaea","Hadarchaeota","Hadarchaeia","Hadarchaeales","Hadarchaeaceae","Hadarchaeum"
"ASV392","Bacteria","Myxococcota","Polyangiia","Haliangiales","Haliangiaceae","Haliangiaceae"
"ASV393","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Haliscomenobacter"
"ASV394","Archaea","Halobacteriota","Halobacteriota","Halobacteriota","Halobacteriota","Halobacteriota"
"ASV395","Archaea","Halobacteriota","Halobacteria","Halobacterales","Halobacteriaceae","Halocalculus"
"ASV396","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Halomonas"
"ASV397","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia"
"ASV398","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux"
"ASV399","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas"
"ASV400","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"ASV401","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Hoeflea"
"ASV402","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Holophagaceae"
