"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C24","C3","C4","C5","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E6","E9"
"21","ASV395","Archaea","Halobacteriota","Halobacteria","Halobacterales","Halobacteriaceae","Halocalculus",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","ASV411","Archaea","Hydrothermarchaeota","Hydrothermarchaeia","Hydrothermarchaeales","Hydrothermarchaeales","Hydrothermarchaeales",0,0,0,0,0,15,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,3,0,0,0,0,0,0,0,0
"23","ASV421","Archaea","Iainarchaeota","Iainarchaeia","Iainarchaeales","Iainarchaeales","Iainarchaeales",0,0,0,9,5,0,0,111,0,0,0,0,3,0,0,0,0,0,12,0,10,0,2,0,0,0,41,13,0,0,0,0,0,7,0,0,0,0
"24","ASV429","Archaea","Nanoarchaeota","Nanoarchaeia","Pacearchaeales","Incertae Sedis","Incertae Sedis",0,0,0,0,37,10,0,0,0,11,0,90,16,60,0,97,0,0,0,0,4,25,24,12,0,365,0,7,0,0,0,0,0,128,0,0,0,0
"25","ASV453","Archaea","Asgardarchaeota","Lokiarchaeia","Odinarchaeales","Incertae Sedis","LCB-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0
"26","ASV514","Archaea","Thermoproteota","Nitrososphaeria","Marine Benthic Group A","Marine Benthic Group A","Marine Benthic Group A",0,0,0,25,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,123,6,0,0,109,0,0,0,63,0,0,0,0
"27","ASV515","Archaea","Thermoplasmatota","Thermoplasmata","Incertae Sedis","Incertae Sedis","Marine Benthic Group D and DHVEG-1",0,0,0,0,0,0,0,35,0,0,0,0,7,0,0,0,0,0,0,2,6,71,0,0,0,17,0,11,0,0,0,0,0,79,0,0,0,0
"28","ASV516","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II","Marine Group II","Marine Group II",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,42,0,0,0,0,0,0,0,0
"29","ASV526","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacteriaceae",98,24,2697,19,47,7,11,6829,3249,544,4340,37,2606,5,284,22,3197,5102,7,66,181,46,18,92,0,16,0,148,98,0,2955,674,3320,429,920,253,6602,6511
"30","ASV527","Archaea","Methanobacteriota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,7,0,0,0,18,0,10,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0
