Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-OR1-10X-2_Box1,18,152.241,8.458,0.246,255
D2-SMPL-DAPI-OR1-10X-2_Box2,17,227.496,13.382,0.362,255
D2-SMPL-DAPI-OR1-10X-2_Box3,15,400.204,26.680,0.626,255
D2-SMPL-DAPI-OR1-10X-2_Box4,13,181.839,13.988,0.287,255
D2-SMPL-DAPI-OR1-10X-2_Box5,16,249.222,15.576,0.406,255
D2-SMPL-DAPI-OR1-10X-2_Box6,13,324.949,24.996,0.534,255
