 ,Area,Mean,Min,Max
1,4.802,255,255,255
2,3.385,255,255,255
3,1.496,255,255,255
4,2.598,255,255,255
5,1.889,255,255,255
6,1.574,255,255,255
7,8.816,255,255,255
8,5.274,255,255,255
9,2.519,255,255,255
10,2.362,255,255,255
11,2.204,255,255,255
12,3.306,255,255,255
13,1.259,255,255,255
14,3.542,255,255,255
15,14.563,255,255,255
16,4.802,255,255,255
17,1.181,255,255,255
18,1.574,255,255,255
19,4.172,255,255,255
20,5.195,255,255,255
21,2.125,255,255,255
22,2.519,255,255,255
23,2.125,255,255,255
24,2.204,255,255,255
25,1.181,255,255,255
26,3.857,255,255,255
27,8.974,255,255,255
28,8.895,255,255,255
29,5.746,255,255,255
30,3.149,255,255,255
31,1.259,255,255,255
32,1.496,255,255,255
33,3.385,255,255,255
34,5.117,255,255,255
35,38.729,255,255,255
36,2.047,255,255,255
37,3.857,255,255,255
38,2.440,255,255,255
39,5.983,255,255,255
40,2.913,255,255,255
41,1.732,255,255,255
42,1.889,255,255,255
43,1.574,255,255,255
44,9.919,255,255,255
45,2.913,255,255,255
46,4.330,255,255,255
47,2.204,255,255,255
48,37.470,255,255,255
49,2.991,255,255,255
50,2.125,255,255,255
51,3.936,255,255,255
52,3.464,255,255,255
53,1.732,255,255,255
54,5.432,255,255,255
55,2.991,255,255,255
56,4.487,255,255,255
57,3.227,255,255,255
58,3.385,255,255,255
59,7.321,255,255,255
60,4.802,255,255,255
61,3.936,255,255,255
62,1.259,255,255,255
63,1.496,255,255,255
64,1.259,255,255,255
65,2.440,255,255,255
66,1.574,255,255,255
67,12.044,255,255,255
68,1.496,255,255,255
69,4.644,255,255,255
70,4.172,255,255,255
71,6.297,255,255,255
72,1.889,255,255,255
73,5.353,255,255,255
74,3.542,255,255,255
75,8.738,255,255,255
76,15.193,255,255,255
77,21.333,255,255,255
78,1.732,255,255,255
79,1.259,255,255,255
80,4.644,255,255,255
81,5.825,255,255,255
82,1.811,255,255,255
83,2.913,255,255,255
84,2.598,255,255,255
85,2.362,255,255,255
86,1.811,255,255,255
87,2.598,255,255,255
88,6.927,255,255,255
89,1.889,255,255,255
90,2.598,255,255,255
91,13.382,255,255,255
92,3.070,255,255,255
93,3.070,255,255,255
94,6.219,255,255,255
95,1.811,255,255,255
96,5.746,255,255,255
97,1.496,255,255,255
98,2.676,255,255,255
99,5.117,255,255,255
100,2.362,255,255,255
101,2.125,255,255,255
102,3.542,255,255,255
103,5.746,255,255,255
104,2.047,255,255,255
105,34.872,255,255,255
106,1.181,255,255,255
107,1.181,255,255,255
108,2.519,255,255,255
109,3.542,255,255,255
110,4.172,255,255,255
111,2.834,255,255,255
112,3.936,255,255,255
113,1.259,255,255,255
114,4.015,255,255,255
115,12.280,255,255,255
116,17.318,255,255,255
117,3.149,255,255,255
118,2.204,255,255,255
119,4.408,255,255,255
120,1.968,255,255,255
121,2.755,255,255,255
122,3.306,255,255,255
123,2.676,255,255,255
124,13.303,255,255,255
125,3.385,255,255,255
126,2.125,255,255,255
