Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-BP1-10X-3_Box1,6,293.777,48.963,0.475,255
D2-SMPL-DAPI-BP1-10X-3_Box2,7,818.907,116.987,1.302,255
D2-SMPL-DAPI-BP1-10X-3_Box3,8,221.907,27.738,0.347,255
D2-SMPL-DAPI-BP1-10X-3_Box4,15,280.080,18.672,0.442,255
D2-SMPL-DAPI-BP1-10X-3_Box5,11,262.289,23.844,0.427,255
D2-SMPL-DAPI-BP1-10X-3_Box6,13,368.402,28.339,0.606,255
