Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-BW1-10X-3_Box1,22,144.999,6.591,0.234,255
D2-SMPL-DAPI-BW1-10X-3_Box2,11,53.922,4.902,0.086,255
D2-SMPL-DAPI-BW1-10X-3_Box3,1,9.761,9.761,0.015,255
D2-SMPL-DAPI-BW1-10X-3_Box4,5,73.208,14.642,0.116,255
D2-SMPL-DAPI-BW1-10X-3_Box5,1,5.746,5.746,0.009,255
D2-SMPL-DAPI-BW1-10X-3_Box6,13,50.301,3.869,0.083,255
