Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YR1-10X-2_Box1,93,447.907,4.816,0.724,255
D2-SMPL-DAPI-YR1-10X-2_Box2,88,380.918,4.329,0.605,255
D2-SMPL-DAPI-YR1-10X-2_Box3,91,329.987,3.626,0.516,255
D2-SMPL-DAPI-YR1-10X-2_Box4,129,578.816,4.487,0.914,255
D2-SMPL-DAPI-YR1-10X-2_Box5,136,552.918,4.066,0.900,255
D2-SMPL-DAPI-YR1-10X-2_Box6,128,580.626,4.536,0.955,255
