Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YP1-10X-3_Box1,11,88.637,8.058,0.143,255
D2-SMPL-DAPI-YP1-10X-3_Box2,26,335.261,12.895,0.533,255
D2-SMPL-DAPI-YP1-10X-3_Box3,21,257.724,12.273,0.403,255
D2-SMPL-DAPI-YP1-10X-3_Box4,53,594.009,11.208,0.938,255
D2-SMPL-DAPI-YP1-10X-3_Box5,23,291.022,12.653,0.474,255
D2-SMPL-DAPI-YP1-10X-3_Box6,24,392.332,16.347,0.645,255
