Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-GR1-10X-1_Box1,22,211.516,9.614,0.342,255
D2-SMPL-DAPI-GR1-10X-1_Box2,22,137.285,6.240,0.218,255
D2-SMPL-DAPI-GR1-10X-1_Box3,34,163.104,4.797,0.255,255
D2-SMPL-DAPI-GR1-10X-1_Box4,20,157.358,7.868,0.248,255
D2-SMPL-DAPI-GR1-10X-1_Box5,25,431.298,17.252,0.702,255
D2-SMPL-DAPI-GR1-10X-1_Box6,37,223.009,6.027,0.367,255
