Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YP1-10X-1_Box1,8,458.534,57.317,0.741,255
D2-SMPL-DAPI-YP1-10X-1_Box2,21,574.565,27.360,0.913,255
D2-SMPL-DAPI-YP1-10X-1_Box3,17,136.025,8.001,0.213,255
D2-SMPL-DAPI-YP1-10X-1_Box4,18,302.829,16.824,0.478,255
D2-SMPL-DAPI-YP1-10X-1_Box5,5,12.831,2.566,0.021,255
D2-SMPL-DAPI-YP1-10X-1_Box6,13,435.627,33.510,0.716,255
