"","DL_T0","DL_T120","DL_T390","GE_T0","GE_T120","GE_T390","PL_T0","PL_T390"
"DL_T0",0,0.762233524510334,0.979864400972518,0.965462833099579,0.840874921189194,0.938382639978568,0.610010031721931,0.935535078916157
"DL_T120",0.762233524510334,0,0.978131362642335,0.985171149647815,0.8501604253027,0.938708546237852,0.81347798873357,0.951706566070351
"DL_T390",0.979864400972518,0.978131362642335,0,0.998835285177583,0.917763201749123,0.930868810890164,0.965449251050964,0.955098694925192
"GE_T0",0.965462833099579,0.985171149647815,0.998835285177583,0,0.977213878819265,0.993907083015994,0.941959210966232,0.9930658516001
"GE_T120",0.840874921189194,0.8501604253027,0.917763201749123,0.977213878819265,0,0.914691310212203,0.656709710279534,0.834652793485637
"GE_T390",0.938382639978568,0.938708546237852,0.930868810890164,0.993907083015994,0.914691310212203,0,0.930834018659785,0.411767990897224
"PL_T0",0.610010031721931,0.81347798873357,0.965449251050964,0.941959210966232,0.656709710279534,0.930834018659785,0,0.869404121907832
"PL_T390",0.935535078916157,0.951706566070351,0.955098694925192,0.9930658516001,0.834652793485637,0.411767990897224,0.869404121907832,0
