Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YP1-10X-2_Box1,9,205.455,22.828,0.332,255
D2-SMPL-DAPI-YP1-10X-2_Box2,22,323.375,14.699,0.514,255
D2-SMPL-DAPI-YP1-10X-2_Box3,28,329.121,11.754,0.515,255
D2-SMPL-DAPI-YP1-10X-2_Box4,40,769.865,19.247,1.216,255
D2-SMPL-DAPI-YP1-10X-2_Box5,14,118.314,8.451,0.193,255
D2-SMPL-DAPI-YP1-10X-2_Box6,31,151.139,4.875,0.249,255
