Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-YW1-10X-2_Box1,9,241.980,26.887,0.391,255
D2-SMPL-DAPI-YW1-10X-2_Box2,15,179.320,11.955,0.285,255
D2-SMPL-DAPI-YW1-10X-2_Box3,12,205.848,17.154,0.322,255
D2-SMPL-DAPI-YW1-10X-2_Box4,25,238.674,9.547,0.377,255
D2-SMPL-DAPI-YW1-10X-2_Box5,10,360.294,36.029,0.586,255
D2-SMPL-DAPI-YW1-10X-2_Box6,22,491.439,22.338,0.808,255
