 ,Area,Mean,Min,Max
1,5.904,255,255,255
2,17.082,255,255,255
3,36.053,255,255,255
4,29.598,255,255,255
5,19.365,255,255,255
6,16.531,255,255,255
7,25.269,255,255,255
8,13.933,255,255,255
9,4.723,255,255,255
10,7.636,255,255,255
11,26.528,255,255,255
12,21.333,255,255,255
13,17.161,255,255,255
14,12.595,255,255,255
15,146.574,255,255,255
16,2.991,255,255,255
17,120.360,255,255,255
18,5.904,255,255,255
19,28.575,255,255,255
20,22.592,255,255,255
21,18.814,255,255,255
22,4.330,255,255,255
23,10.312,255,255,255
24,11.021,255,255,255
25,20.309,255,255,255
26,3.306,255,255,255
27,10.548,255,255,255
28,12.044,255,255,255
29,9.289,255,255,255
30,12.674,255,255,255
31,2.991,255,255,255
32,16.059,255,255,255
33,1.259,255,255,255
34,4.959,255,255,255
35,6.534,255,255,255
36,5.746,255,255,255
37,5.668,255,255,255
38,15.429,255,255,255
39,36.683,255,255,255
40,22.828,255,255,255
