Slice,Count,Total Area,Average Size,%Area,Mean
D2-SMPL-DAPI-BP1-10X-1_Box1,7,200.496,28.642,0.324,255
D2-SMPL-DAPI-BP1-10X-1_Box2,10,176.250,17.625,0.280,255
D2-SMPL-DAPI-BP1-10X-1_Box3,14,145.078,10.363,0.227,255
D2-SMPL-DAPI-BP1-10X-1_Box4,16,93.675,5.855,0.148,255
D2-SMPL-DAPI-BP1-10X-1_Box5,3,71.949,23.983,0.117,255
D2-SMPL-DAPI-BP1-10X-1_Box6,10,181.446,18.145,0.298,255
