RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.494,70622.66,1.4228E-06,0.100481,CALIBRATION_PRE_N2020250127_1200PM,20250127_190515508_iOS
1.491,70509.9,1.43014E-06,0.100839,CALIBRATION_POST_N2020250127_1200PM,20250127_190935451_iOS
1.491,67432.3,1.43014E-06,0.0964374,N20_20250127_1200PM_100N200AR-CALCURVE,20250127_191212741_iOS
1.488,27931,1.43014E-06,0.0399452, N2O_20250127_1200PM_40N2060AR-CALCURVE,20250127_191522417_iOS
1.488,16299.1,0.0143014,0.02331,N20_20250127_1200PM_25N2075AR-CALCURVE,20250127_191829412_iOS
1.486,5698.2876,1.43014E-06,0.00814933,N20_20250127_1200PM_10N2090AR-CALCURVE,20250127_192159186_iOS
1.499,4085.08423,1.43015E-06,0.00584223, N20_20250127_1200PM_5N2095AR-CALCURVE,20250127_192453033_iOS
1.499,-,-,-,N20_20250127_1200PM_0N20100AR-CALCURVE,20250127_192740908_iOS
1.499,-,-,-,N2O_20250121_1100AM-CTRL,20250127_193119977_iOS
1.499,-,-,,N2O_20250127_1200PM_COLNNO1-20250121-1100AM-SMPL,20250127_193431591_iOS
1.499, -, -,,N2O_20250127_1200PM_COLNNO2-20250121-1100AM-SMPL,20250127_193724300_iOS
1.499,-,-,,N2O_20250127_1200PM_COLNNO3-20250121-1100AM-SMPL,20250127_194015972_iOS
2.091,-,-,,N2O_20250127_1200PM_CONNNO1-20250121-1100AM-SMPL,20250127_194306140_iOS
1.499,-,-,,N2O_20250127_1200PM_CONNNO2-20250121-1100AM-SMPL,20250127_194639657_iOS
1.499,-,-,,N2O_20250127_1200PM_CONNNO3-20250121-1100AM-SMPL,20250127_194935168_iOS
1.499,-,-,,N20_20250127_1200PM_COLNWO1-20250121-1100AM-SMPL,20250127_195227677_iOS
1.499,-,-,,N20_20250127_1200PM_COLNWO2-20250121-1100AM-SMPL,20250127_195515297_iOS
1.472,-,-,,N2_20250127_1200PM_COLNWO3-20250121-1100AM-SAMPL,20250127_195802152_iOS
1.471,12689.3,1.43014E-06,0.0181474,N2O_20250127_1200PM_SALNN01-20250121-1100AM-SMPL,20250127_200105255_iOS
1.512,6821.42188,1.43014E-06,0.0097557, N20_20250127_1200PM_SALNN02-20250121-1100AM-SMPL,20250127_200352241_iOS
1.507,70402.4,1.43014E-06,0.100685,CALIBRATION_PRE_N2020250129_220PM,20250129_213231678_iOS
1.504,70343.5,1.43461E-06,0.100916,CALIBRATION_POST_N2020250129_220PM,20250129_213543594_iOS
