Filename,GenomeCode,Domain,Well,Year,Project
GLC_25GOWN_BACT-09-GW110_20251021,P09,BACT,GW110,2024,GOWN
GLC_25GOWN_BACT-11-GW3103_20251021,P11,BACT,GW3103,2024,GOWN
GLC_25GOWN_BACT-12-GW339_20251021,P12,BACT,GW339,2024,GOWN
GLC_25GOWN_BACT-13-GW980_20251021,P13,BACT,GW980,2024,GOWN
GLC_25GOWN_BACT-14-GW117_20251021,P14,BACT,GW117,2024,GOWN
GLC_25GOWN_BACT-15-GW160_20251021,P15,BACT,GW160,2024,GOWN
GLC_25GOWN_BACT-16-GW984_20251021,P16,BACT,GW984,2024,GOWN
GLC_25GOWN_BACT-17-GW3022_20251021,P17,BACT,GW3022,2024,GOWN
GLC_25GOWN_BACT-18-GW982_20251021,P18,BACT,GW982,2024,GOWN
GLC_25GOWN_BACT-19-GW989_20251021,P19,BACT,GW989,2024,GOWN
