#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19019-C5-GOWN983_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19019-C5-GOWN983.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19019-C5-GOWN983_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#92371822 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 43382443
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia	2|200940|3031647	0.0020993363128638948	0.0004955594101911799	16776
k__Bacteria|p__Nitrospirota|c__CFGB11036	2|40117|	0.0015357560946453995	0.0003623654190939119	5294
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.0013056275055395139	0.00030890655514978217	40773
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.001103677927344553	0.0002606102156260758	7531
k__Bacteria|p__Nitrospirota|c__CFGB5004	2|40117|	0.001061409410978166	0.00025133406487888067	13738
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB14692	2|200940|	0.0007091717745916065	0.00016783260834539693	15456
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348	2|200940|	0.0006669032582252194	0.00015715917557337323	11054
k__Bacteria|p__Planctomycetota|c__CFGB34599	2|203682|	0.00036163064002353443	8.544149347890917e-05	3336
k__Bacteria|p__Thermomicrobiota|c__CFGB2607	2|3027942|	0.0003287551272941222	7.729529331854237e-05	8178
k__Bacteria|p__Firmicutes|c__CFGB42607	2|1239|	0.00023012858910588554	5.466739561389554e-05	3395
k__Archaea|p__Methanobacteriota|c__Methanomicrobia	2157|28890|224756	0.00019725307637647333	4.619620716578504e-05	9215
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	7.984053091428683e-05	1.8991152916610237e-05	4350
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	33.40950028967242	7.894058386718335	27077177
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	2.3768901773328666	0.561616011960958	1783848
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	2.181093016520124	0.5153524534646847	3664635
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales	2|1224|1236|135618	1.9350151072386554	0.45720870402645397	2273506
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.1567108258789136	0.2733094353488334	780803
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	2|57723|1813735|2910145	0.9569122455168201	0.22610076843930998	1120254
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.9472186657634618	0.22381014042400382	1447352
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales	2|1224|1236|135619	0.743071124717449	0.17557386572664355	664777
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales	2|976|200643|1970189	0.7227023963306689	0.17076193913388246	847644
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.4991442132688472	0.11793879515539546	538221
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	2|2818505|32015|29	0.451681365891213	0.10672453544263288	972545
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.3712255932387043	0.08771367370092753	577661
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Anaerosomatales	2|201174|84998|2997383	0.3116410746675539	0.07363566295083745	177938
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	2|40117|203693|189778	0.23720152084452764	0.056045920401329705	239393
k__Bacteria|p__Chloroflexota|c__CFGB91799|o__OFGB91799	2|200795||	0.10648378573056617	0.025160734703296186	104988
k__Bacteria|p__Bacteroidota|c__CFGB4833|o__OFGB4833	2|976||	0.10608458307599475	0.02506599162004657	67573
k__Bacteria|p__Pseudomonadota|c__CFGB33292|o__OFGB33292	2|1224||	0.10547403783959138	0.024921724071901963	104397
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.062327275633147085	0.014727058426982576	88683
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.04549970961750651	0.010751188744205399	102570
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.030987518998380262	0.007321354292622871	85815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.027413481114511303	0.006477597678119014	54983
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.025248393776188587	0.005966029163175235	53295
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790	2|200940||	0.01726903718657839	0.004080086328471468	77049
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255	2|200940||	0.014530976626400202	0.003433660381660212	56053
k__Bacteria|p__Actinomycetota|c__CFGB14186|o__OFGB14186	2|201174||	0.012304834764437146	0.002907836613542698	16734
k__Bacteria|p__Ignavibacteriota|c__CFGB2452|o__OFGB2452	2|1134404||	0.012215601229885882	0.002886164722371444	48731
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Leptospirales	2|203691|203692|1643688	0.011830488080769912	0.002795363463119993	15276
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	2|29547|3031852|213849	0.010952242240712758	0.002588100818579943	37116
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.009050159004225336	0.0021383514843471316	20603
k__Bacteria|p__Firmicutes|c__CFGB89099|o__OFGB89099	2|1239||	0.008040411113250531	0.001900115564372637	5017
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0066173710622488315	0.001563710380687417	9688
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB10823|o__OFGB10823	2|200940||	0.0059457713022051245	0.0014043240911399482	13482
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales	2|1224|28211|1921002	0.0058565377676538626	0.0013842462135150984	5621
k__Bacteria|p__Firmicutes|c__CFGB8920|o__OFGB8920	2|1239||	0.004903147898500908	0.0011581648275376603	4861
k__Bacteria|p__Candidatus_Cryosericota|c__Candidatus_Cryosericia|o__Candidatus_Cryosericales	2|2498705|2498706|2498707	0.004518034749384937	0.0010678937333176161	8075
k__Bacteria|p__Mycoplasmatota|c__CFGB32834|o__OFGB32834	2|544448||	0.004259727149368126	0.0010067745703371863	6559
k__Bacteria|p__Chloroflexota|c__Chloroflexota_unclassified|o__Chloroflexota_unclassified	2|200795||	0.004250334145731152	0.001004226727365041	11878
k__Bacteria|p__Actinomycetota|c__CFGB32794|o__OFGB32794	2|201174||	0.0036069133965983694	0.0008520628983439464	21600
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416|o__OFGB12416	2|200940||	0.003010457665650462	0.0007111836363190505	6763
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.002409305432884067	0.0005694598924448417	7431
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB25829|o__OFGB25829	2|200940||	0.0022167488583260814	0.0005233657420977898	7851
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia|o__Desulfobaccales	2|200940|3031647|3031655	0.0020993363128638948	0.0004955594101911799	16776
k__Bacteria|p__Nitrospirota|c__CFGB11036|o__OFGB11036	2|40117||	0.0015357560946453995	0.0003623654190939119	5294
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.0013056275055395139	0.00030890655514978217	40773
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.0012633589891731269	0.0002986771452372594	15842
