#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00506-E6-GOWN200_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00506-E6-GOWN200.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00506-E6-GOWN200_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#111642474 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 51353602
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Bacteroidota|c__CFGB4833	2|976|	0.011476567331354553	0.0032981785926332083	18714
k__Bacteria|p__Candidatus_Zixiibacteriota|c__CFGB72753	2|1379697|	0.011002785193026087	0.0031614604675004043	12851
k__Bacteria|p__Actinomycetota|c__CFGB11714	2|201174|	0.010993585539854663	0.0031582381218372355	13127
k__Archaea|p__Methanobacteriota|c__Methanomicrobia	2157|28890|224756	0.007865703461569654	0.002259577928404145	26025
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416	2|200940|	0.007746107970341109	0.002225073231495806	9967
k__Bacteria|p__Firmicutes|c__CFGB89099	2|1239|	0.007723108837412542	0.002218537492786118	5987
k__Bacteria|p__Firmicutes|c__CFGB8996	2|1239|	0.0061821669311986046	0.0017764749594884762	6136
k__Bacteria|p__Candidatus_Roizmanbacteria|c__CFGB3888	2|1752723|	0.0046320253718132405	0.0013306878396000135	5142
k__Bacteria|p__Candidatus_Omnitrophota|c__CFGB25749	2|67812|	0.003988049649813386	0.001146078855937621	6797
k__Bacteria|p__Actinomycetota|c__Acidimicrobiia	2|201174|84992	0.003610863869784899	0.001037285349644602	13991
k__Bacteria|p__Firmicutes|c__CFGB8920	2|1239|	0.002953088668027905	0.0008491426256406432	7264
k__Bacteria|p__Firmicutes|c__CFGB40289	2|1239|	0.002023923697713829	0.000580876518438691	10605
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.0018813290735567182	0.0005399134863091611	24951
k__Bacteria|p__Pseudomonadota|c__CFGB36348	2|1224|	0.0018583299406281521	0.0005336298578354291	10994
k__Bacteria|p__Bacteroidota|c__CFGB24197	2|976|	0.0015593412125567909	0.0004483766022137114	12928
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.0015179427732853717	0.00043556758947728804	8690
k__Bacteria|p__Chloroflexota|c__CFGB31944	2|200795|	0.0012143542186282973	0.00034886210648244875	6676
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	0.0011039583805711793	0.0003169073651667344	16476
k__Bacteria|p__Pseudomonadota|c__CFGB32956	2|1224|	0.0008141693056712448	0.00023330075972325054	5052
k__Bacteria|p__Elusimicrobiota|c__CFGB3937	2|74152|	0.0008049696524998184	0.0002310495623828529	2613
k__Bacteria|p__Ignavibacteriota|c__CFGB2452	2|1134404|	0.0006485755485855679	0.0001866159922784826	7259
k__Bacteria|p__Kiritimatiellota|c__CFGB56764	2|134625|	0.0005887778029712958	0.00016926870957347084	5976
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB36043	2|200940|	0.0004967812712570308	0.00014327662488385485	15081
k__Bacteria|p__Verrucomicrobiota|c__Opitutia	2|74201|414999	0.00043238369905704527	0.0001246237137094299	7376
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	0.00031278820782850087	8.922533246369786e-05	12663
k__Bacteria|p__Actinomycetota|c__CFGB34497	2|201174|	0.0002989887280713611	8.62971902833111e-05	3769
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB5129	2|200940|	0.00022999132928566238	6.577821117948492e-05	8196
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB35538	2|200940|	0.00021619184952852263	6.16566851669791e-05	28289
k__Bacteria|p__Bacteroidota|c__CFGB41857	2|976|	0.00013799479757139742	3.993071954425832e-05	3609
k__Bacteria|p__Spirochaetota|c__CFGB2903	2|203691|	0.00013799479757139742	4.0054914364466154e-05	4845
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	26.806547388358663	7.702327279479972	26157059
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	4.616569954485244	1.3264798147725012	3644609
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790|o__OFGB8790	2|200940||	3.990998138654828	1.1467344021813253	5161775
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	2.480773874380283	0.7128009165114118	4248604
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	2.0873599061574004	0.5997610426945849	2585850
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales	2|1224|1236|135618	1.2945797941097221	0.37197143601399096	2284882
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	2|29547|3031852|213849	0.765047757562413	0.21982178717774453	845833
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	2|40117|203693|189778	0.7393071279887617	0.21242470823055182	899646
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.7198176627450947	0.20682583704788382	1015439
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Anaerosomatales	2|201174|84998|2997383	0.3888877388625408	0.11173948724214888	268268
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.31991793903635635	0.09192242205684643	466981
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.30717641939393064	0.08826101209605705	292861
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB10823|o__OFGB10823	2|200940||	0.24167948863995975	0.06944165112326967	290628
k__Bacteria|p__Chloroflexota|c__CFGB91799|o__OFGB91799	2|200795||	0.17674833655603153	0.0507844651081621	199603
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.10506463904427629	0.030188299246110852	180720
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	2|2818505|32015|29	0.09414465072979303	0.027049994707337748	238192
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales	2|200940|3031451|3024411	0.09316948749362183	0.026770023542765316	92029
k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004	2|40117||	0.08481620241396658	0.024370665230159873	68230
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255	2|200940||	0.08152732640518161	0.023425070319104613	156499
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia|o__Desulfobaccales	2|200940|3031647|3031655	0.08021177600166761	0.023046852927311148	163820
