#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	31.90561
d__Bacteria	64.11600961455002
d__Archaea	3.978367088484521
d__Bacteria;p__Pseudomonadota	56.225476803851954
d__Archaea;p__Methanobacteriota	3.951211045624142
d__Bacteria;p__Bacteroidota	4.281462029246386
d__Bacteria;p__Myxococcota	1.25084628414031
d__Bacteria;p__Bacillota_I	1.2414220205197573
d__Bacteria;p__Desulfobacterota	0.3538252615516903
d__Bacteria;p__Chloroflexota	0.401913519997025
d__Bacteria;p__Actinomycetota	0.23205887277804613
d__Bacteria;p__Riflebacteria	0.09133500573878144
d__Archaea;p__Halobacteriota	0.027156042860378763
d__Bacteria;p__Bacillota_A	0.01615198938435768
d__Bacteria;p__Campylobacterota	0.010329919011834148
d__Bacteria;p__Gemmatimonadota	0.004521467517375
d__Bacteria;p__Bacillota_H	0.003527289418675075
d__Bacteria;p__Spirochaetota	0.0031391513938401733
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	56.13941230392409
d__Archaea;p__Methanobacteriota;c__Methanobacteria	3.951211045624142
d__Bacteria;p__Bacteroidota;c__Bacteroidia	4.2813394593438066
d__Bacteria;p__Myxococcota;c__Myxococcia	1.25084628414031
d__Bacteria;p__Bacillota_I;c__Bacilli_A	1.2414220205197573
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.34671620720208257
d__Bacteria;p__Chloroflexota;c__Anaerolineae	0.401913519997025
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.21573664741788365
d__Bacteria;p__Riflebacteria;c__Ozemobacteria	0.09133500573878144
d__Archaea;p__Halobacteriota;c__Methanomicrobia	0.027156042860378763
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.0860644999278654
d__Bacteria;p__Bacillota_A;c__Clostridia	0.01615198938435768
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.014994384748885165
d__Bacteria;p__Campylobacterota;c__Campylobacteria	0.010329919011834148
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	0.004521467517375
d__Bacteria;p__Bacillota_H;c__UBA994	0.003527289418675075
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia	0.0047529884444695025
d__Bacteria;p__Spirochaetota;c__GWE2-31-10	0.0031391513938401733
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	0.002029212831592997
d__Bacteria;p__Actinomycetota;c__Nitriliruptoria	0.0013278406112772966
