#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19049-C20-GOWN123_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19049-C20-GOWN123_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19049-C20-GOWN123.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19049-C20-GOWN123_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#67108916 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 10309233
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	84.63806	-	56799683
k__Bacteria	2	15.359333910618671	3.0323498605160375	10296294
k__Archaea	2157	0.0026084578141598947	0.0005150937446315251	12939
k__Bacteria|p__Campylobacterota	2|29547	8.412231901032794	1.660803350427514	3963014
k__Bacteria|p__Pseudomonadota	2|1224	3.4562342552581238	0.6823546043756044	3276536
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.9647222997663977	0.19046251525361957	1228347
k__Bacteria|p__Bacteroidota	2|976	0.6234828653536887	0.12309238528950212	579142
k__Bacteria|p__Firmicutes	2|1239	0.5446868543632861	0.10753586995515553	293433
k__Bacteria|p__Actinomycetota	2|201174	0.4837060879375551	0.09549675806341351	265884
k__Bacteria|p__Candidatus_Zixiibacteriota	2|1379697	0.2668999229033889	0.05269321855108087	134480
k__Bacteria|p__Chloroflexota	2|200795	0.19954241420052143	0.0393950039817353	184999
k__Bacteria|p__Candidatus_Omnitrophota	2|67812	0.18276717313419277	0.03608320346436482	99873
k__Bacteria|p__Nitrospirota	2|40117	0.13462745433423481	0.026579154465298113	95159
k__Bacteria|p__Kiritimatiellota	2|134625	0.034424576653421135	0.006796251973553029	67610
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.022133486564438025	0.004369843373020555	18777
k__Bacteria|p__Planctomycetota	2|203682	0.011705800084745819	0.002311099424309625	28390
k__Bacteria|p__Candidatus_Parcubacteria	2|221216	0.00929704752137555	0.0018354086299396913	3981
k__Bacteria|p__Caldisericota	2|67814	0.00531523205947776	0.0010494722357132452	7460
k__Bacteria|p__Thermomicrobiota	2|3027942	0.004296735280450663	0.0008482867102197791	11820
k__Bacteria|p__Candidatus_Methylomirabilota	2|640293	0.0023288704630544175	0.00045977859600782945	28707
k__Archaea|p__Methanobacteriota	2157|28890	0.0021138032698963575	0.0004173012578349094	8203
k__Bacteria|p__Ignavibacteriota	2|1134404	0.0008003571973953506	0.00015790782331415287	6097
k__Archaea|p__Candidatus_Bathyarchaeota	2157|928852	0.0004946545442635372	9.779248679661562e-05	4736
k__Bacteria|p__Mycoplasmatota	2|544448	0.00013057651013167906	2.5747922671646286e-05	2585
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	8.412231901032794	1.660803350427514	3963014
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	3.448485691527486	0.680824771129304	3228025
k__Bacteria|p__Bacteroidota|c__CFGB6745	2|976|	0.5999606591991442	0.11844843908897615	523091
k__Bacteria|p__Actinomycetota|c__CFGB11714	2|201174|	0.3682088604347297	0.07269438165218507	189619
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255	2|200940|	0.3429568995694998	0.0677090945788794	268120
k__Bacteria|p__Firmicutes|c__CFGB8996	2|1239|	0.3347950995891515	0.06609770595339476	164601
k__Bacteria|p__Candidatus_Zixiibacteriota|c__CFGB72753	2|1379697|	0.2668999229033889	0.05269321855108087	134480
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348	2|200940|	0.22531053632933065	0.044482407194457195	556251
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.20360257556849823	0.040196748536589444	113408
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB40977	2|200940|	0.1603540992186493	0.03165823614679974	86621
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB8790	2|200940|	0.14487540608821636	0.028602243167422773	120087
