sample	coverage	taxonomy	relabund_pct
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.4	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria	1.88413
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.61	Root; d__Bacteria; p__Desulfobacterota; c__WTBG01	2.87329
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.05	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	4.94583
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	4.04	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	19.0297
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.36	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia	6.40603
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.31	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae	6.17051
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	3.33	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia	15.6854
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.11	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria	0.518135
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.93	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae	9.09091
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.4	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia	1.88413
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.45	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia	2.11964
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.69	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A	3.25012
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.58	Root; d__Bacteria; p__Bacillota_A; c__Clostridia	12.1526
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.92	Root; d__Bacteria; p__Omnitrophota; c__Koll11	13.7541
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.68	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia	7.91333
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.68	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria	3.20301
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.34	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia	1.60151
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.29	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia	1.36599
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes	5.79369
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.28	Root; d__Bacteria; p__Actinomycetota; c__Humimicrobiia	1.31889
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.23	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia	1.08337
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.08	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia	5.08714
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.06	Root; d__Bacteria; p__Caldisericota; c__Caldisericia	0.282619
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.23	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes	1.08337
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.87	Root; d__Bacteria; p__Elusimicrobiota; c__Endomicrobiia	4.09797
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.34	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia	1.60151
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.45	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae	2.11964
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.57	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia	2.68488
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.17	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia	0.800754
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.58	Root; d__Bacteria; p__Margulisbacteria; c__WOR-1	7.4423
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.7	Root; d__Bacteria; p__Myxococcota; c__Polyangia	3.29722
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.4	Root; d__Bacteria; p__UBA10199; c__UBA10199	1.88413
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.34	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteria	1.60151
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.37	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales	1.74282
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.16	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales	0.75365
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	1.22	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales	5.74659
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	2.16	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	10.1743
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.77	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__SCGC-AAA011-G17	3.62694
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.88	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Anstonellales	4.14508
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.85	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Norongarragalinales	4.00377
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.48	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales	2.26095
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.27	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14	1.27179
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.58	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales	2.73198
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	45.13	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Paceibacterales	212.577
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	0.73	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__RBG-13-40-8-A	3.43853
GLC_22GOWN_SHMG-GW218-G47-20251210__R1_GTACCACA-TGTTGTGG	6.98	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257	32.878
