sample	coverage	taxonomy	GW	relabund_pct
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.39	Root; d__Archaea	GW989	32.6949
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	4.92	Root; d__Bacteria	GW989	67.3051
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.07	Root; d__Bacteria; p__Pseudomonadota	GW989	41.9973
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.97	Root; d__Bacteria; p__Bacteroidota	GW989	13.2695
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.28	Root; d__Bacteria; p__Chloroflexota	GW989	3.83037
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.85	Root; d__Bacteria; p__Actinomycetota	GW989	11.6279
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.25	Root; d__Bacteria; p__Desulfobacterota	GW989	17.0999
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.18	Root; d__Bacteria; p__Patescibacteria	GW989	16.1423
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.34	Root; d__Bacteria; p__Planctomycetota	GW989	4.65116
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.68	Root; d__Bacteria; p__Bacillota_B	GW989	9.30233
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.34	Root; d__Bacteria; p__Spirochaetota	GW989	4.65116
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.31	Root; d__Bacteria; p__Acidobacteriota	GW989	4.24077
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.28	Root; d__Bacteria; p__Nitrospirota	GW989	3.83037
