sample	coverage	taxonomy	GW	relabund_pct
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.48	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia	GW989	6.56635
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.31	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia	GW989	4.24077
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.21	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	GW989	30.2326
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	GW989	47.7428
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.65	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia	GW989	49.9316
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.11	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria	GW989	1.50479
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.68	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia	GW989	9.30233
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.88	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes	GW989	25.7182
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.51	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia	GW989	6.97674
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.63	Root; d__Bacteria; p__Patescibacteria; c__ABY1	GW989	8.61833
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.25	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria	GW989	17.0999
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.45	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A	GW989	6.15595
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.8	Root; d__Bacteria; p__Bacillota_A; c__Clostridia	GW989	10.9439
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	5.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales	GW989	70.9986
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.3	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales	GW989	17.7839
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales	GW989	13.2695
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales	GW989	2.32558
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales	GW989	1.50479
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.71	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	GW989	23.3926
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.63	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales	GW989	8.61833
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.12	Root; d__Bacteria; p__Bacteroidota; c__Kapaibacteriia; o__Kapaibacteriales	GW989	1.64159
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.8	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales	GW989	10.9439
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.39	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales	GW989	5.33516
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales	GW989	1.64159
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.18	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Anaerosomatales	GW989	16.1423
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.02	Root; d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales	GW989	13.9535
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__BM507	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.08	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973	GW989	14.7743
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.91	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Paceibacterales	GW989	12.4487
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.73	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257	GW989	9.98632
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	19.86	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae	GW989	271.683
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.03	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae	GW989	14.0903
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Thiobacillaceae	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae	GW989	4.65116
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.69	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	GW989	36.7989
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudohongiellaceae	GW989	3.83037
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	GW989	3.83037
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae	GW989	2.32558
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae	GW989	10.8071
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	GW989	29.0014
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.09	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	GW989	14.9111
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	GW989	13.2695
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	GW989	9.30233
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.09	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae	GW989	1.23119
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.02	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	GW989	13.9535
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.29	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082	GW989	3.96717
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae	GW989	1.91518
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae	GW989	4.65116
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae	GW989	4.65116
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.43	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Melioribacteraceae	GW989	5.88235
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.11	Root; d__Bacteria; p__Bacteroidota; c__Kapaibacteriia; o__Kapaibacteriales; f__Kapaibacteriaceae	GW989	1.50479
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.48	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae	GW989	47.606
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.21	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae	GW989	16.5527
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.17	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae	GW989	2.32558
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.9	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Anaerosomatales; f__Anaerosomataceae	GW989	12.3119
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__GWB1-50-10	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.51	Root; d__Bacteria; p__Patescibacteria; c__Dojkabacteria; o__SC72; f__SC72	GW989	6.97674
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.01	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Acholeplasmatales; f__Acholeplasmataceae	GW989	0.136799
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.06	Root; d__Bacteria; p__Edwardsbacteria; c__AC1; o__AC1; f__EtOH8	GW989	0.820793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.48	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__UBA349	GW989	6.56635
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	13.88	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polaromonas	GW989	189.877
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.66	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Hydrogenophaga	GW989	50.0684
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	22.67	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Aquabacterium	GW989	310.123
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.52	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Methylibium	GW989	48.1532
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.07	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter	GW989	14.6375
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__JAUXWC01	GW989	2.32558
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.72	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Zwartia	GW989	9.84952
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.39	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Rubrivivax	GW989	5.33516
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Variovorax	GW989	7.25034
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.89	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Rugosibacter	GW989	12.1751
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.39	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Thiobacillaceae; g__Thiobacillus	GW989	19.015
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Nitrosomonas	GW989	11.6279
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	142.41	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Perlucidibaca	GW989	1948.15
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.35	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas_E	GW989	18.4679
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Alteromonadaceae; g__Pararheinheimera	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.3	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	GW989	31.4637
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.6	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	GW989	8.20793
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.89	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	GW989	12.1751
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.95	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	GW989	26.6758
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.72	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis	GW989	9.84952
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella	GW989	28.7278
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	15.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__UBA6184; f__UBA6184; g__UBA6184	GW989	213.68
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	GW989	6.15595
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales_A; f__DAHXLG01; g__DAHXLG01	GW989	5.47196
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	17.95	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	GW989	245.554
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	3.27	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Lutibacter	GW989	44.7332
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.09	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082; g__JALNZU01	GW989	28.591
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.26	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__UBA6024	GW989	30.9166
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.58	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Draconibacterium	GW989	7.93434
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.97	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Bact-08	GW989	13.2695
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.63	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Melioribacteraceae; g__Fen-1258	GW989	22.2982
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.45	Root; d__Bacteria; p__Bacteroidota; c__Kapaibacteriia; o__Kapaibacteriales; f__Kapaibacteriaceae; g__JABMNI01	GW989	6.15595
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	8.67	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Leucobacter	GW989	118.605
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	6.8	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Microcella	GW989	93.0233
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.45	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Dietzia	GW989	6.15595
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus	GW989	1.64159
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.87	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	GW989	11.9015
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.94	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Anaerosomatales; f__JAUXNU01; g__JAUXNU01	GW989	40.2189
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.74	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Anaerosomatales; f__Anaerosomataceae; g__UBA2279	GW989	23.803
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.6	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Humidesulfovibrio	GW989	21.8878
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.17	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA2103; g__C7867-001	GW989	29.6854
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	2.16	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA9973; g__UBA9973	GW989	29.5486
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.63	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA918; g__OLB19	GW989	8.61833
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	1.87	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__GWB1-50-10; g__JAKANR01	GW989	25.5814
GLC_24GOWN_SHMG-GW989-P19-20251210__R1_TCTTGTTT-GTGAAAGG	0.68	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Acholeplasmatales; f__Acholeplasmataceae; g__UBA2284	GW989	9.30233
