NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN Location,SampleID
ERU_16GOWN_ARCH-BE046-GW439_20181025_S2_Av6,ERU_GW439_BE046_S2_Av6_20181025,S2_Av6,20181025,ARCH,16GOWN,BE046,ERU,GW439,Ministik,
ERU_16GOWN_ARCH-BE046-GW439_20181025_S3_Av6,ERU_GW439_BE046_S3_Av6_20181025,S3_Av6,20181025,ARCH,16GOWN,BE046,ERU,GW439,Ministik,
ERU_16GOWN_BACT-BE047-GW439_20180709_S20,ERU_GW439_BE047_S20_20180709,S20,20180709,BACT,16GOWN,BE047,ERU,GW439,Cooking_1968E_Ministik_replicate,
ERU_16GOWN_BACT-BE047-GW439_20180709_S51,ERU_GW439_BE047_S51_20180709,S51,20180709,BACT,16GOWN,BE047,ERU,GW439,Cooking_1968E_Ministik_replicate,
ERU_16GOWN_ARCH-BE047-GW439_20181025_S20_Av6,ERU_GW439_BE047_S20_Av6_20181025,S20_Av6,20181025,ARCH,16GOWN,BE047,ERU,GW439,Cooking_1968E_Ministik_replicate,
ERU_16GOWN_ARCH-BE047-GW439_20181025_S51_Av6,ERU_GW439_BE047_S51_Av6_20181025,S51_Av6,20181025,ARCH,16GOWN,BE047,ERU,GW439,Cooking_1968E_Ministik_replicate,
ERU_16GOWN_BACT-BE048-GW220_20180709_S27,ERU_GW220_BE048_S27_20180709,S27,20180709,BACT,16GOWN,BE048,ERU,GW220,Carseland,
ERU_16GOWN_ARCH-BE048-GW220_20181025_S27_Av6,ERU_GW220_BE048_S27_Av6_20181025,S27_Av6,20181025,ARCH,16GOWN,BE048,ERU,GW220,Carseland,
ERU_16GOWN_BACT-BE049-GW398_20180709_S58,ERU_GW398_BE049_S58_20180709,S58,20180709,BACT,16GOWN,BE049,ERU,GW398,Pine_Lake,
ERU_16GOWN_ARCH-BE049-GW398_20181025_S58_Av6,ERU_GW398_BE049_S58_Av6_20181025,S58_Av6,20181025,ARCH,16GOWN,BE049,ERU,GW398,Pine_Lake,
