NewName,Filename,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWN Well,GOWN Location,Sample ID
DMO_21GOWN_BACT-O9-GW1140_20210917_S243,DMO-GOWN-bact-2021-O9-20210917_S243_L001_R1_001.fastq.gz,S243,20210917,BACT,21GOWN,O9,DMO,GW1140,07CAG009 GOWN1140,21GWO10011-01
DMO_21GOWN_BACT-O10-GW246_20210917_S244,DMO-GOWN-bact-2021-O10-20210917_S244_L001_R1_001.fastq.gz,S244,20210917,BACT,21GOWN,O10,DMO,GW246,06AAG004 GOWN246,21GWO10014-01
DMO_21GOWN_BACT-O11-GW338_20210917_S245,DMO-GOWN-bact-2021-O11-20210917_S245_L001_R1_001.fastq.gz,S245,20210917,BACT,21GOWN,O11,DMO,GW338,07FCG003 GOWN338,21GWO10015-01
DMO_21GOWN_BACT-O12-GW369_20210917_S246,DMO-GOWN-bact-2021-O12-20210917_S246_L001_R1_001.fastq.gz,S246,20210917,BACT,21GOWN,O12,DMO,GW369,07FGJ005 GOWN369,21GWO10016-01
DMO_21GOWN_BACT-O13-GW379_20210917_S247,DMO-GOWN-bact-2021-O13-20210917_S247_L001_R1_001.fastq.gz,S247,20210917,BACT,21GOWN,O13,DMO,GW379,07FCG005 GOWN379,21GWO10017-01
DMO_21GOWN_BACT-O14-GW188_20211115_S350,DMO-GOWN-bact-2021-O14-20211115_S350_L001_R1_001.fastq.gz,S350,20211115,BACT,21GOWN,O14,DMO,GW188,06ACG040 GOWN188,21GWO10018-01
DMO_21GOWN_BACT-O15-GW191_20211115_S351,DMO-GOWN-bact-2021-O15-20211115_S351_L001_R1_001.fastq.gz,S351,20211115,BACT,21GOWN,O15,DMO,GW191,06AAG002 GOWN191,21GWO10019-01
DMO_21GOWN_BACT-O16-GW249_20211115_S352,DMO-GOWN-bact-2021-O16-20211115_S352_L001_R1_001.fastq.gz,S352,20211115,BACT,21GOWN,O16,DMO,GW249,06ACG049 GOWN249,21GWO10020-01
DMO_21GOWN_BACT-O17-GW250_20211115_S353,DMO-GOWN-bact-2021-O17-20211115_S353_L001_R1_001.fastq.gz,S353,20211115,BACT,21GOWN,O17,DMO,GW250,06ACG050 GOWN250,21GWO10021-01
DMO_21GOWN_BACT-O18-GW192_20211115_S354,DMO-GOWN-bact-2021-O18-20211115_S354_L001_R1_001.fastq.gz,S354,20211115,BACT,21GOWN,O18,DMO,GW192,06ACG047 GOWN192,21GWO10012-01
DMO_21GOWN_BACT-O19-GW44_20211115_S355,DMO-GOWN-bact-2021-O19-20211115_S355_L001_R1_001.fastq.gz,S355,20211115,BACT,21GOWN,O19,DMO,GW44,07DAG040 GOWN44,21GWO10022-01
DMO_21GOWN_BACT-O20-GW193_20211115_S356,DMO-GOWN-bact-2021-O20-20211115_S356_L001_R1_001.fastq.gz,S356,20211115,BACT,21GOWN,O20,DMO,GW193,06ACG048 GOWN193,21GWO10013-01
