NewName,OldName,OldSeqNumber,SeqDate,GenomeCode,Primer,Year,User,GOWNWell,GOWN Location,Sample ID
ERU_17GOWN_ARCH-BE099-GW142_20181025_S97_Av6,ERU_GW142_BE099_S97_Av6_20181025,S97_Av6,20181025,BE099,ARCH,17GOWN,ERU,GW142,Amisk_1975E_Hardisty_replicate,
ERU_17GOWN_BACT-BE100-GW147_20180709_S42,ERU_GW147_BE100_S42_20180709,S42,20180709,BE100,BACT,17GOWN,ERU,GW147,Ferintosh,
ERU_17GOWN_ARCH-BE100-GW147_20181025_S42_Av6,ERU_GW147_BE100_S42_Av6_20181025,S42_Av6,20181025,BE100,ARCH,17GOWN,ERU,GW147,Ferintosh,
ERU_17GOWN_BACT-BE101-GW332_20180709_S131,ERU_GW332_BE101_S131_20180709,S131,20180709,BE101,BACT,17GOWN,ERU,GW332,Sion_3,
ERU_17GOWN_ARCH-BE101-GW332_20181025_S131_Av6,ERU_GW332_BE101_S131_Av6_20181025,S131_Av6,20181025,BE101,ARCH,17GOWN,ERU,GW332,Sion_3,
ERU_17GOWN_BACT-BE102-GW3026_20180709_S48,ERU_GW3026_BE102_S48_20180709,S48,20180709,BE102,BACT,17GOWN,ERU,GW3026,Rockyford,
ERU_17GOWN_ARCH-BE102-GW3026_20181025_S48_Av6,ERU_GW3026_BE102_S48_Av6_20181025,S48_Av6,20181025,BE102,ARCH,17GOWN,ERU,GW3026,Rockyford,
ERU_17GOWN_BACT-BE103-GW128_20180709_S120,ERU_GW128_BE103_S120_20180709,S120,20180709,BE103,BACT,17GOWN,ERU,GW128,Elnora_6,
ERU_17GOWN_ARCH-BE103-GW128_20181025_S120_Av6,ERU_GW128_BE103_S120_Av6_20181025,S120_Av6,20181025,BE103,ARCH,17GOWN,ERU,GW128,Elnora_6,
ERU_17GOWN_BACT-BE104-GW760_20180709_S18,ERU_GW760_BE104_S18_20180709,S18,20180709,BE104,BACT,17GOWN,ERU,GW760,Canmore,
ERU_17GOWN_ARCH-BE104-GW760_20181025_S18_Av6,ERU_GW760_BE104_S18_Av6_20181025,S18_Av6,20181025,BE104,ARCH,17GOWN,ERU,GW760,Canmore,
ERU_17GOWN_BACT-BE105-GW373_20180709_S114,ERU_GW373_BE105_S114_20180709,S114,20180709,BE105,BACT,17GOWN,ERU,GW373,Beaverlodge,
ERU_17GOWN_ARCH-BE105-GW373_20181025_S114_Av6,ERU_GW373_BE105_S114_Av6_20181025,S114_Av6,20181025,BE105,ARCH,17GOWN,ERU,GW373,Beaverlodge,
ERU_17GOWN_BACT-BE106-GW125_20180709_S113,ERU_GW125_BE106_S113_20180709,S113,20180709,BE106,BACT,17GOWN,ERU,GW125,Hand_Hills,
ERU_17GOWN_ARCH-BE106-GW125_20181025_S113_Av6,ERU_GW125_BE106_S113_Av6_20181025,S113_Av6,20181025,BE106,ARCH,17GOWN,ERU,GW125,Hand_Hills,
ERU_17GOWN_BACT-BE107-GW340_20180709_S118,ERU_GW340_BE107_S118_20180709,S118,20180709,BE107,BACT,17GOWN,ERU,GW340,Fairview,
ERU_17GOWN_ARCH-BE107-GW340_20181025_S118_Av6,ERU_GW340_BE107_S118_Av6_20181025,S118_Av6,20181025,BE107,ARCH,17GOWN,ERU,GW340,Fairview,
ERU_17GOWN_BACT-BE108-GW379_20180709_S122,ERU_GW379_BE108_S122_20180709,S122,20180709,BE108,BACT,17GOWN,ERU,GW379,Grimshaw_Nissan,
ERU_17GOWN_ARCH-BE108-GW379_20181025_S122_Av6,ERU_GW379_BE108_S122_Av6_20181025,S122_Av6,20181025,BE108,ARCH,17GOWN,ERU,GW379,Grimshaw_Nissan,
ERU_17GOWN_BACT-BE109-GW4016_20180709_S109,ERU_GW4016_BE109_S109_20180709,S109,20180709,BE109,BACT,17GOWN,ERU,GW4016,Wetaskiwin,
ERU_17GOWN_ARCH-BE109-GW4016_20181025_S109_Av6,ERU_GW4016_BE109_S109_Av6_20181025,S109_Av6,20181025,BE109,ARCH,17GOWN,ERU,GW4016,Wetaskiwin,
ERU_17GOWN_BACT-BE110-GW223_20180709_S146,ERU_GW223_BE110_S146_20180709,S146,20180709,BE110,BACT,17GOWN,ERU,GW223,Irrica,
ERU_17GOWN_ARCH-BE110-GW223_20181025_S146_Av6,ERU_GW223_BE110_S146_Av6_20181025,S146_Av6,20181025,BE110,ARCH,17GOWN,ERU,GW223,Irrica,
ERU_17GOWN_BACT-BE111-GW985_20180709_S62,ERU_GW985_BE111_S62_20180709,S62,20180709,BE111,BACT,17GOWN,ERU,GW985,Cochrane_S,
ERU_17GOWN_ARCH-BE111-GW985_20181025_S62_Av6,ERU_GW985_BE111_S62_Av6_20181025,S62_Av6,20181025,BE111,ARCH,17GOWN,ERU,GW985,Cochrane_S,
ERU_17GOWN_BACT-BE112-GW378_20180709_S137,ERU_GW378_BE112_S137_20180709,S137,20180709,BE112,BACT,17GOWN,ERU,GW378,Smith,
ERU_17GOWN_ARCH-BE112-GW378_20181025_S137_Av6,ERU_GW378_BE112_S137_Av6_20181025,S137_Av6,20181025,BE112,ARCH,17GOWN,ERU,GW378,Smith,
ERU_17GOWN_BACT-BE113-GW212_20180709_S126,ERU_GW212_BE113_S126_20180709,S126,20180709,BE113,BACT,17GOWN,ERU,GW212,Milk_River,
ERU_17GOWN_ARCH-BE113-GW212_20181025_S126_Av6,ERU_GW212_BE113_S126_Av6_20181025,S126_Av6,20181025,BE113,ARCH,17GOWN,ERU,GW212,Milk_River,
ERU_17GOWN_BACT-BE114-GW211_20180709_S138,ERU_GW211_BE114_S138_20180709,S138,20180709,BE114,BACT,17GOWN,ERU,GW211,Smith_Coulee,
ERU_17GOWN_BACT-BE114-GW211_20180709_S153,ERU_GW211_BE114_S153_20180709,S153,20180709,BE114,BACT,17GOWN,ERU,GW211,Smith_Coulee,
ERU_17GOWN_ARCH-BE114-GW211_20181025_S138_Av6,ERU_GW211_BE114_S138_Av6_20181025,S138_Av6,20181025,BE114,ARCH,17GOWN,ERU,GW211,Smith_Coulee,
ERU_17GOWN_ARCH-BE114-GW211_20181025_S153_Av6,ERU_GW211_BE114_S153_Av6_20181025,S153_Av6,20181025,BE114,ARCH,17GOWN,ERU,GW211,Smith_Coulee,
ERU_17GOWN_ARCH-BE114-GW211_20181025_S138_Av4,ERU_GW211_BE114_S138_Av4_20181025,S138_Av4,20181025,BE114,ARCH,17GOWN,ERU,GW211,Smith_Coulee,
ERU_17GOWN_BACT-BE115-GW313_20180709_S40,ERU_GW313_BE115_S40_20180709,S40,20180709,BE115,BACT,17GOWN,ERU,GW313,Warburg,
ERU_17GOWN_ARCH-BE115-GW313_20181025_S40_Av6,ERU_GW313_BE115_S40_Av6_20181025,S40_Av6,20181025,BE115,ARCH,17GOWN,ERU,GW313,Warburg,
ERU_17GOWN_BACT-BE116-GW311_20180709_S133,ERU_GW311_BE116_S133_20180709,S133,20180709,BE116,BACT,17GOWN,ERU,GW311,Warburg,
ERU_17GOWN_ARCH-BE116-GW311_20181025_S133_Av6,ERU_GW311_BE116_S133_Av6_20181025,S133_Av6,20181025,BE116,ARCH,17GOWN,ERU,GW311,Warburg,
ERU_17GOWN_ARCH-BE116-GW311_20181025_S133_Av4,ERU_GW311_BE116_S133_Av4_20181025,S133_Av4,20181025,BE116,ARCH,17GOWN,ERU,GW311,Warburg,
ERU_17GOWN_BACT-BE117-GW3053_20180709_S36,ERU_GW3053_BE117_S36_20180709,S36,20180709,BE117,BACT,17GOWN,ERU,GW3053,Hays_East,
