NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_24GOWN_ARCH-P09-GW110_20251021_S211,GLC_25GOWN_ARCH-09-GW110_20251021_S211_R1_001.fastq.gz,S211,20251021,ARCH,24GOWN,P09,GLC,GW110,,
GLC_24GOWN_BACT-P09-GW110_20251021_S259,GLC_25GOWN_BACT-09-GW110_20251021_S259_R1_001.fastq.gz,S259,20251021,BACT,24GOWN,P09,GLC,GW110,,
GLC_24GOWN_ARCH-P1-GW222_20251021_S106,GLC_25GOWN_ARCH-1-GW222_20251021_S106_R1_001.fastq.gz,S106,20251021,ARCH,24GOWN,P1,GLC,GW222,,
GLC_24GOWN_BACT-P1-GW222_20251021_S97,GLC_25GOWN_BACT-1-GW222_20251021_S97_R1_001.fastq.gz,S97,20251021,BACT,24GOWN,P1,GLC,GW222,,
GLC_24GOWN_ARCH-P10-GW150_20251021_S114,GLC_25GOWN_ARCH-10-GW150_20251021_S114_R1_001.fastq.gz,S114,20251021,ARCH,24GOWN,P10,GLC,GW150,,
GLC_24GOWN_BACT-P10-GW150_20251021_S105,GLC_25GOWN_BACT-10-GW150_20251021_S105_R1_001.fastq.gz,S105,20251021,BACT,24GOWN,P10,GLC,GW150,,
GLC_24GOWN_ARCH-P11-GW3103_20251021_S212,GLC_25GOWN_ARCH-11-GW3103_20251021_S212_R1_001.fastq.gz,S212,20251021,ARCH,24GOWN,P11,GLC,GW3103,,
GLC_24GOWN_BACT-P11-GW3103_20251021_S260,GLC_25GOWN_BACT-11-GW3103_20251021_S260_R1_001.fastq.gz,S260,20251021,BACT,24GOWN,P11,GLC,GW3103,,
GLC_24GOWN_ARCH-P12-GW339_20251021_S213,GLC_25GOWN_ARCH-12-GW339_20251021_S213_R1_001.fastq.gz,S213,20251021,ARCH,24GOWN,P12,GLC,GW339,,
GLC_24GOWN_BACT-P12-GW339_20251021_S261,GLC_25GOWN_BACT-12-GW339_20251021_S261_R1_001.fastq.gz,S261,20251021,BACT,24GOWN,P12,GLC,GW339,,
GLC_24GOWN_ARCH-P13-GW980_20251021_S214,GLC_25GOWN_ARCH-13-GW980_20251021_S214_R1_001.fastq.gz,S214,20251021,ARCH,24GOWN,P13,GLC,GW980,,
GLC_24GOWN_BACT-P13-GW980_20251021_S262,GLC_25GOWN_BACT-13-GW980_20251021_S262_R1_001.fastq.gz,S262,20251021,BACT,24GOWN,P13,GLC,GW980,,
GLC_24GOWN_ARCH-P14-GW117_20251021_S215,GLC_25GOWN_ARCH-14-GW117_20251021_S215_R1_001.fastq.gz,S215,20251021,ARCH,24GOWN,P14,GLC,GW117,,
GLC_24GOWN_BACT-P14-GW117_20251021_S263,GLC_25GOWN_BACT-14-GW117_20251021_S263_R1_001.fastq.gz,S263,20251021,BACT,24GOWN,P14,GLC,GW117,,
GLC_24GOWN_ARCH-P15-GW160_20251021_S216,GLC_25GOWN_ARCH-15-GW160_20251021_S216_R1_001.fastq.gz,S216,20251021,ARCH,24GOWN,P15,GLC,GW160,,
GLC_24GOWN_BACT-P15-GW160_20251021_S264,GLC_25GOWN_BACT-15-GW160_20251021_S264_R1_001.fastq.gz,S264,20251021,BACT,24GOWN,P15,GLC,GW160,,
GLC_24GOWN_ARCH-P16-GW984_20251021_S217,GLC_25GOWN_ARCH-16-GW984_20251021_S217_R1_001.fastq.gz,S217,20251021,ARCH,24GOWN,P16,GLC,GW984,,
