NewName,OldName,OldSeqNumber,SeqDate,Primer,Year,GenomeCode,User,GOWNWell,GOWN_Location,Sampling ID
DMO_19GOWN_ARCH-E1-GW449_20200316_S164,DMO-arch-GOWN-E1-20200316_S164_L001_R1_001.fastq.gz,S164,20200316,ARCH,19GOWN,E1,DMO,GW449,449 Tawatinaw 2649E_0449,19GWE00021
DMO_19GOWN_ARCH-E10-GW1124_20200316_S173,DMO-arch-GOWN-E10-20200316_S173_L001_R1_001.fastq.gz,S173,20200316,ARCH,19GOWN,E10,DMO,GW1124,1124 Conklin 76-07-67,19GWE00520
DMO_19GOWN_ARCH-E11-GW1125_20200316_S174,DMO-arch-GOWN-E11-20200316_S174_L001_R1_001.fastq.gz,S174,20200316,ARCH,19GOWN,E11,DMO,GW1125,1125 Conklin 76-07-41,19GWE00521
DMO_19GOWN_ARCH-E12-GW1126_20200316_S175,DMO-arch-GOWN-E12-20200316_S175_L001_R1_001.fastq.gz,S175,20200316,ARCH,19GOWN,E12,DMO,GW1126,1126 Conklin 76-07-24,19GWE00522
DMO_19GOWN_ARCH-E13-GW1127_20200316_S176,DMO-arch-GOWN-E13-20200316_S176_L001_R1_001.fastq.gz,S176,20200316,ARCH,19GOWN,E13,DMO,GW1127,1127 Conklin 76-07-6,19GWE00523
DMO_19GOWN_ARCH-E14-GW1153_20200316_S177,DMO-arch-GOWN-E14-20200316_S177_L001_R1_001.fastq.gz,S177,20200316,ARCH,19GOWN,E14,DMO,GW1153,1153 Wiau Lake 74-9-15,19GWE00525
DMO_19GOWN_ARCH-E15-GW1155_20200316_S178,DMO-arch-GOWN-E15-20200316_S178_L001_R1_001.fastq.gz,S178,20200316,ARCH,19GOWN,E15,DMO,GW1155,1155 Winefred Lake 75-5-79,19GWE00527
DMO_19GOWN_ARCH-E16-GW1156_20200316_S179,DMO-arch-GOWN-E16-20200316_S179_L001_R1_001.fastq.gz,S179,20200316,ARCH,19GOWN,E16,DMO,GW1156,1156 Winefred Lake 75-5-158,19GWE00528
DMO_19GOWN_ARCH-E17-GWFotchip_20200316_S180,DMO-arch-GOWN-E17-20200316_S180_L001_R1_001.fastq.gz,S180,20200316,ARCH,19GOWN,E17,DMO,GWFotchip,Fotchip 1968E,19GWE00530
DMO_19GOWN_ARCH-E18-GWJackfish_20200316_S181,DMO-arch-GOWN-E18-20200316_S181_L001_R1_001.fastq.gz,S181,20200316,ARCH,19GOWN,E18,DMO,GWJackfish,Jackfish 1975E,19GWE00531
DMO_19GOWN_ARCH-E19-GW1117_20200316_S182,DMO-arch-GOWN-E19-20200316_S182_L001_R1_001.fastq.gz,S182,20200316,ARCH,19GOWN,E19,DMO,GW1117,1117 Fort MacKay AGS-02-20,19GWE00534
DMO_19GOWN_ARCH-E2-GW991_20200316_S165,DMO-arch-GOWN-E2-20200316_S165_L001_R1_001.fastq.gz,S165,20200316,ARCH,19GOWN,E2,DMO,GW991,991 Cynthia Deep_0991,19GWE00050
DMO_19GOWN_ARCH-E20-GW61_20200316_S183,DMO-arch-GOWN-E20-20200316_S183_L001_R1_001.fastq.gz,S183,20200316,ARCH,19GOWN,E20,DMO,GW61,61 Fort McMurray 6-220,19GWE00536
DMO_19GOWN_ARCH-E21-GW62_20200316_S184,DMO-arch-GOWN-E21-20200316_S184_L001_R1_001.fastq.gz,S184,20200316,ARCH,19GOWN,E21,DMO,GW62,62 Fort McMurray 6-310,19GWE00537
DMO_19GOWN_ARCH-E22-GW190_20200316_S185,DMO-arch-GOWN-E22-20200316_S185_L001_R1_001.fastq.gz,S185,20200316,ARCH,19GOWN,E22,DMO,GW190,190 Rich Lake 2094E South,19GWE00542
DMO_19GOWN_ARCH-E23-GW186_20200316_S186,DMO-arch-GOWN-E23-20200316_S186_L001_R1_001.fastq.gz,S186,20200316,ARCH,19GOWN,E23,DMO,GW186,186 Lessard 2091E,19GWE00545
DMO_19GOWN_ARCH-E24-GW946_20200316_S187,DMO-arch-GOWN-E24-20200316_S187_L001_R1_001.fastq.gz,S187,20200316,ARCH,19GOWN,E24,DMO,GW946,946 Cold Lake 07-05,19GWE00548
DMO_19GOWN_ARCH-E3-GW953_20200316_S166,DMO-arch-GOWN-E3-20200316_S166_L001_R1_001.fastq.gz,S166,20200316,ARCH,19GOWN,E3,DMO,GW953,953 Violet Grove 07-2,19GWE00053
DMO_19GOWN_ARCH-E4-GW992_20200316_S167,DMO-arch-GOWN-E4-20200316_S167_L001_R1_001.fastq.gz,S167,20200316,ARCH,19GOWN,E4,DMO,GW992,992 Cynthia Shall_0992,19GWE00078
DMO_19GOWN_ARCH-E5-GW187_20200316_S168,DMO-arch-GOWN-E5-20200316_S168_L001_R1_001.fastq.gz,S168,20200316,ARCH,19GOWN,E5,DMO,GW187,187 Iron River 2079E,19GWE00504
DMO_19GOWN_ARCH-E6-GW200_20200316_S169,DMO-arch-GOWN-E6-20200316_S169_L001_R1_001.fastq.gz,S169,20200316,ARCH,19GOWN,E6,DMO,GW200,200 Wolf Lake Grazing,19GWE00506
DMO_19GOWN_ARCH-E7-GW59_20200316_S170,DMO-arch-GOWN-E7-20200316_S170_L001_R1_001.fastq.gz,S170,20200316,ARCH,19GOWN,E7,DMO,GW59,59 Ft McKearl Lake 7-933,19GWE00513
DMO_19GOWN_ARCH-E8-GW1133_20200316_S171,DMO-arch-GOWN-E8-20200316_S171_L001_R1_001.fastq.gz,S171,20200316,ARCH,19GOWN,E8,DMO,GW1133,1133 Mariana Lakes,19GWE00514
DMO_19GOWN_ARCH-E9-GW33_20200316_S172,DMO-arch-GOWN-E9-20200316_S172_L001_R1_001.fastq.gz,S172,20200316,ARCH,19GOWN,E9,DMO,GW33,33 Fort McMurray (NOTE: Bulged bottom),19GWE00515
MDI_19GOWN_BACT-C1-GW986_20200316_S92,MDI-bact-GOWN-C1-20200316_S92_L001_R1_001.fastq.gz,S92,20200316,BACT,19GOWN,C1,MDI,GW986,986 Cochrane East,19GWC19006
MDI_19GOWN_BACT-C10-GW114_20200316_S101,MDI-bact-GOWN-C10-20200316_S101_L001_R1_001.fastq.gz,S101,20200316,BACT,19GOWN,C10,MDI,GW114,114 Ross Creek,19GWC19028
MDI_19GOWN_BACT-C11-GW398_20200316_S102,MDI-bact-GOWN-C11-20200316_S102_L001_R1_001.fastq.gz,S102,20200316,BACT,19GOWN,C11,MDI,GW398,398 Pine Lake,19GWC19030
MDI_19GOWN_BACT-C12-GW137_20200316_S103,MDI-bact-GOWN-C12-20200316_S103_L001_R1_001.fastq.gz,S103,20200316,BACT,19GOWN,C12,MDI,GW137,137 Stettler,19GWC19036
MDI_19GOWN_BACT-C13-GW144_20200316_S104,MDI-bact-GOWN-C13-20200316_S104_L001_R1_001.fastq.gz,S104,20200316,BACT,19GOWN,C13,MDI,GW144,144 Ponoka,19GWC19038
MDI_19GOWN_BACT-C14-GW3018_20200316_S105,MDI-bact-GOWN-C14-20200316_S105_L001_R1_001.fastq.gz,S105,20200316,BACT,19GOWN,C14,MDI,GW3018,3018 Bear Hills Lake,19GWC19040
MDI_19GOWN_BACT-C15-GW150_20200316_S106,MDI-bact-GOWN-C15-20200316_S106_L001_R1_001.fastq.gz,S106,20200316,BACT,19GOWN,C15,MDI,GW150,150 Wetaskiwin,19GWC19041
MDI_19GOWN_BACT-C16-GW140_20200316_S107,MDI-bact-GOWN-C16-20200316_S107_L001_R1_001.fastq.gz,S107,20200316,BACT,19GOWN,C16,MDI,GW140,140 Wainwright,19GWC19043
MDI_19GOWN_BACT-C17-GW265_20200316_S108,MDI-bact-GOWN-C17-20200316_S108_L001_R1_001.fastq.gz,S108,20200316,BACT,19GOWN,C17,MDI,GW265,265 Metiskow,19GWC19045
MDI_19GOWN_BACT-C18-GW139_20200316_S109,MDI-bact-GOWN-C18-20200316_S109_L001_R1_001.fastq.gz,S109,20200316,BACT,19GOWN,C18,MDI,GW139,139 Hardisty Airport,19GWC19047
MDI_19GOWN_BACT-C19-GW142_20200316_S110,MDI-bact-GOWN-C19-20200316_S110_L001_R1_001.fastq.gz,S110,20200316,BACT,19GOWN,C19,MDI,GW142,142 Hardisty Ball,19GWC19048
MDI_19GOWN_BACT-C2-GW984_20200316_S93,MDI-bact-GOWN-C2-20200316_S93_L001_R1_001.fastq.gz,S93,20200316,BACT,19GOWN,C2,MDI,GW984,984 Sundre North,19GWC19012
MDI_19GOWN_BACT-C20-GW123_20200316_S111,MDI-bact-GOWN-C20-20200316_S111_L001_R1_001.fastq.gz,S111,20200316,BACT,19GOWN,C20,MDI,GW123,123 Sibbald,19GWC19049
MDI_19GOWN_BACT-C21-GW760_20200316_S112,MDI-bact-GOWN-C21-20200316_S112_L001_R1_001.fastq.gz,S112,20200316,BACT,19GOWN,C21,MDI,GW760,760 Canmore Info,19GWC19053
MDI_19GOWN_BACT-C22-GW003_20200316_S113,MDI-bact-GOWN-C22-20200316_S113_L001_R1_001.fastq.gz,S113,20200316,BACT,19GOWN,C22,MDI,GW003,003 Collingwood,19GWC19055
MDI_19GOWN_BACT-C23-GW003_20200316_S114,MDI-bact-GOWN-C23-20200316_S114_L001_R1_001.fastq.gz,S114,20200316,BACT,19GOWN,C23,MDI,GW003,003 Elora,19GWC19056
MDI_19GOWN_BACT-C24-GW117_20200316_S115,MDI-bact-GOWN-C24-20200316_S115_L001_R1_001.fastq.gz,S115,20200316,BACT,19GOWN,C24,MDI,GW117,117 Barons,19GWC19059
MDI_19GOWN_BACT-C3-GW972_20200316_S94,MDI-bact-GOWN-C3-20200316_S94_L001_R1_001.fastq.gz,S94,20200316,BACT,19GOWN,C3,MDI,GW972,972 Rosebud,19GWC19014
MDI_19GOWN_BACT-C4-GW3026_20200316_S95,MDI-bact-GOWN-C4-20200316_S95_L001_R1_001.fastq.gz,S95,20200316,BACT,19GOWN,C4,MDI,GW3026,3026 Rockyford,19GWC19018
MDI_19GOWN_BACT-C5-GW983_20200316_S96,MDI-bact-GOWN-C5-20200316_S96_L001_R1_001.fastq.gz,S96,20200316,BACT,19GOWN,C5,MDI,GW983,983 Sundre South,19GWC19019
MDI_19GOWN_BACT-C6-GW3022_20200316_S97,MDI-bact-GOWN-C6-20200316_S97_L001_R1_001.fastq.gz,S97,20200316,BACT,19GOWN,C6,MDI,GW3022,3022 Leedale,19GWC19021
MDI_19GOWN_BACT-C7-GW982_20200316_S98,MDI-bact-GOWN-C7-20200316_S98_L001_R1_001.fastq.gz,S98,20200316,BACT,19GOWN,C7,MDI,GW982,982 Leedale,19GWC19022
MDI_19GOWN_BACT-C8-GW980_20200316_S99,MDI-bact-GOWN-C8-20200316_S99_L001_R1_001.fastq.gz,S99,20200316,BACT,19GOWN,C8,MDI,GW980,980 Rocky Mtn House,19GWC19024
MDI_19GOWN_BACT-C9-GW218_20200316_S100,MDI-bact-GOWN-C9-20200316_S100_L001_R1_001.fastq.gz,S100,20200316,BACT,19GOWN,C9,MDI,GW218,218 Cluny,19GWC19026
MDI_19GOWN_BACT-E1-GW449_20200316_S116,MDI-bact-GOWN-E1-20200316_S116_L001_R1_001.fastq.gz,S116,20200316,BACT,19GOWN,E1,MDI,GW449,449 Tawatinaw 2649E_0449,19GWE00021
MDI_19GOWN_BACT-E10-GW1124_20200316_S125,MDI-bact-GOWN-E10-20200316_S125_L001_R1_001.fastq.gz,S125,20200316,BACT,19GOWN,E10,MDI,GW1124,1124 Conklin 76-07-67,19GWE00520
MDI_19GOWN_BACT-E11-GW1125_20200316_S126,MDI-bact-GOWN-E11-20200316_S126_L001_R1_001.fastq.gz,S126,20200316,BACT,19GOWN,E11,MDI,GW1125,1125 Conklin 76-07-41,19GWE00521
MDI_19GOWN_BACT-E12-GW1126_20200316_S127,MDI-bact-GOWN-E12-20200316_S127_L001_R1_001.fastq.gz,S127,20200316,BACT,19GOWN,E12,MDI,GW1126,1126 Conklin 76-07-24,19GWE00522
