NewName,OldName,OldSeqNumber,Seq Date,Primer,Year,Genome Code,User,GOWN Code,GOWN Location,Sample ID
GLC_25GOWN_ARCH-G9-GW275_20251031_S123_R1_001.fastq.gz,GLC_25GOWN_ARCH-G9-GW275_20251031_S123_R1_001.fastq.gz,S123,20251031,ARCH,25GOWN,G9,GLC,GW275,,
GLC_25GOWN_BACT-G9-GW275_20251031_S171_R1_001.fastq.gz,GLC_25GOWN_BACT-G9-GW275_20251031_S171_R1_001.fastq.gz,S171,20251031,BACT,25GOWN,G9,GLC,GW275,,
GLC_25GOWN_ARCH-G7-GW277_20251031_S121_R1_001.fastq.gz,GLC_25GOWN_ARCH-G7-GW277_20251031_S121_R1_001.fastq.gz,S121,20251031,ARCH,25GOWN,G7,GLC,GW277,,
GLC_25GOWN_BACT-G7-GW277_20251031_S169_R1_001.fastq.gz,GLC_25GOWN_BACT-G7-GW277_20251031_S169_R1_001.fastq.gz,S169,20251031,BACT,25GOWN,G7,GLC,GW277,,
GLC_25GOWN_ARCH-G8-GW281_20251031_S122_R1_001.fastq.gz,GLC_25GOWN_ARCH-G8-GW281_20251031_S122_R1_001.fastq.gz,S122,20251031,ARCH,25GOWN,G8,GLC,GW281,,
GLC_25GOWN_BACT-G8-GW281_20251031_S170_R1_001.fastq.gz,GLC_25GOWN_BACT-G8-GW281_20251031_S170_R1_001.fastq.gz,S170,20251031,BACT,25GOWN,G8,GLC,GW281,,
GLC_25GOWN_ARCH-G21-GW292_20251031_S135_R1_001.fastq.gz,GLC_25GOWN_ARCH-G21-GW292_20251031_S135_R1_001.fastq.gz,S135,20251031,ARCH,25GOWN,G21,GLC,GW292,,
GLC_25GOWN_BACT-G21-GW292_20251031_S183_R1_001.fastq.gz,GLC_25GOWN_BACT-G21-GW292_20251031_S183_R1_001.fastq.gz,S183,20251031,BACT,25GOWN,G21,GLC,GW292,,
GLC_25GOWN_ARCH-G35-GW294_20251031_S149_R1_001.fastq.gz,GLC_25GOWN_ARCH-G35-GW294_20251031_S149_R1_001.fastq.gz,S149,20251031,ARCH,25GOWN,G35,GLC,GW294,,
GLC_25GOWN_BACT-G35-GW294_20251031_S197_R1_001.fastq.gz,GLC_25GOWN_BACT-G35-GW294_20251031_S197_R1_001.fastq.gz,S197,20251031,BACT,25GOWN,G35,GLC,GW294,,
GLC_25GOWN_ARCH-G43-GW295_20251031_S157_R1_001.fastq.gz,GLC_25GOWN_ARCH-G43-GW295_20251031_S157_R1_001.fastq.gz,S157,20251031,ARCH,25GOWN,G43,GLC,GW295,,
GLC_25GOWN_BACT-G43-GW295_20251031_S205_R1_001.fastq.gz,GLC_25GOWN_BACT-G43-GW295_20251031_S205_R1_001.fastq.gz,S205,20251031,BACT,25GOWN,G43,GLC,GW295,,
GLC_25GOWN_ARCH-G36-GW3021_20251031_S150_R1_001.fastq.gz,GLC_25GOWN_ARCH-G36-GW3021_20251031_S150_R1_001.fastq.gz,S150,20251031,ARCH,25GOWN,G36,GLC,GW3021,,
