"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C2","C20","C21","C22","C23","C24","C3","C4","C5","C6","C7","C8","C9","E1","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E2","E20","E21","E22","E23","E24","E3","E4","E5","E6","E7","E8","E9"
"17","bOTU_5454","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Lentimicrobiaceae","g__Lentimicrobium","s__Lentimicrobium saccharophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","bOTU_5455","d__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__UBA1369","f__UM-FILTER-53-11","g__JACRID01","s__JACRID01 sp016220145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","bOTU_5456","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__AWTP1-31","g__CAJAXB01","g__CAJAXB01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","bOTU_5457","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__JACPAR01","s__JACPAR01 sp016180725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","bOTU_5458","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","f__UBA12049","f__UBA12049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","bOTU_5459","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","f__UBA12049","f__UBA12049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","bOTU_5460","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Woykebacterales","f__RBG-16-39-9b","g__RBG-13-40-15","s__RBG-13-40-15 sp001816655",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","bOTU_5461","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__GWA2-44-7","f__UBA8517","f__UBA8517","f__UBA8517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","bOTU_5462","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Woykebacterales","f__RBG-16-39-9b","g__RBG-13-40-15","s__RBG-13-40-15 sp001816655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","bOTU_5463","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Woykebacterales","f__RBG-16-39-9b","g__JACZRW01","s__JACZRW01 sp022574495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","bOTU_5464","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__GWB1-37-8","s__GWB1-37-8 sp903872785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","bOTU_5465","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__GWB1-37-8","g__GWB1-37-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","bOTU_5466","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__GWB1-37-8","g__GWB1-37-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","bOTU_5467","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__GWB1-37-8","s__GWB1-37-8 sp001782645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","bOTU_5468","d__Bacteria","p__Patescibacteria","c__Microgenomatia","o__Levybacterales","f__UBA12049","g__JACQHJ01","s__JACQHJ01 sp016199085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
