"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae",32.6355103034948,0.0004860650939395,4.24348161824871,1.00154174812759,11.1417532966005,0.00389,6.5939371290083,0,0.0055763850797411,0,0,0,19.6463030840567,0,0,0.0009547019853244,0.251660821675902,0,8.97420647080752,0,"aOTU_1"
"2","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae",19.7898540337204,19.7250164147074,1.95906032498338,3.44126521043137,2.31750872126317,57.23494,25.3614544156265,60.0725733784525,1.90197130180109,0,43.0273746281772,13.9169401306518,7.48582469601444,0.0008784176351526,66.6190712500456,0.740454130457829,12.9150685938108,57.7295869331728,5.20060073642008,0,"aOTU_2"
"3","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Parvibaculales","f__Parvibaculaceae",13.4533899711384,0,0.0501058733571801,0.0588406996175066,1.86139385387414,0.05024,0.0010973250274864,0.0438381464878961,0,0.101162336522763,0.0411559065341262,0.0127677798920222,0.0004696501818487,0,1.30213560680652,0.0013715885189161,0,0.183918020469316,0,0,"aOTU_3"
"4","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae",6.70144176702602,4.0997381287009,4.58602268743504,7.46766106400489,5.66416246840126,8.35455,9.70141790952498,2.32453579282512,0.655868912254819,0.169528021120795,30.7689685561748,2.96500725563026,2.18109771302194,55.1948818252079,6.89334424723956,0.355448278496092,3.62513322168202,7.53056020028242,2.48077387438028,0.0373692989819785,"aOTU_4"
"5","d__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae",1.53044179934415,0.0006363033957026,0.21772588439342,0.0181698519906721,0.0008500552484671,0,1.26086564676151,0,0,0,0,0,0.451681365891213,1.25084628414031,0,0,0,0,0.094144650729793,0,"aOTU_5"
"6","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudohongiellaceae",2.17822458967145,0.0003711769808265,0.398668901729316,0.0004370878908292,0.766285229022012,0,0,0,0,0.000351562372153,0,0,0,0.0120663259650429,0.0036392834175699,0,0.198483058110575,0.0051335924632395,0,1.01724911575867,"aOTU_6"
"7","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylomonadaceae",0.369877409375178,57.451321020258,0.0103616037582295,0.185585351068145,0.0060605153544557,32.77246,0.0165970410407329,3.07842354086714,0.0007404456221584,0.0014928204030764,5.92391255118528,0.002346889582347,1.93501510723866,0.0016002181725649,12.8784209927649,0.215457144048019,0.355200333091355,17.1356831044281,1.29457979410972,29.9262859018521,"aOTU_7"
"8","d__Bacteria","p__Cloacimonadota","c__Cloacimonadia","o__Cloacimonadales","f__Cloacimonadaceae",0.2337074107202,0,0,0,0.0011116107095339,0,0,0.457504399193439,0,0,0,0,0,0,0,0,0,0.0748698894137906,0,0,"aOTU_8"
"9","d__Bacteria","p__Actinomycetota","c__Aquicultoria","o__Aquicultorales","f__Aquicultoraceae",0.112592587564536,0,0,0,0.0005644091528283,0,0,0,0.0005038717096845,0,0,0,0.0123048347644371,0,0,0,0,0.0060848925691153,0,0,"aOTU_9"
"10","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__UBA7662","f__UBA7662",0.0668465273069799,0.0045159866000563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_10"
