"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"16","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__UBA7662","f__UBA7662","g__PNNG01","s__",0.0668465273069799,0.0045159866000563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_16"
"17","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Caulobacterales","f__Hyphomonadaceae","g__Hyphomonas","s__Hyphomonas sp002841155",0.0431530094646147,0,0,0,0,0,0,0,0,0,0,0,0,0.0001498076587082,0.0018906521169326,0,0,0,0,0,"aOTU_17"
"18","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__SG8-41","g__Ga0077527","s__Ga0077527 sp030684405",0.041078568830262,0.0002916390563637,0.011168057128886,0.0019361909874752,0.271559957452607,0,0.325376465739517,0,0,0,0,0,0.104760169563181,0.0169282654340274,0,0,0,0,0.0568078583335586,0,"aOTU_18"
"19","d__Bacteria","p__Nitrospirota","c__Thermodesulfovibrionia","o__Thermodesulfovibrionales","f__UBA1546","g__UBA1546","s__UBA1546 sp018896985",0.0362872302009173,0,0.10606514392515,0.0521868492463698,0.0671233909558802,0,0.0515089593259425,0.386339343484546,0.0615322601567577,0.0465170861244345,0,0,0.0006762962618621,0,0.0425529870825127,0,0.0072926155240998,0.0029224624874201,0.002870291789485,0,"aOTU_19"
"20","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Lentimicrobiaceae","g__Lentimicrobium","s__Lentimicrobium sp002412885",0.0329433557455427,0.0091115111245756,0,0,0,0.0817,0,0,0.0042875181150296,0,0,0,0,0.0142112992601831,0.0021746937495234,0,0,0,0.0015179427732853,0.0174901847555359,"aOTU_20"
"21","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Sulfuricystis","s__Sulfuricystis sp013791905",0.0236625560418524,0.0652476107010105,0.0033018316282205,0,0.0068864799683509,0,5.87852693296327e-05,0.0003688837637823,0.0457325024308245,0,0,0,0.002409305432884,0.0008852270741848,0,0.0006460150100695,0,0.0052450059891529,0.0308004388179359,0.0018413546258897,"aOTU_21"
"22","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Sulfurimonadaceae","g__Sulfuricurvum","s__Sulfuricurvum sp030693335",0.0150242136988013,2.14953892124954,0,0,0,0,0.0238472242580543,5.57295572739372,8.41223190103279,0.0005458190582676,0,0,0,0.0103299190118341,0.0105184167068789,0.0021830852064418,0,0,0,0,"aOTU_22"
"23","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polaromonas","s__Polaromonas sp029945925",0.0147068552435458,0,0.0101632955523304,5.70358878580435,0.0436522298443593,0.47003,5.45723903446416,0,0,0,0.236437774047006,0.513661070752945,0.14575123743494,0.0002791870003198,0,0,0.038095752737835,0.0130525230743135,0.65655624771178,0,"aOTU_23"
"24","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Methylibium","s__Methylibium sp001425905",0.0140256956322658,0,0.261370215375053,0,0,0,0.0374592799561603,0,0,0,0,0,0.0912342443259374,0,0.0251820659893801,0,0,0,0,0,"aOTU_24"
"25","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__Flavobacterium azooxidireducens",0.0129884753150894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_25"
"26","d__Bacteria","p__Desulfobacterota","c__Desulfobulbia","o__Desulfobulbales","f__Desulfurivibrionaceae","g__Thiovibrio","s__Thiovibrio sp002841785",0.0123073157038094,0.39736263306915,0.0056716146887151,0,0,0,0,0,0.0499478194167225,1.12421095097393,0,0,0,0.0015865992945005,0,0,0.0476908588120238,0.0013026812260641,0.0931694874936218,0,"aOTU_26"
"27","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Perlucidibaca","s__Perlucidibaca sp030680295",0.0122840943534248,0,0.0068680741976398,0.179715369063207,1.44400640231912,0,0,0.0011730503688279,8.29544887895373e-05,0.0153272748315866,0,0,0,0,0.0088407958143893,0,0,0,0,0.0402628562512338,"aOTU_27"
