#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19014-C3-GOWN972_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19014-C3-GOWN972_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19014-C3-GOWN972.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19014-C3-GOWN972_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#73146612 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 61676196
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	15.6814	-	11470416
k__Bacteria	2	84.30730538463709	16.660308659554598	61663553
k__Archaea	2157	0.011290259956811124	0.0022316464503933492	12643
k__Bacteria|p__Pseudomonadota	2|1224	80.32162439153409	15.872682586816165	58814439
k__Bacteria|p__Bacteroidota	2|976	3.965183142501801	0.7835752553774742	2772725
k__Archaea|p__Thermoplasmatota	2157|2283796	0.010421778421671805	0.0020600031244545638	8913
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.010025481022142214	0.001980944970982828	37172
k__Bacteria|p__Chloroflexota	2|200795	0.004072588169633885	0.0008051285450966801	12724
k__Bacteria|p__Elusimicrobiota	2|74152	0.00401356515268267	0.0007932150667920354	6981
k__Bacteria|p__Firmicutes	2|1239	0.0017622586489720123	0.0003483042140516097	5467
k__Archaea|p__Methanobacteriota	2157|28890	0.0008684815351393172	0.0001716433259387855	3730
k__Bacteria|p__Actinomycetota	2|201174	0.0006239576077699948	0.00012322456403722105	14045
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	73.79635161621155	14.58319723537943	52772221
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	5.995018422892368	1.1846992364714004	5500474
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	3.9637244307971504	0.783288229845043	2768327
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.5302543524301577	0.1047861149653332	541744
k__Archaea|p__Thermoplasmatota|c__CFGB14502	2157|2283796|	0.010421778421671805	0.0020600031244545638	8913
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.007234535506306157	0.0014295383953832487	12839
k__Bacteria|p__Chloroflexota|c__CFGB91799	2|200795|	0.004072588169633885	0.0008051285450966801	12724
k__Bacteria|p__Elusimicrobiota|c__CFGB3228	2|74152|	0.00401356515268267	0.0007932150667920354	6981
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348	2|200940|	0.002057373733728091	0.00040617644141138326	12473
k__Bacteria|p__Firmicutes|c__CFGB8996	2|1239|	0.0017622586489720123	0.0003483042140516097	5467
k__Bacteria|p__Bacteroidota|c__CFGB24197	2|976|	0.001450279845087015	0.0002870255324312215	4398
k__Archaea|p__Methanobacteriota|c__Methanomicrobia	2157|28890|224756	0.0008684815351393172	0.0001716433259387855	3730
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.0006239576077699948	0.00012322456403722105	14045
