"","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"35","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__GGB42936|s__GGB42936_SGB60159",NA,NA,NA,NA,NA,NA,12760,0,0,0,0,0,0,0,0,0,0,0,0,9996,0,0,0,0,0,34439,"bOTU_35"
"36","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_SGB179646",NA,NA,NA,NA,NA,NA,63208,961720,0,0,0,23822,0,19269,934226,0,0,0,0,0,0,0,1230781,0,0,0,"bOTU_36"
"37","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae|g__Methylotenera|s__Methylotenera_sp_L2L1",NA,NA,NA,NA,NA,NA,64046,0,0,0,0,0,61728,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_37"
"38","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Reyranellaceae|g__Reyranella|s__Reyranella_SGB89884",NA,NA,NA,NA,NA,NA,55034,0,0,0,0,0,0,15757,0,26339,0,0,17367,0,28773,0,0,0,75689,0,"bOTU_38"
"39","k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_orientale",NA,NA,NA,NA,NA,NA,15491,0,0,0,0,0,0,0,0,0,0,0,0,0,13679,0,0,0,0,0,"bOTU_39"
"40","k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes",NA,NA,NA,NA,NA,NA,11751,0,10046,0,12657,0,9069,0,0,10446,0,9863,10137,0,0,0,12064,0,0,0,"bOTU_40"
"41","k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004|f__FGB5004|g__GGB43562|s__GGB43562_SGB166679",NA,NA,NA,NA,NA,NA,7872,0,21099,14062,6921,0,912372,0,28932,12881,0,0,5802,0,0,0,196676,0,59139,0,"bOTU_41"
"42","k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB86280|o__OFGB86280|f__FGB86280|g__GGB106820|s__GGB106820_SGB189639",NA,NA,NA,NA,NA,NA,3422,0,0,0,0,0,0,0,0,9032,0,0,0,0,0,0,0,0,0,0,"bOTU_42"
"43","k__Bacteria|p__Firmicutes|c__CFGB26722|o__OFGB26722|f__FGB26722|g__GGB105596|s__GGB105596_SGB82041",NA,NA,NA,NA,NA,NA,7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_43"
"44","k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255|f__FGB2255|g__GGB63127|s__GGB63127_SGB124806",NA,NA,NA,NA,NA,NA,12437,0,15519,0,13460,0,11431,10869,62971,0,0,0,0,0,0,0,48367,0,12546,12328,"bOTU_44"
"45","k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus|s__Thiobacillus_denitrificans",NA,NA,NA,NA,NA,NA,208439,0,199136,99523,89759,0,0,0,0,0,0,0,223554,0,0,0,0,0,0,0,"bOTU_45"
"46","k__Bacteria|p__Firmicutes|c__CFGB42607|o__OFGB42607|f__FGB42607|g__GGB47217|s__GGB47217_SGB106326",NA,NA,NA,NA,NA,NA,4136,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,"bOTU_46"
"47","k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB14257|s__GGB14257_SGB195931",NA,NA,NA,NA,NA,NA,9580,525050,0,25830,0,0,93661,0,0,0,2768327,8725,0,160905,152519,27298,53763,0,92788,0,"bOTU_47"
"48","k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcoides|s__Rhodococcoides_yunnanense",NA,NA,NA,NA,NA,NA,22609,0,0,0,0,0,0,0,0,0,0,0,32702,31414,0,0,0,0,24085,0,"bOTU_48"
"49","k__Bacteria|p__Bacteroidota|c__CFGB90425|o__OFGB90425|f__FGB90425|g__GGB122861|s__GGB122861_SGB153845",NA,NA,NA,NA,NA,NA,5314,0,4750,4059,8215,0,0,6915,19787,0,0,0,0,0,5278,0,0,0,13403,0,"bOTU_49"
"50","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae|g__GGB59409|s__GGB59409_SGB165301",NA,NA,NA,NA,NA,NA,5829,40509,0,27538,0,19764572,0,1721593,0,0,5161434,5635,0,4630,10059847,34348,12121,1151240,0,0,"bOTU_50"
