#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	14.29729
d__Bacteria	85.4625903819038
d__Archaea	0.2401218591570041
d__Bacteria;p__Pseudomonadota	84.85135006792932
d__Bacteria;p__Bacteroidota	0.42463979861200796
d__Archaea;p__Methanobacteriota	0.2401218591570041
d__Bacteria;p__Cloacimonadota	0.07486988941379069
d__Bacteria;p__Desulfobacterota	0.05119023002158561
d__Bacteria;p__Chloroflexota	0.017226245160453218
d__Bacteria;p__Patescibacteria	0.011115641777665584
d__Bacteria;p__Actinomycetota	0.028804681584220528
d__Bacteria;p__Nitrospirota	0.0029224624874201726
d__Bacteria;p__Dependentiae	0.0004713649173258344
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	84.61977276918275
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.42463979861200796
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.2401218591570041
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.23157729874657038
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia	0.07486988941379069
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.046545143018120114
d__Bacteria;p__Chloroflexota;c__Anaerolineae	0.017226245160453218
d__Bacteria;p__Patescibacteria;c__Paceibacteria	0.011115641777665584
d__Bacteria;p__Actinomycetota;c__Actinomycetes	0.022719789015105213
d__Bacteria;p__Actinomycetota;c__Aquicultoria	0.006084892569115316
d__Bacteria;p__Desulfobacterota;c__QYQD01	0.0033424057774013704
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia	0.0029224624874201726
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia	0.001302681226064124
d__Bacteria;p__Dependentiae;c__Babeliae	0.0004713649173258344
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	67.44799168235872
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales	17.13568310442809
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0.20545511205549502
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	0.2401218591570041
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales	0.18391802046931646
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales	0.1469030190524023
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales	0.07486988941379069
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales	0.07228166750411066
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.046545143018120114
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales	0.029078930263391926
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales	0.036097982395934806
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales	0.017226245160453218
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983	0.011115641777665584
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	0.011184203947458433
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales	0.011535585067646782
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA6184	0.006479125045424195
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales	0.006376281790734923
d__Bacteria;p__Actinomycetota;c__Aquicultoria;o__Aquicultorales	0.006084892569115316
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales	0.005193584361808283
d__Bacteria;p__Desulfobacterota;c__QYQD01;o__QYQD01	0.0033424057774013704
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales	0.0029224624874201726
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales	0.001302681226064124
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales	0.0005313568158945769
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales	0.0004713649173258344
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	57.72958693317282
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	17.13568310442809
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	7.530560200282425
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae	1.985123353368467
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	0.20545511205549502
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.2401218591570041
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae	0.19747618954585228
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae	0.18391802046931646
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0.1469030190524023
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae	0.07486988941379069
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae	0.07228166750411066
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae	0.046545143018120114
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.029078930263391926
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.030964389932695263
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	0.017226245160453218
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9983	0.011115641777665584
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae	0.011184203947458433
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae	0.011535585067646782
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA6184;f__UBA6184	0.006479125045424195
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.006376281790734923
d__Bacteria;p__Actinomycetota;c__Aquicultoria;o__Aquicultorales;f__Aquicultoraceae	0.006084892569115316
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	0.00524500598915292
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae	0.005133592463239541
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	0.004782211343051191
d__Bacteria;p__Desulfobacterota;c__QYQD01;o__QYQD01;f__QYQD01	0.0033424057774013704
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546	0.0029224624874201726
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae	0.001302681226064124
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0005313568158945769
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae	0.0004713649173258344
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	0.0004113730187570918
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera	57.72958693317282
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A	15.84400610661572
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga	6.728477086689561
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01	1.985123353368467
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__JABFRC01	1.0785000713839572
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax	0.6042041212994785
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylicorpusculum	0.2131769264284146
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter	0.20545511205549502
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA349	0.2401218591570041
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae;g__Sulfurimicrobium	0.19747618954585228
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA2334	0.18394373128298874
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum	0.18391802046931646
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium	0.1469030190524023
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__JAUYAR01	0.07486988941379069
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus	0.07228166750411066
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium	0.046545143018120114
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudotabrizicola	0.029078930263391926
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	0.030964389932695263
d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107	0.017226245160453218
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas	0.013052523074313559
d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9983;g__JAHIOX01	0.011115641777665584
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus	0.010541433605650477
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.011535585067646782
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA6184;f__UBA6184;g__UBA6184	0.006479125045424195
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis	0.006376281790734923
d__Bacteria;p__Actinomycetota;c__Aquicultoria;o__Aquicultorales;f__Aquicultoraceae;g__Aquicultor	0.006084892569115316
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuricystis	0.00524500598915292
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__Pseudohongiella	0.005133592463239541
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aliihoeflea	0.004782211343051191
d__Bacteria;p__Desulfobacterota;c__QYQD01;o__QYQD01;f__QYQD01;g__QYQD01	0.0033424057774013704
