#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19038-C13-GOWN144_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19038-C13-GOWN144.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19038-C13-GOWN144_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#104133572 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 37616135
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB3566	2|95818|	0.0018458835720146045	0.00040305829945964456	2767
k__Bacteria|p__Bacteroidota|c__CFGB90425	2|976|	0.001589410512106509	0.00034693713380589466	4059
k__Bacteria|p__Nitrospirota|c__CFGB6263	2|40117|	0.0012028947739351533	0.0002629766353693689	4930
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.0011884455874614577	0.0002593829708085476	48158
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4227	2|95818|	0.0010728520956718934	0.00023481127110260483	4319
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB13264	2|200940|	0.000993381570066568	0.0002167373162857025	8154
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB34348	2|200940|	0.0007405208067768962	0.00016190705342233576	9717
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.0004479247806845616	9.795803691722676e-05	3198
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB5129	2|200940|	0.0004190264077371705	9.169265643587174e-05	5743
k__Bacteria|p__Candidatus_Roizmanbacteria|c__CFGB12714	2|1752723|	0.00019506401739488973	4.299412716331891e-05	3217
k__Bacteria|p__Candidatus_Roizmanbacteria|c__Candidatus_Roizmanbacteria_unclassified	2|1752723|	9.753200869744486e-05	2.096590309264849e-05	3734
k__Bacteria|p__Planctomycetota|c__Planctomycetia	2|203682|203683	8.669511884217321e-05	1.9301669231837163e-05	8051
k__Bacteria|p__Nitrospirota|c__CFGB13538	2|40117|	2.5286076328967183e-05	5.266318726981223e-06	3100
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	21.620704236328802	4.724294582250159	17245893
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	7.467657451708273	1.631742318719688	9463142
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	5.167874360402235	1.1292211504484064	4830841
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	2|40117|203693|189778	0.5854340760581036	0.12792169145754465	551131
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales	2|1224|1236|135618	0.18558173877152703	0.04055145730954642	3838041
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.17971536906320665	0.039269431664128024	108245
k__Bacteria|p__Chloroflexota|c__Chloroflexota_unclassified|o__Chloroflexota_unclassified	2|200795||	0.1470421461495626	0.03212993023406869	124953
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.12148514757421362	0.026545191592561013	125320
k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004	2|40117||	0.11286982013927267	0.024662825077678835	138526
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobaccia|o__Desulfobaccales	2|200940|3031647|3031655	0.08364634049622345	0.01827749693444852	133648
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.07366556493951826	0.016096197535845916	155802
k__Bacteria|p__Candidatus_Omnitrophota|c__CFGB25749|o__OFGB25749	2|67812||	0.05082862571784247	0.011106317237217831	20926
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB2255|o__OFGB2255	2|200940||	0.03867685989346452	0.008451517063021429	53486
k__Bacteria|p__Candidatus_Roizmanbacteria|c__CFGB4327|o__OFGB4327	2|1752723||	0.037286125695371326	0.008147125327102963	23776
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.03141614369043252	0.006864841510499181	33240
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.022941695823610084	0.005012634730651282	122252
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	2|2818505|32015|29	0.01816623969405371	0.003969685578923626	44175
k__Bacteria|p__Kiritimatiellota|c__CFGB56764|o__OFGB56764	2|134625||	0.01708616300514497	0.00373312748100508	44241
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	2|57723|1813735|2910145	0.014871825178051128	0.003249225475029662	25884
k__Bacteria|p__Pseudomonadota|c__CFGB74353|o__OFGB74353	2|1224||	0.014553943075629827	0.0031804693886377136	3479
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB11088|o__OFGB11088	2|200940||	0.014503370922971891	0.003169309161161249	35830
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB12416|o__OFGB12416	2|200940||	0.014095181405089993	0.0030796889386937327	13735
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.012556343045641419	0.002743619043299594	84145
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB86280|o__OFGB86280	2|95818||	0.011591859848522243	0.0025329552127310523	8001
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.011425694204074743	0.0024967394679150925	19077
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales	2|976|200643|1970189	0.010211962540284319	0.0022313997075460467	13779
k__Bacteria|p__Candidatus_Parcubacteria|c__CFGB3846|o__OFGB3846	2|221216||	0.008286608442664389	0.0018108757360304696	4238
k__Bacteria|p__Thermomicrobiota|c__CFGB2607|o__OFGB2607	2|3027942||	0.007885643518019337	0.001723346414485911	13071
