"","Kingdom","Phylum","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"1","d__Bacteria","p__Pseudomonadota",75.2856149828314,84.7066169461255,26.2852668368252,13.237358490223,32.6292296101216,99.4813,54.7663621383396,65.5336761709921,3.45623118286965,1.5576218997814,80.3216159596745,20.4388086691978,40.2937077992405,56.225476803852,88.2948030585104,30.8558472367676,25.1832824697238,84.8513500679293,33.5751830095825,38.2671767815235,"aOTU_1"
"2","d__Bacteria","p__Myxococcota",1.53044179934415,0.0006363033957026,0.235338958214027,0.0229597573067022,0.0008500552484671,0,1.3054901978793,0,0,0,0,0,0.451681365891213,1.25084628414031,0,0,0.0248808524291427,0,0.134080345146955,0,"aOTU_2"
"3","d__Bacteria","p__Cloacimonadota",0.2337074107202,0,0,0,0.0011116107095339,0,0,0.457504399193439,0,0,0,0,0,0,0,0,0,0.0748698894137906,0,0,"aOTU_3"
"4","d__Bacteria","p__Actinomycetota",0.118475329661954,0,0.062205979053792,0.0044936969933193,0.0234505119961734,0.00376,0.0073024367900588,0.0016452215864693,0.483706087937555,0.0337774370410376,0.0006239576077699,0.0005954794462671,0.405308106935468,0.232058872778046,0.0519618661620837,0.0940699689539678,0.0819965725595306,0.0288046815842205,0.424623791606947,0,"aOTU_4"
"5","d__Bacteria","p__Bacteroidota",0.120116305089129,0.909825480383182,4.85135245665455,21.6783239796893,0.0449324749958968,0.45619,6.71701388789478,0.0257628420625603,0.624283222551084,0.0650781013341139,3.96517471064224,1.86050797547077,3.22832838501009,4.28146202924639,0.290796497665874,0.370586669643386,0.517859429140183,0.424639798612008,0.774104816109683,0.158335024303185,"aOTU_5"
"6","d__Bacteria","p__Nitrospirota",0.0502510022321577,0.0007865416974657,0.726019562343775,0.69953207704764,0.933642867393295,0,1.84233034079069,0.386339343484546,0.134499950212577,0.290056904654897,0,0.0661282427094157,0.23980338285197,0,0.0425529870825127,0,0.342853401947606,0.0029224624874201,0.824127930229314,0,"aOTU_6"
"7","d__Bacteria","p__Campylobacterota",0.0150242136988013,2.14953892124954,0.0591949994608902,0,0.0714562636596052,0,0.0645788842068975,5.57295572739372,8.41223190103279,1.19602891472194,0,0,0.0109522422407127,0.0103299190118341,0.0105184167068789,0.0021830852064418,0.107254196169597,0,0.765052357388999,0,"aOTU_7"
"8","d__Bacteria","p__Desulfobacterota",0.0236393346914679,0.595482765358904,0.228936908300251,0.14367909799781,0.0424717887503341,0.0327699999999999,0.423671967755255,0.976140215720892,0.957938466016498,1.5516115556833,0.0100254810221422,0,0.0405026316826358,0.35382526155169,0.0162436308637877,0.0065174322198148,1.06982920919332,0.0511902300215856,4.33669810570411,0.0271801121599996,"aOTU_8"
"9","d__Bacteria","p__Bacillota_B",0.0121834685017585,0.0086519586721237,0.0193019987075153,0,0.0003820086339265,0,0,0.0882074855956389,0.200677661741549,0,0,0,0.0018175462037546,0,0,0,0,0,0,0,"aOTU_9"
"10","d__Archaea","p__Thermoplasmatota",0.0100935469671493,0.0003269892450138,0,0,0,0,0,0.0021911695568672,0,0.0070798116145901,0.0104217784216718,0,0,0,0.0008343722957355,0,0.000870760062579,0,0,0,"aOTU_10"
"11","d__Bacteria","p__Patescibacteria",0.0024305013402491,0,0.0107218636656129,0.078256793941535,0.0002581139418422,0,0.0001436973250279,0.0307058844972439,0.0367457661452913,0.620521311507352,0,1.6533061483146,0,0,0.0056364511467241,0.0003946101539341,0.0406745421539346,0.0111156417776655,0.0046320253718132,0,"aOTU_11"
"12","d__Bacteria","p__Bacillota_D",0.0023995395397364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"aOTU_12"
"13","d__Bacteria","p__Riflebacteria",0.000131587652179,0,0,0,0,0,0,0,0.0008925288516059,0,0,0,0,0.0913350057387814,0,0,0,0,0.0020239236977138,0.0068554223243767,"aOTU_13"
"14","d__Bacteria","p__Elusimicrobiota",0,0,0,0,0,0,0,0,0,0.0019700161754884,0.0040135651526826,0,0,0,0,0,0.0012056677789556,0,0.0008049696524998,0,"aOTU_14"
"15","d__Bacteria","p__Chloroflexota",0,0.0019972856587333,0.186003181723089,0.154927789667582,0.174540088992946,0,0.0064990381092205,0.0005238149445709,0.203839149480972,0.23695937328833,0.0040810200291983,2.00161158409128e-05,0.111062875003591,0.401913519997025,0.0006923514794401,0,0.0011498498262262,0.0172262451604532,0.190051035041914,0.0031888182150977,"aOTU_15"
"16","d__Bacteria","p__Atribacterota",0,0,0.0021119823928257,0,0.0128540743037434,0,0.0003723067057543,0.0005902140220517,0.334795099589151,0,0.001762258648972,0,0,0,0,0,0.0012000859836827,0,0.0061821669311986,0.0248717084015955,"aOTU_16"
"17","d__Archaea","p__Halobacteriota",0,0.000132563207438,0,0,0,0,0.0003069897398325,0,0,0.699585894241718,0.0008684815351393,0,0.0001972530763764,0.0271560428603787,0,0,0.016996566606111,0,0.0078657034615696,1.46469292146905,"aOTU_17"
"18","d__Archaea","p__Thermoproteota",0,0,0,0,0,0,0,0,0.0004946545442635,0.037417638419968,0,0.673742459205125,0,0,0,0,0,0,0,0,"aOTU_18"
"19","d__Bacteria","p__Desulfobacterota_B",0,0,0.0018277406310369,0,0,0,0,0,0.003322788134292,0,0,0.128833729610035,0,0,0,0,0,0,0,0,"aOTU_19"
"20","d__Bacteria","p__Methylomirabilota",0,0,0.0068383279667549,0,0,0,0,0,0.0023288704630544,0.0062320500985573,0,0.0737794029896046,0,0,0,0,0,0,0,0,"aOTU_20"
"21","d__Bacteria","p__CSP1-3",0,0,0,0,0,0,0,0,0,0,0,0.042892034232596,0,0,0,0,0,0,0,0,"aOTU_21"
"22","d__Bacteria","p__Acidobacteriota",0,0,0.276494521211627,0.0148718251780511,0.448777548402263,0,0.105166846830713,0,0,0,0,0.0425442542198601,0.95691224551682,0,0.0067016072689397,0,0.0014038215111451,0,0.0548667315143876,0,"aOTU_22"
"23","d__Bacteria","p__Omnitrophota",0,0,0.0346741898014628,0.0508286257178424,0.0003097367302106,0,0.0017700897764811,0.228294783729629,0.182767173134193,0.428636879597627,0,0.0276447579907807,0,0,0.0191195523937697,0,0.0008177330074861,0,0.0039880496498133,0,"aOTU_23"
"24","d__Bacteria","p__Planctomycetota",0,0,0.0011006105427401,8.66951188421732e-05,0,0,0.0053755862953652,0,0.0117073362789826,0.0080088653307905,0,0.006295068431967,0.0003616306400235,0,0,0,0.0001618720629153,0,0.0011039583805711,0,"aOTU_24"
"25","d__Archaea","p__Nanoarchaeota",0,0,0,0,0,0,0,0,0,0,0,0.0043359910940377,0,0,0,0,0,0,0,0,"aOTU_25"
"26","d__Bacteria","p__Cyanobacteriota",0,0,0,0,0,0,0,0,0,0,0,0.0007230821847529,0,0,0,0,0,0,0,0,"aOTU_26"
"27","d__Archaea","p__Methanobacteriota",0,0,0.0012923084751093,0.0060578214290968,0,0.02108,0.0452319989008562,0.472208106017804,0.0021138032698963,3.09684959172489,0,0,1.1567061293771,3.95121104562414,0,0.0041975063954764,0.0284001743487332,0.240121859157004,4.61656995448524,13.7315075465816,"aOTU_27"
"28","d__Bacteria","p__Bacillota_A",0,0,0.0029382665840721,0,0,0,0.0016982411139671,0,0.0029249138269496,0.0026456916054522,0,0,0.0258260634998625,0.0161519893843576,0,0,0,0,0.0018813290735567,0,"aOTU_28"
