"","Kingdom","Phylum","Class","Order","Family","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"27","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae",43319,265445,83290,0,15906,290872,79751,0,0,28694,0,172689,19059,0,194801,23839730,2750415,95537,0,8054,"bOTU_27"
"28","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Reyranellaceae",55034,0,0,22523,45974,0,85061,15757,0,26339,0,0,91251,0,92438,0,19441,0,320296,0,"bOTU_28"
"29","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae",11751,0,10046,0,12657,0,9069,0,0,18138,0,9863,10137,0,0,0,12064,0,0,0,"bOTU_29"
"30","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB2255","o__OFGB2255","f__FGB2255",46264,0,165030,53486,58410,0,571429,20031,268120,187146,0,0,56053,0,0,0,875101,0,156499,38436,"bOTU_30"
"31","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB86280","o__OFGB86280","f__FGB86280",3422,0,0,8001,0,0,0,10391,0,35537,0,0,0,0,3173,0,0,0,0,0,"bOTU_31"
"32","k__Bacteria","p__Firmicutes","c__CFGB26722","o__OFGB26722","f__FGB26722",7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_32"
"33","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Mycobacteriales","f__Nocardiaceae",30391,0,21527,0,0,0,0,0,0,0,0,0,102570,31414,0,49327,86735,0,24085,0,"bOTU_33"
"34","k__Bacteria","p__Firmicutes","c__CFGB42607","o__OFGB42607","f__FGB42607",4136,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,"bOTU_34"
"35","k__Bacteria","p__Bacteroidota","c__CFGB90425","o__OFGB90425","f__FGB90425",5314,0,4750,4059,8215,0,0,6915,19787,0,0,0,0,0,5278,0,0,0,13403,0,"bOTU_35"
"36","k__Bacteria","p__Nitrospirota","c__Nitrospiria","o__Nitrospirales","f__Nitrospiraceae",8590,7001,518992,551131,1260191,0,1003779,0,11032,8870,0,3947,239393,0,0,0,25285,0,899646,0,"bOTU_36"
"37","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Gammaproteobacteria_unclassified","f__Gammaproteobacteria_unclassified",32188,21999,0,17122,6014,0,0,0,0,14908,0,0,0,45223,0,0,0,0,0,0,"bOTU_37"
"38","k__Bacteria","p__Bacteroidota","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae",9976,458733,0,19077,17415,0,2054821,9843,0,0,0,0,20603,1273861,71760,95615,0,86888,466981,12671,"bOTU_38"
"39","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB12416","o__OFGB12416","f__FGB12416",4722,0,13060,13735,5156,0,16228,0,10095,0,3980,0,6763,0,0,0,4604,0,9967,0,"bOTU_39"
"40","k__Bacteria","p__Actinomycetota","c__Thermoleophilia","o__Miltoncostaeales","f__Miltoncostaeaceae",10928,0,14411,8689,19608,0,4883,0,0,0,0,0,0,0,0,0,4710,0,5432,0,"bOTU_40"
"41","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfobacteria","o__Desulfobacterales","f__Desulfosarcinaceae",7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_41"
"42","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae",55799,0,0,0,0,0,0,0,0,0,0,5311,0,39300,31021,0,8273,0,0,0,"bOTU_42"
"43","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae",14834,18053,943673,45249,1026215,0,1122487,0,0,0,0,294895,175959,0,0,256568,147054,0,95608,0,"bOTU_43"
"44","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Paracoccaceae",7086,1217143,1232224,125320,1459011,17070,223397,0,9934,0,262197,48877,88683,455115,0,9874,23059,31904,1015439,282057,"bOTU_44"
"45","k__Bacteria","p__Firmicutes","c__CFGB40289","o__OFGB40289","f__FGB40289",5187,0,0,0,0,0,0,0,5579,0,0,0,0,71153,0,0,0,0,10605,25231,"bOTU_45"
"46","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae",5466,0,0,0,0,0,0,0,0,0,0,0,0,18713,0,0,0,0,14203,0,"bOTU_46"
"47","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae",0,619308,67584,16931,141159,0,133745,18864,13241,182173,243195,272225,524866,28415,35613,7027,47994,15286,15089,0,"bOTU_47"
