"","Kingdom","Phylum","Class","Order","Family","Genus","C1","C10","C12","C13","C15","C17","C18","C19","C20","C21","C3","C4","C5","C8","C9","E1","E10","E2","E6","E9","OTUs"
"25","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sphaerotilaceae","g__Methylibium",31341,0,278735,0,0,0,72059,0,0,0,0,0,117110,0,29025,0,0,0,0,0,"bOTU_25"
"26","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfobulbia","o__Desulfobulbales","f__Thiovibrionaceae","g__Thiovibrio",21550,348554,22218,0,0,0,0,0,38097,468219,0,0,0,8687,0,0,41299,10219,92029,0,"bOTU_26"
"27","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Sterolibacteriaceae","g__Methyloversatilis",24730,0,61518,13369,13121,0,211920,0,12339,381830,0,1222188,599955,504224,21635,0,0,0,115691,0,"bOTU_27"
"28","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Peptococcaceae","g__GGB60800",13702,11054,0,0,0,0,0,104787,98243,0,0,0,0,0,0,0,0,0,0,0,"bOTU_28"
"29","k__Archaea","p__Thermoplasmatota","c__CFGB14502","o__OFGB14502","f__FGB14502","g__GGB73713",13030,4482,0,0,0,0,0,6602,0,5167,8913,0,0,0,4417,0,0,0,0,0,"aOTU_29"
"30","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Thiobacillaceae","g__Thiobacillus",271647,961720,1593517,135886,109071,23822,1745454,19269,1022747,0,0,0,223554,0,0,0,1230781,0,0,0,"bOTU_30"
"31","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB34348","o__OFGB34348","f__FGB34348","g__GGB63020",49030,0,15761,9717,27834,0,19313,100636,516210,25798,12473,0,11054,0,11929,0,116504,0,104127,0,"bOTU_31"
"32","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Ectopseudomonas",33215,19452,0,0,0,40224,39416,0,0,28694,0,0,0,0,116304,0,0,0,0,0,"bOTU_32"
"33","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Reyranellaceae","g__Reyranella",55034,0,0,22523,45974,0,85061,15757,0,26339,0,0,91251,0,92438,0,19441,0,320296,0,"bOTU_33"
"34","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium",11751,0,10046,0,12657,0,9069,0,0,10446,0,9863,10137,0,0,0,12064,0,0,0,"bOTU_34"
"35","k__Bacteria","p__Nitrospirota","c__CFGB5004","o__OFGB5004","f__FGB5004","g__GGB43562",7872,0,21099,14062,6921,0,912372,0,28932,12881,0,0,5802,0,0,0,196676,0,59139,0,"bOTU_35"
"36","k__Bacteria","p__Candidatus_Saccharibacteria","c__CFGB86280","o__OFGB86280","f__FGB86280","g__GGB106820",3422,0,0,0,0,0,0,0,0,9032,0,0,0,0,0,0,0,0,0,0,"bOTU_36"
"37","k__Bacteria","p__Firmicutes","c__CFGB26722","o__OFGB26722","f__FGB26722","g__GGB105596",7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_37"
"38","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB2255","o__OFGB2255","f__FGB2255","g__GGB63127",12437,0,15519,0,13460,0,11431,10869,62971,0,0,0,0,0,0,0,48367,0,12546,12328,"bOTU_38"
"39","k__Bacteria","p__Firmicutes","c__CFGB42607","o__OFGB42607","f__FGB42607","g__GGB47217",4136,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,"bOTU_39"
"40","k__Bacteria","p__Bacteroidota","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__GGB14257",9580,555408,0,33240,14348,69182,93661,37230,0,0,2768327,8725,4350,339123,165452,96587,346938,138100,180720,14314,"bOTU_40"
"41","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Mycobacteriales","f__Nocardiaceae","g__Rhodococcoides",22609,0,0,0,0,0,0,0,0,0,0,0,32702,31414,0,26234,86735,0,24085,0,"bOTU_41"
"42","k__Bacteria","p__Bacteroidota","c__CFGB90425","o__OFGB90425","f__FGB90425","g__GGB122861",5314,0,4750,4059,8215,0,0,6915,19787,0,0,0,0,0,5278,0,0,0,13403,0,"bOTU_42"
"43","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__GGB59409",5829,40509,0,27538,0,19764572,0,1721593,0,0,5161434,5635,0,4630,10059847,34348,12121,1151240,0,0,"bOTU_43"
"44","k__Bacteria","p__Nitrospirota","c__Nitrospiria","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira",8590,7001,82877,79390,26375,0,997353,0,11032,0,0,0,0,0,0,0,0,0,899646,0,"bOTU_44"
"45","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Parvibaculaceae","g__GGB7499",147819,0,0,0,1151202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_45"
"46","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Gammaproteobacteria_unclassified","f__Gammaproteobacteria_unclassified","g__Gammaproteobacteria_unclassified",32188,21999,0,17122,6014,0,0,0,0,14908,0,0,0,45223,0,0,0,0,0,0,"bOTU_46"
"47","k__Bacteria","p__Bacteroidota","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae","g__Algoriphagus",9976,458733,0,19077,17415,0,2054821,9843,0,0,0,0,20603,1273861,71760,95615,0,86888,466981,12671,"bOTU_47"
"48","k__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Mycobacteriales","f__Nocardiaceae","g__Rhodococcus",7782,0,15494,0,0,0,0,0,0,0,0,0,11807,0,0,23093,0,0,0,0,"bOTU_48"
"49","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB12416","o__OFGB12416","f__FGB12416","g__GGB35332",4722,0,13060,13735,5156,0,16228,0,10095,0,3980,0,6763,0,0,0,4604,0,9967,0,"bOTU_49"
"50","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",10104,245993,65875,0,0,250648,19637,0,0,0,0,172689,19059,0,0,23839730,2750415,95537,0,0,"bOTU_50"
"51","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax",23076,56406,0,0,0,0,486034,0,16043,38758,22112,0,213386,0,101848,9186,0,12466,40266,0,"bOTU_51"
"52","k__Bacteria","p__Actinomycetota","c__Thermoleophilia","o__Miltoncostaeales","f__Miltoncostaeaceae","g__Miltoncostaea",10928,0,5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432,0,"bOTU_52"
"53","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfobacteria","o__Desulfobacterales","f__Desulfosarcinaceae","g__GGB63061",7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_53"
"54","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Simplicispira",12700,14365,0,0,0,0,51884,0,14406,0,0,0,42356,0,0,0,19933,0,42468,0,"bOTU_54"
"55","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Rhizobiaceae","g__Hoeflea",55799,0,0,0,0,0,0,0,0,0,0,0,0,39300,0,0,0,0,0,0,"bOTU_55"
"56","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Thiobacillaceae","g__GGB74856",5314,0,4773629,5917,57750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_56"
"57","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Thiobacillaceae","g__GGB8488",15056,131844,840265,0,1014869,59381,0,0,0,125461,0,0,0,0,0,0,0,2053040,0,0,"bOTU_57"
"58","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Nitrobacteraceae","g__Bradyrhizobium",14834,18053,915366,45249,1017838,0,1099439,0,0,0,0,176471,84785,0,0,126603,147054,0,95608,0,"bOTU_58"
"59","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Paracoccaceae","g__GGB132630",7086,705120,0,117292,0,12383,0,0,9934,0,0,0,0,0,0,9874,0,31904,0,282057,"bOTU_59"
"60","k__Bacteria","p__Thermodesulfobacteriota","c__CFGB2255","o__OFGB2255","f__FGB2255","g__GGB138967",33827,0,121763,42863,35311,0,529851,0,123619,187146,0,0,31370,0,0,0,719227,0,86712,18699,"bOTU_60"
"61","k__Bacteria","p__Firmicutes","c__CFGB40289","o__OFGB40289","f__FGB40289","g__GGB58596",5187,0,0,0,0,0,0,0,5579,0,0,0,0,0,0,0,0,0,10605,25231,"bOTU_61"
"62","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__GGB46267",12430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_62"
"63","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Pseudodesulfovibrio",5466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bOTU_63"
"64","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__GGB14851",0,0,1576240,0,5423598,6536136,1385000,8012,7999,0,5612961,8821,0,0,259797,0,329859,564828,28101,0,"bOTU_64"
"65","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Paracoccaceae","g__GGB15929",0,512023,77831,0,1285645,4687,0,0,0,0,262197,0,0,0,0,0,0,0,0,0,"bOTU_65"
"66","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__GGB124698",0,70850696,12891,0,7216,15117124,7298,5312382,5553,0,282918,7871,0,0,642042,7381,9408,280771,0,0,"bOTU_66"
"67","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium",0,0,0,10425,0,0,5319,0,0,0,243195,10834,0,0,0,0,0,0,0,0,"bOTU_67"
"68","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas",0,0,0,0,0,0,0,0,0,0,49974,0,664777,7172,11326,14966,57289,0,0,0,"bOTU_68"
"69","k__Bacteria","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__GGB8318",0,636808,8094,0,17837,10215,0,0,0,0,14668,0,0,11483,0,0,0,0,0,0,"bOTU_69"
"70","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfomicrobiaceae","g__Desulfomicrobium",0,0,0,0,0,32153,0,51178,20341,0,12839,0,0,179551,0,10590,0,46054,66489,10430,"bOTU_70"
"71","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Lysobacterales","f__Lysobacteraceae","g__GGB8164",0,689986,6809,0,818871,5367,0,0,0,0,6148,0,0,8883,0,0,0,0,0,0,"bOTU_71"
