#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19006-C1-GOWN986_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWC19006-C1-GOWN986_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWC19006-C1-GOWN986.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWC19006-C1-GOWN986_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#131373334 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 101688874
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	22.5955	-	29684460
k__Bacteria	2	77.39440773485309	27.173375851533603	101675844
k__Archaea	2157	0.01009354696714936	0.0035426111425942244	13030
k__Bacteria|p__Pseudomonadota	2|1224	75.28560724238132	26.432970207523777	95624021
k__Bacteria|p__Myxococcota	2|2818505	1.53044179934415	0.5373416760435107	4912534
k__Bacteria|p__Candidatus_Cloacimonadota	2|456828	0.23370741072019985	0.08205564573632679	237505
k__Bacteria|p__Bacteroidota	2|976	0.12013178598938502	0.04217772827118522	388727
k__Bacteria|p__Actinomycetota	2|201174	0.11847532966195408	0.04159657571118172	189508
k__Bacteria|p__Nitrospirota	2|40117	0.05023552133190134	0.01763903300563439	141640
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.023647075141596086	0.008301784952297395	134128
k__Bacteria|p__Campylobacterota	2|29547	0.01502421369880131	0.005276013212338097	13471
k__Bacteria|p__Firmicutes	2|1239	0.014706855243545846	0.0051642800932744995	30888
k__Archaea|p__Thermoplasmatota	2157|2283796	0.01009354696714936	0.0035426111425942244	13030
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.002430501340249156	0.0008529069840798339	3422
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	59.169471465347755	20.7745522410968	72222797
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	13.501651677687649	4.740465037731925	19384121
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	1.9222943466332367	0.6749232500462847	3033580
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	1.53044179934415	0.5373416760435107	4912534
k__Bacteria|p__Pseudomonadota|c__CFGB8809	2|1224|	0.6511111838824156	0.22860569904136657	926323
k__Bacteria|p__Candidatus_Cloacimonadota|c__CFGB2808	2|456828|	0.23370741072019985	0.08205564573632679	237505
k__Bacteria|p__Actinomycetota|c__CFGB14186	2|201174|	0.11259258756453573	0.039531929581524815	136438
k__Bacteria|p__Bacteroidota|c__CFGB43210	2|976|	0.06684652730697997	0.023470688929012037	255311
k__Bacteria|p__Nitrospirota|c__CFGB5004	2|40117|	0.04922926281523768	0.0172841582089907	133050
k__Bacteria|p__Pseudomonadota|c__CFGB33292	2|1224|	0.04107856883026201	0.014423979607404549	57200
