#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/gamaliellysandergl.c/software/miniforge3/envs/metaphlan4/bin/metaphlan --input_type fastq /work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00050-E2-GOWN991_1.clean.corrected.fastq.gz,/work/ebg_lab/eb/AIWIP_GOWN_metagenome/100_denitrificationindex/10_trimnfiltering/01_trimmed/19GWE00050-E2-GOWN991_2.clean.corrected.fastq.gz -t rel_ab_w_read_stats --db_dir /home/gamaliellysandergl.c/database/metaphlan --index mpa_vJan25_CHOCOPhlAnSGB_202503 --mapout /scratch/39035758/19GWE00050-E2-GOWN991.bowtie2.bz2 --tmp_dir /scratch/39035758/tmp --nproc 10 -o 19GWE00050-E2-GOWN991_mpa_vJan25_CHOCOPhlAnSGB_202503.mp4.txt
#79814292 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 68403013
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	14.29729	-	11411279
k__Bacteria	2	85.46259038190378	20.347855287001412	68212677
k__Archaea	2157	0.2401218591570041	0.05717061875064366	190336
k__Bacteria|p__Pseudomonadota	2|1224	84.8624742799782	20.20497259889229	67648833
k__Bacteria|p__Bacteroidota	2|976	0.4246312283407839	0.10110156925287432	342886
k__Archaea|p__Methanobacteriota	2157|28890	0.2401218591570041	0.05717061875064366	190336
k__Bacteria|p__Candidatus_Cloacimonadota	2|456828	0.07486988941379069	0.017825579869457223	51940
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.051181659750361506	0.012186812682867289	64797
k__Bacteria|p__Actinomycetota	2|201174	0.02880468158422053	0.0068591082444849445	71700
k__Bacteria|p__Chloroflexota	2|200795	0.017226245160453218	0.004101515263009953	20281
k__Bacteria|p__Nitrospirota	2|40117	0.0029224624874201726	0.0006957391924545545	8941
k__Bacteria|p__Bacteria_unclassified	2|	0.0004713649173258344	0.00011236360397438034	3299
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	67.44799168235872	16.05874533716993	48767693
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	17.171781086824023	4.08844199331415	18612568
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	0.2401218591570041	0.05717061875064366	190336
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.23158586901779446	0.0551381614562017	265661
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.20545511205549502	0.04891645479638524	138100
k__Bacteria|p__Bacteroidota|c__Chitinophagia	2|976|1853228	0.1469030190524023	0.03497652055521981	117898
k__Bacteria|p__Candidatus_Cloacimonadota|c__CFGB2808	2|456828|	0.07486988941379069	0.017825579869457223	51940
k__Bacteria|p__Bacteroidota|c__Cytophagia	2|976|768503	0.07228166750411066	0.01720859390126927	86888
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.046545143018120114	0.011081876892192437	46054
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.022719789015105213	0.00540999000443236	64013
k__Bacteria|p__Chloroflexota|c__CFGB91799	2|200795|	0.017226245160453218	0.004101515263009953	20281
k__Bacteria|p__Pseudomonadota|c__CFGB74353	2|1224|	0.011115641777665584	0.0026471069520065033	2911
k__Bacteria|p__Actinomycetota|c__CFGB14186	2|201174|	0.006084892569115316	0.0014491182400525845	7687
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB40977	2|200940|	0.0033424057774013704	0.0007948812239823898	8524
k__Bacteria|p__Nitrospirota|c__CFGB5004	2|40117|	0.0029224624874201726	0.0006957391924545545	8941
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia	2|200940|3031451	0.001302681226064124	0.00031005456669246144	10219
k__Bacteria|p__Bacteria_unclassified|c__Candidatus_Babeliae	2||2497643	0.0004713649173258344	0.00011236360397438034	3299
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	59.91219504635836	14.264540641633673	40550377
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales	2|1224|1236|135618	17.13568310442809	4.079847756554144	18509842
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	7.530560200282426	1.7929563480959896	8186146
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.2401218591570041	0.05717061875064366	190336
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.20545511205549502	0.04891645479638524	138100
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.1891116048311247	0.04502599133452318	200976
k__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.1469030190524023	0.03497652055521981	117898
k__Bacteria|p__Candidatus_Cloacimonadota|c__CFGB2808|o__OFGB2808	2|456828||	0.07486988941379069	0.017825579869457223	51940
k__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.07228166750411066	0.01720859390126927	86888
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.046545143018120114	0.011081876892192437	46054
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.0360979823959348	0.008594236760005402	102726
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.029078930263391926	0.006922943784301195	31904
k__Bacteria|p__Chloroflexota|c__CFGB91799|o__OFGB91799	2|200795||	0.017226245160453218	0.004101515263009953	20281
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.011535585067646782	0.0027459149151529555	39846
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.011192774218682538	0.0026640750892794043	24167
k__Bacteria|p__Pseudomonadota|c__CFGB74353|o__OFGB74353	2|1224||	0.011115641777665584	0.0026471069520065033	2911
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales	2|1224|28211|1921002	0.006479125045424195	0.001543061778217733	5818
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.006376281790734923	0.001518812137550438	15286
k__Bacteria|p__Actinomycetota|c__CFGB14186|o__OFGB14186	2|201174||	0.006084892569115316	0.0014491182400525845	7687
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.00524500598915292	0.0012483474402676645	31170
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB40977|o__OFGB40977	2|200940||	0.0033424057774013704	0.0007948812239823898	8524
k__Bacteria|p__Nitrospirota|c__CFGB5004|o__OFGB5004	2|40117||	0.0029224624874201726	0.0006957391924545545	8941
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales	2|200940|3031451|3024411	0.001302681226064124	0.00031005456669246144	10219
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.0005313568158945769	0.00012735242160914905	11677
k__Bacteria|p__Bacteria_unclassified|c__Candidatus_Babeliae|o__Candidatus_Babeliales	2||2497643|2497644	0.0004713649173258344	0.00011236360397438034	3299
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	2|1224|28216|32003|32011	57.729586933172826	13.744882797858633	38319229
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	2|1224|1236|135618|403	17.13568310442809	4.079847756554144	18509842
