"Well","2019","2022","2023","2024","2025"
"GW101",0,0,0,0,1
"GW107",0,0,0,0,1
"GW109",0,0,0,0,1
"GW1117",1,0,0,0,0
"GW1119",0,0,0,1,0
"GW112",0,0,0,0,1
"GW1124",1,0,0,0,0
"GW113",0,1,0,0,1
"GW114",1,0,0,1,1
"GW1143",0,0,0,1,0
"GW1144",0,0,0,1,0
"GW1145",0,0,0,1,0
"GW1150",0,0,0,1,0
"GW1151",0,0,0,1,0
"GW1153",1,0,0,0,0
"GW117",1,1,0,1,1
"GW123",1,0,0,0,0
"GW137",1,0,0,0,0
"GW139",1,0,0,0,0
"GW142",1,0,0,0,0
"GW143",0,0,0,0,1
"GW144",1,0,0,0,1
"GW146",0,0,0,0,1
"GW148",0,0,0,1,1
"GW150",1,0,0,1,0
"GW160",0,0,0,1,0
"GW162",0,0,0,1,1
"GW175",0,0,0,0,1
"GW176",0,0,1,0,1
"GW178",0,0,1,0,1
"GW186",1,0,0,0,0
"GW192",0,0,0,1,0
"GW193",0,0,0,1,0
"GW200",1,0,0,1,0
"GW212",0,0,0,0,1
"GW214",0,0,0,0,1
"GW217",0,0,0,0,1
"GW218",1,0,0,1,0
"GW222",0,0,0,1,1
"GW229",0,0,0,1,0
"GW230",0,0,0,1,0
"GW234",0,0,0,0,1
"GW235",0,0,0,0,1
"GW237",0,0,0,0,1
"GW238",0,0,0,1,0
"GW239",0,0,0,1,0
"GW242",0,0,0,1,0
"GW243",0,0,0,1,0
"GW244",0,0,0,1,0
"GW246",0,1,0,1,0
"GW247",0,0,0,1,0
"GW248",0,0,0,1,0
"GW250",0,0,0,1,0
"GW265",1,1,1,1,1
"GW267",0,0,0,1,1
"GW273",0,0,0,1,0
"GW275",0,0,0,1,1
"GW276",0,0,0,1,0
"GW277",0,0,0,1,1
"GW278",0,0,0,0,1
"GW281",0,0,0,0,1
"GW289",0,0,0,0,1
"GW294",0,0,0,0,1
"GW295",0,0,0,0,1
"GW301",0,0,0,0,1
"GW3010",0,0,0,1,1
"GW3016",0,0,0,1,0
"GW3021",0,0,0,0,1
"GW3022",0,0,0,1,0
"GW3026",1,1,0,1,0
"GW3050",0,0,0,0,1
"GW3098",0,0,0,1,0
"GW310",0,0,0,0,1
"GW3103",0,0,0,1,1
"GW3104",0,0,0,0,1
"GW311",0,0,0,1,0
"GW312",0,0,0,1,1
"GW313",0,0,0,1,1
"GW314",0,0,0,0,1
"GW328",0,0,0,0,1
"GW33",1,0,0,0,0
"GW332",0,0,0,0,1
"GW333",0,0,0,1,1
"GW339",0,0,0,1,1
"GW340",0,0,0,0,1
"GW369",0,0,0,1,0
"GW374",0,0,0,0,1
"GW376",0,0,0,0,1
"GW379",0,0,0,1,0
"GW381",0,0,1,1,1
"GW386",0,0,0,0,1
"GW387",0,0,0,1,1
"GW389",0,0,1,1,0
"GW4016",0,0,0,0,1
"GW429",0,0,0,0,1
"GW44",0,0,0,1,0
"GW449",1,0,0,0,0
"GW50",0,0,0,1,0
"GW62",1,0,0,0,0
"GW626",0,0,0,0,1
"GW759",0,0,0,0,1
"GW760",1,0,0,0,0
"GW764",0,0,0,0,1
"GW890",0,0,0,1,0
"GW931",0,0,0,0,1
"GW945",0,0,0,1,0
"GW949",0,0,0,1,0
"GW950",0,0,0,1,0
"GW972",1,0,0,1,0
"GW980",1,0,0,1,0
"GW982",0,0,0,1,0
"GW983",1,1,0,1,0
"GW984",0,0,0,1,0
"GW986",1,0,0,1,0
"GW989",0,0,0,1,0
"GW991",1,0,0,1,0
