"","OTUs","Kingdom","Phylum","Class","Order","Family","Genus","Species","C1","C3","C4","C5","C8","C9","C10","C12","C13","C15","C17","C18","C19","C20","C21","C24","E1","E2","E6","E9","E10","E14","E19","E21","E23"
"1","uOTU_1","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned","d__Unassigned",53,26,260,77,47,54,28,170,113,80,42,82,94,202,73,446,74,55,80,48,227,909,137,131,22
"2","aOTU_2","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea","d__Archaea",412,68,211,26,16,128,188,104,210,44,218,89,119,260,91,697,68,84,75,97,156,1182,234,84,37
"3","aOTU_3","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__CS1-C013","g__CS1-C013",1,7,3,1,1,1,0,12,4,2,0,0,2,0,9,1,5,1,4,0,1,6,1,1,0
"4","aOTU_4","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__JAFGAZ01","g__JAFGAZ01",4,1,0,1,0,1,1,1,6,10,0,1,0,2,4,6,0,1,2,0,7,24,2,0,5
"5","aOTU_5","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__Aenigmatarchaeaceae","g__JAGGXH01","g__JAGGXH01",1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"6","aOTU_6","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__DAIDAN01","g__DAIDAN01","g__DAIDAN01",12,0,0,0,0,4,0,0,8,0,0,0,0,0,159,0,4,0,0,0,0,2,0,0,0
"7","aOTU_7","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__Aenigmatarchaeales","f__JAADFI01","f__JAADFI01","f__JAADFI01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","aOTU_8","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__GW2011-AR5","g__JACPAG01","g__JACPAG01",1,0,3,0,0,0,2,0,1,1,0,0,0,1,6,5,0,0,13,0,1,3,0,0,0
"9","aOTU_9","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__GW2011-AR5","g__JACPDL01","g__JACPDL01",2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0
"10","aOTU_10","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__GW2011-AR5","f__JAHLMP01","g__JAGGUE01","g__JAGGUE01",1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,1,0,0,0,0
"11","aOTU_11","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__PWEA01","f__JAGHBM01","g__JAGHBM01","g__JAGHBM01",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0
"12","aOTU_12","d__Archaea","p__Aenigmatarchaeota","c__Aenigmatarchaeia","o__QMZP01","f__QMZT01","g__QMZT01","g__QMZT01",1,0,1,6,2,0,1,3,1,3,0,5,0,2,0,1,0,0,12,0,8,2,8,0,3
"13","aOTU_13","d__Archaea","p__Asgardarchaeota","c__Heimdallarchaeia","o__Hodarchaeales","f__Hodarchaeaceae","g__Hodarchaeum","g__Hodarchaeum",1,0,2,2,0,0,0,1,1,0,0,1,0,2,0,2,0,0,0,0,0,0,2,2,0
"14","aOTU_14","d__Archaea","p__Asgardarchaeota","c__Heimdallarchaeia","o__Hodarchaeales","f__LC-3","g__DAHXPE01","g__DAHXPE01",1,0,0,0,0,0,0,1,3,0,0,2,0,0,9,2,0,0,0,0,6,11,2,4,1
"15","aOTU_15","d__Archaea","p__Asgardarchaeota","c__Lokiarchaeia","o__Helarchaeales","f__RDOG01","g__RDOG01","g__RDOG01",1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0
"16","aOTU_16","d__Archaea","p__Asgardarchaeota","c__Lokiarchaeia","o__Sigynarchaeales","f__MK-D1","g__Prometheoarchaeum","g__Prometheoarchaeum",4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
"17","aOTU_17","d__Archaea","p__EX4484-52","c__EX4484-52","o__EX4484-52","f__B79-G9","g__B79-G9","g__B79-G9",2,0,5,0,0,0,2,0,5,0,0,0,0,0,5,5,2,0,0,0,0,9,6,2,0
"18","aOTU_18","d__Archaea","p__EX4484-52","c__EX4484-52","o__EX4484-52","f__EX4484-52","g__EX4484-52","g__EX4484-52",1,0,2,2,2,0,12,2,1,3,1,1,0,3,2,1,0,0,0,0,10,0,7,0,38
"19","aOTU_19","d__Archaea","p__EX4484-52","c__EX4484-52","o__EX4484-52","f__GLR71","g__GLR71","g__GLR71",1,0,2,4,3,0,1,0,2,0,0,1,0,1,0,5,0,0,0,0,1,4,6,1,0
"20","aOTU_20","d__Archaea","p__Halobacteriota","p__Halobacteriota","p__Halobacteriota","p__Halobacteriota","p__Halobacteriota","p__Halobacteriota",1,0,15,5,0,2,0,6,13,4,0,3,0,9,88,45,0,5,14,0,2,107,12,8,5
"21","aOTU_21","d__Archaea","p__Halobacteriota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","f__Archaeoglobaceae","f__Archaeoglobaceae",4,1,25,4,1,1,2,8,11,4,1,6,0,22,25,80,0,4,1,0,10,81,47,6,8
"22","aOTU_22","d__Archaea","p__Halobacteriota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","g__Archaeoglobus_A","g__Archaeoglobus_A",1,2,3,0,0,0,0,0,0,0,0,0,2,5,0,7,0,0,1,0,4,18,5,0,0
"23","aOTU_23","d__Archaea","p__Halobacteriota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","g__Archaeoglobus_B","g__Archaeoglobus_B",2,0,13,1,0,0,1,0,2,0,0,1,1,8,2,10,0,0,0,0,1,29,4,0,0
"24","aOTU_24","d__Archaea","p__Halobacteriota","c__Archaeoglobi","o__Archaeoglobales","f__Archaeoglobaceae","g__Geoglobus","g__Geoglobus",3,0,9,2,0,0,0,3,6,11,0,0,1,10,2,30,0,0,1,0,4,16,3,5,0
"25","aOTU_25","d__Archaea","p__Halobacteriota","c__Archaeoglobi","o__Mnemosynellales","f__Mnemosynellaceae","g__Mnemosynella","g__Mnemosynella",1,0,0,0,2,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,2,3,0,0
"26","aOTU_26","d__Archaea","p__Halobacteriota","c__Bog-38","o__Bog-38","f__Bog-38","g__Bog-38","g__Bog-38",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,0
"27","bOTU_27","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","o__Halobacteriales","o__Halobacteriales","o__Halobacteriales",2,0,3,1,3,55,1,3,3,1,0,0,0,3,5,4,1,0,2,0,6,7,1,10,0
"28","bOTU_28","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halarchaeum","g__Halarchaeum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29","bOTU_29","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halobacterium","g__Halobacterium",2,8,0,11,0,6,612,16,300,21,141,4,500,2,5,0,5,295,16,155,171,1,1,1,0
"30","bOTU_30","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Halobacteriaceae","g__Halodesulfurarchaeum","g__Halodesulfurarchaeum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"31","bOTU_31","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Haloferacaceae","g__Haloquadratum","g__Haloquadratum",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","bOTU_32","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Natrialbaceae","g__Saliphagus","g__Saliphagus",4,0,3,2,1,0,0,6,1,6,0,5,0,1,3,2,0,1,4,0,13,14,8,2,2
"33","bOTU_33","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__SKNY01","g__SKQO01","g__SKQO01",1,0,0,7,2,0,0,1,0,14,3,0,0,3,1,1,0,0,94,0,18,3,4,1,0
"34","bOTU_34","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__SKSH01","g__SKSH01","g__SKSH01",1,0,0,1,0,2,0,7,0,2,0,0,0,3,1,2,0,0,4,0,1,2,0,0,0
"35","bOTU_35","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halobacteriales","f__Salinarchaeaceae","g__Salinarchaeum","g__Salinarchaeum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"36","bOTU_36","d__Archaea","p__Halobacteriota","c__Halobacteria","o__Halorutilales","f__Halorutilaceae","g__Halorutilus","g__Halorutilus",1,0,0,1,0,0,0,3,0,1,0,1,0,3,0,0,0,1,0,0,2,4,1,0,0
"37","aOTU_37","d__Archaea","p__Halobacteriota","c__Methanocellia","o__Methanocellales","f__Methanocellaceae","f__Methanocellaceae","f__Methanocellaceae",1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38","aOTU_38","d__Archaea","p__Halobacteriota","c__Methanomicrobia","o__Methanomicrobiales","f__JACTUA01","g__JACTUA01","g__JACTUA01",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"39","aOTU_39","d__Archaea","p__Halobacteriota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanoculleaceae","g__UBA207","g__UBA207",2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,7,1
"40","aOTU_40","d__Archaea","p__Halobacteriota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanofollaceae","g__Methanofollis","g__Methanofollis",2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4,0,0,2
"41","aOTU_41","d__Archaea","p__Halobacteriota","c__Methanomicrobia","o__Methanomicrobiales","f__Methanospirillaceae","g__UBA288","g__UBA288",1,0,1,0,0,0,0,2,1,4,1,1,1,0,3,0,0,0,0,0,1,2,0,0,3
"42","aOTU_42","d__Archaea","p__Halobacteriota","c__Methanonatronarchaeia","o__Methanonatronarchaeales","f__Methanonatronarchaeaceae","g__Methanonatronarchaeum","g__Methanonatronarchaeum",2,0,3,2,0,0,0,2,4,0,0,1,0,1,2,2,0,0,3,2,0,9,2,2,0
"43","aOTU_43","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanogasteraceae","g__Methanogaster","g__Methanogaster",1,0,2,3,0,0,0,1,6,2,0,0,1,7,2,15,0,0,0,0,1,8,1,0,0
"44","aOTU_44","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanoperedenaceae","g__Methanoperedens","g__Methanoperedens",1,2,3,0,0,19,0,5,128,3,1,4,231,2,721,0,0,17,238,0,0,5,0,0,0
"45","aOTU_45","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanoperedenaceae","g__UBA10536","g__UBA10536",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"46","aOTU_46","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanolobus","g__Methanolobus",124,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0
"47","aOTU_47","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanolobus","s__Methanolobus psychrophilus",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","aOTU_48","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanosarcinales","f__Methanosarcinaceae","g__Methanolobus","s__Methanolobus sp030682845",152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","aOTU_49","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanotrichales","f__Methanotrichaceae","g__Fen-7","g__Fen-7",3,17,7,1,9,21,7,2,3,9,102,4,11,0,3,0,3,9,4,1,51,5,1,1,0
"50","aOTU_50","d__Archaea","p__Halobacteriota","c__Methanosarcinia","o__Methanotrichales","f__Methanotrichaceae","g__Methanothrix","g__Methanothrix",1,0,2,7,0,0,0,0,0,0,0,1,4,6,4,1,0,0,6,0,6,6,2,7,1
"51","aOTU_51","d__Archaea","p__Halobacteriota","c__Syntropharchaeia","o__Syntropharchaeales","f__Syntropharchaeaceae","g__Syntropharchaeum","g__Syntropharchaeum",20,22,153,15,40,10,11,167,23,64,4,34,5,61,92,113,4,5,22,3,64,252,49,9,29
"52","aOTU_52","d__Archaea","p__Hydrothermarchaeota","c__Hydrothermarchaeia","o__Hydrothermarchaeales","f__SZUA-236","g__J060","g__J060",2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,0,4,0,0,0
"53","aOTU_53","d__Archaea","p__Hydrothermarchaeota","c__Hydrothermarchaeia","o__JALTZZ01","f__JALUTC01","g__JALUTC01","g__JALUTC01",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"54","aOTU_54","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__DTGL01","g__DTGL01","g__DTGL01",2,1,12,0,1,0,0,5,2,19,1,0,0,6,5,14,0,1,0,0,0,40,5,0,0
"55","aOTU_55","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__GCA-2688035","g__JAFCCZ01","g__JAFCCZ01",3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,29,1,0,0
"56","aOTU_56","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__Iainarchaeaceae","g__UBA10205","g__UBA10205",2,0,115,3,0,0,0,3,6,0,0,4,0,9,6,30,0,0,1,0,1,15,2,0,0
"57","aOTU_57","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__JAAZKV01","g__JABIDZ01","g__JABIDZ01",1,0,5,0,0,2,0,0,4,1,0,2,1,6,2,43,0,1,0,0,0,12,0,0,0
"58","aOTU_58","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__UBA10219","g__UBA10219","g__UBA10219",1,0,14,0,0,0,0,0,3,6,0,0,0,2,0,2,0,1,1,0,0,170,1,0,0
"59","bOTU_59","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__UBA349","g__UBA349",1,0,0,445,898,0,0,1,1,0,5,35,402,0,701,0,0,242,2681,4138,14,1,0,1754,14
"60","bOTU_60","d__Archaea","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__UBA349","s__UBA349 sp002509745",2,0,0,60,74,0,0,1,0,0,1,2,55,0,59,0,0,20,215,4162,10,0,0,1839,2
"61","aOTU_61","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","o__Methanococcales","o__Methanococcales","o__Methanococcales",1,1,4,0,0,0,0,0,1,0,0,0,0,11,0,5,1,0,2,0,1,41,3,4,0
"62","aOTU_62","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanocaldococcaceae","g__Methanocaldococcus_A","g__Methanocaldococcus_A",1,1,11,5,6,4,1,9,9,5,1,22,3,28,8,28,4,3,8,0,5,40,8,5,6
"63","aOTU_63","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanococcus","g__Methanococcus",4,1,9,2,0,0,1,1,1,2,0,2,0,6,3,10,5,0,7,0,1,12,4,2,0
"64","aOTU_64","d__Archaea","p__Methanobacteriota_A","c__Methanococci","o__Methanococcales","f__Methanococcaceae","g__Methanotorris","g__Methanotorris",1,1,36,1,0,0,0,1,8,0,1,4,1,64,13,19,0,0,2,0,4,153,16,50,2
"65","aOTU_65","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","f__Thermococcaceae","f__Thermococcaceae",6,41,0,1,38,2,0,2,1,15,0,4,0,3,2,0,0,2,3,0,6,7,9,4,20
"66","aOTU_66","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Palaeococcus","g__Palaeococcus",1,5,0,0,0,0,5,1,1,1,12,0,18,0,1,0,0,14,0,0,4,0,1,0,0
"67","aOTU_67","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Pyrococcus","g__Pyrococcus",2,0,1,0,0,1,0,0,3,2,6,2,9,2,1,0,12,1,1,5,3,3,1,2,1
"68","aOTU_68","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Thermococcus","g__Thermococcus",16,12,99,11,0,31,4,6,3,1,17,41,48,9,4,4,0,16,3,0,32,20,2,0,3
"69","aOTU_69","d__Archaea","p__Methanobacteriota_B","c__Thermococci","o__Thermococcales","f__Thermococcaceae","g__Thermococcus_A","g__Thermococcus_A",1,1,0,0,1,0,0,0,0,3,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0
"70","aOTU_70","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","c__Micrarchaeia","c__Micrarchaeia","c__Micrarchaeia","c__Micrarchaeia",1,0,4,1,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,18,22,1,0,0
"71","aOTU_71","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__JAPLWY01","g__JAPLWY01",1,0,7,1,0,1,0,3,21,0,0,2,1,12,1,2,0,0,1,0,0,9,17,0,1
"72","aOTU_72","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__Anstonellaceae","g__UBA10161","g__UBA10161",1,0,5,1,0,5,0,7,21,9,0,4,0,17,1,2,0,0,0,0,2,16,10,0,0
"73","aOTU_73","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Anstonellales","f__J096","g__JALVSQ01","g__JALVSQ01",1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,3,2,4,1
"74","aOTU_74","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__JACRGE01","g__JACRGE01","g__JACRGE01",7,3,4,1,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,1,9,7,0,0
"75","aOTU_75","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__Norongarragalinaceae","g__Norongarragalina","g__Norongarragalina",1,0,3,0,0,2,0,1,0,1,0,1,0,8,10,3,2,0,2,0,0,5,7,0,0
"76","aOTU_76","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Norongarragalinales","f__SBBD01","g__JACRGC01","g__JACRGC01",2,1,9,3,1,1,4,20,2,3,0,10,0,1,2,0,0,3,1,3,2,23,6,3,5
"77","aOTU_77","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__B33-G15","f__B33-G15","g__JAFCFZ01","g__JAFCFZ01",2,0,8,0,0,0,0,0,3,2,1,0,0,1,4,6,0,0,0,0,0,0,1,0,0
"78","aOTU_78","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__B33-G15","f__JAFCGN01","g__JAFCGN01","g__JAFCGN01",3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,20,0,0,0,1,2,2,3,0
"79","aOTU_79","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__JAPDLS01","f__Haiyanarchaeaceae","g__Haiyanarchaeum","g__Haiyanarchaeum",5,1,1,3,0,1,0,4,2,5,0,84,0,0,0,0,1,0,4,0,5,2,21,0,15
"80","aOTU_80","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","f__GW2011-AR1","f__GW2011-AR1",4,1,333,2,0,0,0,4,61,4,1,14,0,245,39,643,22,0,7,0,20,1554,16,9,6
"81","aOTU_81","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__CABMGO01","g__CABMGO01",1,0,4,0,0,0,0,0,1,0,0,1,0,2,0,13,0,0,0,0,2,1,0,0,0
"82","aOTU_82","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__EX4484-71","g__EX4484-71",2,0,4,0,0,0,0,1,8,0,0,0,0,0,1,8,0,0,1,0,0,8,3,1,0
"83","aOTU_83","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__GW2011-AR13","g__GW2011-AR13",1,0,0,1,0,0,0,3,4,0,0,0,0,2,0,7,6,0,0,0,0,5,3,0,5
"84","aOTU_84","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__JAFCEO01","g__JAFCEO01",1,0,7,0,0,1,0,3,4,0,0,1,0,56,6,4,0,0,1,0,0,10,4,1,0
"85","aOTU_85","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__JAIFVW01","g__JAIFVW01",1,0,25,1,0,1,0,0,2,0,0,4,0,3,4,35,4,0,1,0,3,164,7,2,6
"86","aOTU_86","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__JAKLIN01","g__JAKLIN01",2,0,3,1,0,2,0,0,2,0,0,0,0,9,0,18,0,0,0,0,11,7,0,0,0
"87","aOTU_87","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__JAUSIC01","g__JAUSIC01",1,1,12,1,0,4,0,4,3,0,0,1,0,7,3,3,0,0,0,0,3,48,0,0,0
"88","aOTU_88","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__VGKP01","g__VGKP01",2,0,85,0,0,0,1,0,6,0,0,2,1,4,7,30,0,1,2,0,0,104,2,0,0
"89","aOTU_89","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Pacearchaeales","f__GW2011-AR1","g__VGKQ01","g__VGKQ01",1,0,4,2,1,1,0,1,2,0,0,1,1,68,4,1,3,0,0,0,0,28,0,0,0
"90","aOTU_90","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Parvarchaeales","f__Parvarchaeaceae","g__JAGDXV01","g__JAGDXV01",2,0,2,0,0,0,0,7,3,4,0,1,0,5,0,4,0,0,0,0,0,2,2,1,7
"91","aOTU_91","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Parvarchaeales","f__Parvarchaeaceae","g__JAJYWD01","g__JAJYWD01",5,0,0,0,0,0,0,3,0,1,0,2,0,1,2,2,0,0,1,0,0,2,44,0,1
"92","aOTU_92","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Parvarchaeales","f__Parvarchaeaceae","g__Parvarchaeum","g__Parvarchaeum",3,0,2,6,3,0,0,13,13,4,0,6,0,4,15,1,0,0,1,1,2,15,1,2,165
"93","aOTU_93","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__GW2011-AR17","g__JABHZQ01","g__JABHZQ01",1,0,4,1,0,0,0,0,0,1,0,0,0,3,1,11,0,0,0,0,0,6,0,0,0
"94","aOTU_94","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__GW2011-AR17","g__JAHIMK01","s__JAHIMK01 sp018896675",1,0,0,0,0,0,0,0,1,2,0,6,0,4,0,0,0,0,5,0,1,0,0,0,4
"95","aOTU_95","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__GW2011-AR18","g__JACPCE01","g__JACPCE01",1,0,134,0,0,0,0,2,20,1,0,7,0,13,9,25,0,0,0,0,0,17,0,1,0
"96","aOTU_96","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__GW2011-AR18","g__JAGVZM01","g__JAGVZM01",1,0,10,0,0,0,0,1,4,2,0,2,0,3,2,5,0,0,0,0,0,2,0,0,0
"97","aOTU_97","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__GW2011-AR20","g__JAGVZJ01","g__JAGVZJ01",5,0,35,1,0,0,0,0,1,0,0,1,1,3,3,51,1,0,0,0,0,4,0,0,1
"98","aOTU_98","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__JACPNG01","g__JACPNE01","g__JACPNE01",1,1,9,0,0,0,0,1,1,0,0,1,0,7,2,3,0,0,0,0,0,3,0,0,0
"99","aOTU_99","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__JACPNG01","g__JACQNI01","g__JACQNI01",1,0,53,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,0,0,0,13,0,0,0
"100","aOTU_100","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__SCGC-AAA011-G17","f__VGLX01","g__VGLX01","g__VGLX01",2,3,10,1,1,0,0,2,0,0,0,4,0,494,22,1,0,0,12,0,10,3,0,0,6
"101","aOTU_101","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__UBA10117","o__UBA10117","o__UBA10117","o__UBA10117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0
"102","aOTU_102","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__UBA10117","f__GCA-020343615","g__GCA-020343615","g__GCA-020343615",1,0,0,0,0,5,0,1,1,1,0,2,0,1,2,0,1,1,0,0,0,1,1,5,4
"103","aOTU_103","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__UBA10117","f__UBA10117","g__JAGVWH01","g__JAGVWH01",1,1,3,0,0,0,0,5,1,1,2,2,0,3,4,2,0,1,0,0,1,5,2,1,0
"104","aOTU_104","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011-AR15","g__JAMPXQ01","g__JAMPXQ01",1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0
"105","aOTU_105","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011-AR4","g__GCA-2688775","g__GCA-2688775",1,0,1225,16,0,3,0,5,4,15,0,8,0,21,46,14,2,0,5,0,2,44,3,4,18
"106","aOTU_106","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011-AR9","g__JABJOX01","g__JABJOX01",1,0,11,0,0,0,0,1,0,0,0,0,0,7,2,7,0,0,0,0,1,0,0,13,0
