"","input","filtered","denoisedF","denoisedR","merged","nonchim","Percent_Merged","Percent_NoChimeras"
"DMO-GOWN-bact-2023-G21-20230321",64206,30305,30275,30254,29323,27620,0.967596106253094,0.911400758950668
"DMO-GOWN-bact-2023-G22-20230321",67723,29244,29157,29154,27239,26561,0.931438927643277,0.908254684721652
"DMO-GOWN-bact-2023-G23-20230321",56447,26527,26504,26514,26003,24526,0.980246541259848,0.924567421872055
